gamma,theta,h,Nvirt,m0,KR,GR
0.05,0.2,0.3,50,0.001,0,0
0.05,0.2,0.3,50,0.0014444444444444444,0,0
0.05,0.2,0.3,50,0.001888888888888889,0,0
0.05,0.2,0.3,50,0.0023333333333333335,0,1
0.05,0.2,0.3,50,0.002777777777777778,0,2
0.05,0.2,0.3,50,0.0032222222222222222,0,3
0.05,0.2,0.3,50,0.003666666666666667,0,3
0.05,0.2,0.3,50,0.004111111111111111,1,4
0.05,0.2,0.3,50,0.004555555555555556,1,4
0.05,0.2,0.3,50,0.005,2,5
0.05,0.2,0.3222222222222222,50,0.001,0,0
0.05,0.2,0.3222222222222222,50,0.0014444444444444444,0,0
0.05,0.2,0.3222222222222222,50,0.001888888888888889,0,1
0.05,0.2,0.3222222222222222,50,0.0023333333333333335,0,1
0.05,0.2,0.3222222222222222,50,0.002777777777777778,0,2
0.05,0.2,0.3222222222222222,50,0.0032222222222222222,1,3
0.05,0.2,0.3222222222222222,50,0.003666666666666667,1,3
0.05,0.2,0.3222222222222222,50,0.004111111111111111,2,4
0.05,0.2,0.3222222222222222,50,0.004555555555555556,3,5
0.05,0.2,0.3222222222222222,50,0.005,2,5
0.05,0.2,0.34444444444444444,50,0.001,0,0
0.05,0.2,0.34444444444444444,50,0.0014444444444444444,0,0
0.05,0.2,0.34444444444444444,50,0.001888888888888889,0,1
0.05,0.2,0.34444444444444444,50,0.0023333333333333335,0,2
0.05,0.2,0.34444444444444444,50,0.002777777777777778,0,2
0.05,0.2,0.34444444444444444,50,0.0032222222222222222,0,3
0.05,0.2,0.34444444444444444,50,0.003666666666666667,2,4
0.05,0.2,0.34444444444444444,50,0.004111111111111111,1,5
0.05,0.2,0.34444444444444444,50,0.004555555555555556,2,5
0.05,0.2,0.34444444444444444,50,0.005,3,6
0.05,0.2,0.36666666666666664,50,0.001,0,0
0.05,0.2,0.36666666666666664,50,0.0014444444444444444,0,0
0.05,0.2,0.36666666666666664,50,0.001888888888888889,0,1
0.05,0.2,0.36666666666666664,50,0.0023333333333333335,0,2
0.05,0.2,0.36666666666666664,50,0.002777777777777778,1,3
0.05,0.2,0.36666666666666664,50,0.0032222222222222222,1,3
0.05,0.2,0.36666666666666664,50,0.003666666666666667,1,4
0.05,0.2,0.36666666666666664,50,0.004111111111111111,2,5
0.05,0.2,0.36666666666666664,50,0.004555555555555556,2,5
0.05,0.2,0.36666666666666664,50,0.005,3,6
0.05,0.2,0.3888888888888889,50,0.001,0,0
0.05,0.2,0.3888888888888889,50,0.0014444444444444444,0,0
0.05,0.2,0.3888888888888889,50,0.001888888888888889,0,1
0.05,0.2,0.3888888888888889,50,0.0023333333333333335,0,2
0.05,0.2,0.3888888888888889,50,0.002777777777777778,0,3
0.05,0.2,0.3888888888888889,50,0.0032222222222222222,1,3
0.05,0.2,0.3888888888888889,50,0.003666666666666667,1,5
0.05,0.2,0.3888888888888889,50,0.004111111111111111,2,5
0.05,0.2,0.3888888888888889,50,0.004555555555555556,3,5
0.05,0.2,0.3888888888888889,50,0.005,3,7
0.05,0.2,0.4111111111111111,50,0.001,0,0
0.05,0.2,0.4111111111111111,50,0.0014444444444444444,0,0
0.05,0.2,0.4111111111111111,50,0.001888888888888889,0,1
0.05,0.2,0.4111111111111111,50,0.0023333333333333335,0,3
0.05,0.2,0.4111111111111111,50,0.002777777777777778,1,3
0.05,0.2,0.4111111111111111,50,0.0032222222222222222,1,4
0.05,0.2,0.4111111111111111,50,0.003666666666666667,2,5
0.05,0.2,0.4111111111111111,50,0.004111111111111111,2,4
0.05,0.2,0.4111111111111111,50,0.004555555555555556,2,6
