magnitude,MC,KR,GR,CQ
0.0,6.107485564223881,158,32,126
1e-05,6.095303682827782,157,33,124
1.2067926406393289e-05,6.093630720429051,157,32,125
1.4563484775012445e-05,6.087641630122287,158,33,125
1.757510624854793e-05,6.079005682233114,158,33,125
2.1209508879201926e-05,6.059101400530795,158,33,125
2.559547922699533e-05,6.033519329046883,158,33,125
3.0888435964774785e-05,5.986704748503229,158,34,124
3.727593720314938e-05,5.928590093352909,158,34,124
4.498432668969444e-05,5.85007093903619,158,33,125
5.4286754393238594e-05,5.810609127862332,158,33,125
6.55128556859551e-05,5.789652846165085,158,32,126
7.906043210907701e-05,5.76103169057801,157,32,125
9.540954763499944e-05,5.714609102854669,157,32,125
0.00011513953993264469,5.64043596966699,157,33,124
0.00013894954943731373,5.5387352375836025,157,34,123
0.00016768329368110067,5.399750430172571,157,34,123
0.00020235896477251554,5.222231406720503,157,33,124
0.000244205309454865,5.186154296407252,156,33,123
0.00029470517025518097,5.130439013037242,158,34,124
0.00035564803062231287,5.050164179952618,157,34,123
0.00042919342601287783,4.931941885721403,157,33,124
0.0005179474679231213,4.77587341887944,158,31,127
0.0006250551925273969,4.582116606694635,157,32,125
0.0007543120063354615,4.53623343184917,157,33,124
0.0009102981779915217,4.469397771846179,157,32,125
0.0010985411419875584,4.370482535723899,157,31,126
0.0013257113655901081,4.236619362141132,158,31,127
0.0015998587196060573,3.9726730684254727,158,30,128
0.0019306977288832496,3.850896018498173,158,32,126
0.002329951810515372,3.794232402256789,157,33,124
0.002811768697974228,3.626282861098178,157,33,124
0.0033932217718953264,3.529004132810549,158,35,123
0.004094915062380423,3.297296284080791,159,36,123
0.004941713361323833,3.1416417133116123,157,34,123
0.005963623316594642,2.9442304835271385,157,36,121
0.007196856730011514,2.8210393478735085,156,34,122
0.00868511373751352,2.6453435878512472,156,32,124
0.010481131341546853,2.5517693602190556,156,33,123
0.012648552168552958,2.418362957437729,154,34,120
0.015264179671752318,2.238766663699562,154,38,116
0.018420699693267144,1.9343520697113017,151,35,116
0.022229964825261933,1.8037268856840216,149,29,120
0.026826957952797246,1.7152758663611725,146,33,113
0.032374575428176434,1.5891156284292705,143,33,110
0.039069399370546126,1.4211635349876692,138,28,110
0.047148663634573894,1.2149359348309463,132,24,108
0.05689866029018293,0.7168255145670593,128,23,105
0.06866488450042998,0.4931704940913495,120,18,102
0.08286427728546843,0.370952430505888,111,17,94
0.1,0.17402658089515713,101,14,87
