trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
33,0.0525222980998878,0.1141509026913721,0.008,50.0,0.805957321392425,0.9610062893081761,0,0
34,0.0500043806118456,0.0986332214601562,0.008,50.0,0.6511461896809455,0.9459119496855346,0,0
39,0.0499107832687594,0.0664371108161976,0.008,50.0,0.8176837653872989,0.8037735849056604,0,0
67,0.0538581532565388,0.0902612443637157,0.008,50.0,0.7428411252076023,0.9383647798742139,0,0
81,0.0443043620962258,0.0906964628335562,0.0067258990958544,50.0,0.6068479322900208,0.8716981132075472,0,0
97,0.0489675525639408,0.0848976677324404,0.008,50.0,0.6201115732891391,0.929559748427673,0,0
106,0.0504593669877357,0.0725561230703674,0.008,50.0,0.8095350834938733,0.8666666666666667,0,0
115,0.0417383504024993,0.0862359060783004,0.0029693794926657,50.0,0.6890947772886341,0.7861635220125787,0,0
117,0.0510105307658275,0.1057508399509768,0.008,50.0,0.75267769192462,0.9421383647798742,0,0
122,0.0508616569342134,0.069456905716651,0.008,50.0,0.8533294418538891,0.8666666666666667,0,0
123,0.043813851783605,0.0894859979667152,0.0055993537194685,50.0,0.6572523465646112,0.8389937106918239,0,0
125,0.0380054556963643,0.0835376749120394,0.0021877003986716,50.0,0.7829468156140919,0.789937106918239,0,0
126,0.0414455462707922,0.0759639654002801,0.0039254884792921,50.0,0.7453457004563739,0.779874213836478,0,0
127,0.0408638455083121,0.0753221735494734,0.0035084064907015,50.0,0.7489661401868278,0.7836477987421384,0,0
128,0.0426480267747241,0.0746581425340177,0.0046326444626181,50.0,0.75652931368195,0.7685534591194969,0,0
131,0.0470622544787012,0.1075209770105575,0.0078218120473642,50.0,0.6116949340457786,0.9283018867924528,0,0
136,0.0542629381832512,0.1037673784520653,0.008,50.0,0.7520032201672479,0.949685534591195,0,0
137,0.0460742881248411,0.0981627514731616,0.0070684932984213,50.0,0.5942866492128597,0.8968553459119497,0,0
139,0.0457646727458744,0.0884106402044537,0.0068399053946952,50.0,0.5986226988887664,0.8855345911949686,0,0
154,0.0408386090307151,0.0943113269330413,0.0024796489861997,50.0,0.6477183546452462,0.7811320754716982,0,0
168,0.0468826955241539,0.0888078464383996,0.0072153277237345,50.0,0.5974008433269519,0.8968553459119497,0,0
173,0.0432625819525132,0.0804145809555848,0.0057175908342918,50.0,0.6572918088621139,0.8389937106918239,0,0
183,0.0556111055602775,0.1011973164880468,0.008,50.0,0.7194325410249014,0.9559748427672956,0,0
200,0.0405221210368951,0.092987368726374,0.0023391095154313,50.0,0.6807822121216854,0.7547169811320755,0,0
203,0.0448184448170128,0.0827496272807539,0.0064430322967729,50.0,0.6274761483203309,0.8377358490566038,0,0
243,0.0466261496342682,0.0994654997559039,0.0067977660282551,50.0,0.5964465022980906,0.9056603773584906,0,0
252,0.0413864671779603,0.0710703948921431,0.0056335128867472,50.0,0.7533189925106566,0.7962264150943397,0,0
253,0.0414680409409508,0.0704349511539059,0.0056069078678404,50.0,0.7486251976594667,0.8088050314465409,0,0
261,0.0414868258036126,0.071134770014086,0.0052701512915615,50.0,0.7970022229539332,0.7937106918238994,0,0
262,0.0410896046876517,0.0755119393780149,0.0042436352790569,50.0,0.798791586324377,0.769811320754717,0,0
263,0.0453699107560207,0.0762976918437828,0.0067395885448274,50.0,0.649550552380169,0.8566037735849057,0,0
