number,values,param_gamma,param_theta,param_m0,param_beta_prime
13,"[88.0, 6.030829815756851]",0.050038758617997836,0.2,0.008,50.0
16,"[79.0, 6.079592684457887]",0.05160543757209723,0.2,0.008,50.0
19,"[53.0, 6.111902902173391]",0.055283228219955995,0.2,0.008,50.0
28,"[78.0, 6.08333455827616]",0.05153854188308031,0.2,0.008,50.0
42,"[108.0, 5.928609549733931]",0.047737209459007314,0.2,0.008,50.0
45,"[143.0, 5.747575708767502]",0.03982012374040729,0.2,0.008,50.0
51,"[98.0, 5.981867776064996]",0.04860124031021005,0.2,0.008,50.0
56,"[153.0, 5.648401439723548]",0.03836557966830637,0.2,0.005917717902116582,50.0
57,"[160.0, 5.5395665827949125]",0.036127249106507435,0.2,0.00519443098903525,50.0
58,"[169.0, 5.088245884040717]",0.035088598945907636,0.2,0.003108556410256531,50.0
94,"[133.0, 5.849339393988184]",0.04315697896575272,0.2,0.007991565204968501,50.0
106,"[165.0, 5.4772966576799575]",0.037750312790539524,0.2,0.003973868417929553,50.0
108,"[166.0, 5.21951357723325]",0.03787148575076452,0.2,0.002963721230293267,50.0
112,"[150.0, 5.662964175991304]",0.041356409599758566,0.2,0.005892872498898881,50.0
114,"[167.0, 5.179342270494982]",0.040582853939405014,0.2,0.0018906632077773235,50.0
133,"[149.0, 5.673534909732151]",0.04169355814622923,0.2,0.005742196653255638,50.0
135,"[147.0, 5.714899263400147]",0.04198187363275784,0.2,0.005759775197534656,50.0
139,"[171.0, 4.915748663238324]",0.03410828769283457,0.2,0.002495073161862279,50.0
145,"[168.0, 5.132610517987876]",0.0371722314811885,0.2,0.0027060383158650225,50.0
158,"[157.0, 5.636496625918009]",0.03901811682332609,0.2,0.00519185145281586,50.0
168,"[172.0, 4.698687768943826]",0.03191545734432715,0.2,0.002454428016674445,50.0
170,"[102.0, 5.934945397340691]",0.04838087401014955,0.2,0.008,50.0
171,"[100.0, 5.936419789339739]",0.048391012438607134,0.2,0.008,50.0
176,"[101.0, 5.936284824289666]",0.04839356286524409,0.2,0.008,50.0
178,"[170.0, 5.005676136878433]",0.03536450628249686,0.2,0.0026445351553517687,50.0
181,"[138.0, 5.787543956612287]",0.041412096164532654,0.2,0.008,50.0
197,"[122.0, 5.915876904084112]",0.04457611909339549,0.2,0.008,50.0
