trial_number,flag,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
203,0,0.5,0.6,0.008,43.45746905,4.91810408,0.099371069,,
121,0,0.129302661,0.01,0.008,50,2.177367536,0.401257862,,
263,0,0.121571364,0.01,0.008,25.52704201,1.884423221,0.716981132,,
157,0,0.136991083,0.01,0.008,50,1.654088873,0.555974843,,
94,0,0.147691583,0.01,0.008,50,1.223475826,0.646540881,,
205,0,0.037460689,0.241752249,0.008,41.85288952,1.068422186,0.948427673,5,1
277,0,0.162145394,0.01,0.004785598,50,1.036880265,0.628930818,,
228,0,0.433613866,0.01,0.001,20,1.008428647,0.952201258,,
155,0,0.040942247,0.134578426,0.008,43.81574247,1.006384949,0.922012579,5,1
301,0,0.308759978,0.01,0.006361143,27.50444359,1.002307999,0.782389937,,
26,1,0.058988235,0.01,0.008,50,0.841079359,0.305660377,,
41,1,0.014918408,0.276208147,0.008,20,0.828394956,0.827672956,,
38,1,0.01,0.493200018,0.001,50,0.82485879,0.937106918,,
89,1,0.035284513,0.224224933,0.004964858,50,0.824086163,0.910691824,5,1
116,1,0.089445824,0.039909858,0.008,22.05017656,0.799409192,0.779874214,,
290,1,0.076725899,0.125987713,0.004115166,20,0.797103205,0.778616352,,
283,1,0.077773483,0.123026564,0.002944211,20,0.795397747,0.786163522,,
288,1,0.081701182,0.104969293,0.004399978,20,0.793900393,0.791194969,,
280,1,0.097375036,0.078831776,0.008,20,0.786919341,0.772327044,,
240,1,0.061115817,0.106149284,0.008,27.99359788,0.767139773,0.808805031,,
217,1,0.064580128,0.101462131,0.00580386,26.86952716,0.75997785,0.788679245,,
103,1,0.099078663,0.145090118,0.008,20,0.727508063,0.80754717,,
250,1,0.082724647,0.085355892,0.008,25.33181057,0.718132733,0.793710692,,
230,1,0.130684425,0.157076078,0.008,20,0.698148666,0.867924528,,
233,1,0.056001375,0.134253289,0.008,34.5688902,0.698123324,0.885534591,,
91,1,0.046084258,0.156493839,0.008,50,0.685411425,0.969811321,,
32,1,0.049176328,0.158080954,0.004106316,50,0.682667547,0.88427673,,
214,1,0.145867754,0.208901316,0.008,20,0.675860592,0.944654088,,
109,1,0.059363426,0.147991583,0.008,39.70001479,0.67097625,0.953459119,,
254,1,0.050282318,0.128676426,0.008,39.95371336,0.659840184,0.908176101,,
90,1,0.045825406,0.164133697,0.008,50,0.657189707,0.968553459,,
138,1,0.117226033,0.6,0.008,20,0.655952887,0.976100629,,
125,1,0.083732159,0.286804299,0.008,22.70478115,0.651705823,0.895597484,,
125,1,0.083732159,0.286804299,0.008,22.70478115,0.651705822,0.901886792,5,2
130,1,0.041600526,0.115384994,0.001,47.87761575,0.650762745,0.906918239,10,2
144,1,0.09124418,0.099958509,0.008,22.80193881,0.649371764,0.776100629,6,2
299,1,0.105704628,0.102168905,0.008,20,0.647762151,0.778616352,,
326,1,0.071877681,0.104197272,0.007687261,28.21081994,0.643868902,0.811320755,,
123,1,0.051417118,0.150853021,0.008,43.75673562,0.6280715,0.953459119,,
193,1,0.07367262,0.127055107,0.008,29.09533519,0.622021731,0.846540881,,
253,1,0.070535453,0.174924287,0.008,34.9681395,0.616876836,0.947169811,,
320,1,0.050604553,0.139603789,0.008,40.97545267,0.611571308,0.92327044,,
29,1,0.044475104,0.115778246,0.008,50,0.609685592,0.933333333,,
