number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
5,19.0,4.085211682930515,0.032836615391356294,0.4554348313565007,0.005212490865538391,0.34034668202748086,40.022514354091314,167
12,5.0,5.616864530714031,0.14870205821257423,0.14899385780949956,0.005914112567613271,0.3083415752586432,22.653172999102573,99
13,14.0,4.2394171177560125,0.059812746447082114,0.27319308107532586,0.0028332496775300914,0.328695823308702,28.60294379670797,168
14,36.0,4.446167957943004,0.10257595580433676,0.631328690240336,0.005262932484605039,0.42628751044724766,24.04064345915575,176
15,5.0,4.527586419008588,0.08266428109544308,0.4014015269252246,0.001597981607054291,0.44065341873644615,24.664432282737323,158
19,5.0,3.3126663904908686,0.03806447302379268,0.2888613466299546,0.001292484040210806,0.4552723899960404,24.561257757884256,376
21,0.0,2.0457626389614987,0.1481440206104329,0.1132386511485777,0.003959772838017819,0.47521163295922847,35.36687934118963,36
23,13.0,0.7997575692545182,0.1488429648831699,0.48286610904132127,0.003869932342102041,0.3888844847332808,27.686849072084,107
29,25.0,4.467671417755228,0.08486650950513733,0.4211247542457974,0.0010961464349719477,0.48868378490061337,27.484590895996178,375
32,23.0,3.176861992877889,0.1677320496201083,0.15107058871489196,0.005626549748372371,0.36538350348580406,21.003656382196993,306
33,40.0,5.00825259205448,0.04278632537517113,0.44002758957555616,0.003118060429905457,0.45177534102854805,46.6994379533585,236
34,3.0,3.493636211735171,0.02624474002119246,0.7720932436713577,0.005515569512672794,0.3848636586743075,39.197997465757794,48
35,5.0,3.1520425600256194,0.026597733200153253,0.022334806316737413,0.004324771000356528,0.4449371035902929,24.15378399333173,360
39,0.0,5.146442743605642,0.12408631607600985,0.10803232874575651,0.004167225985881965,0.4556476289153951,20.33727831436625,66
43,43.0,5.155107969839949,0.08576806192246061,0.3670067238636712,0.004503957254295709,0.3149825948989308,27.68155756043933,248
45,2.0,4.649474031465351,0.0657200835865795,0.4363305547638077,0.001288633004677919,0.43803902936307104,38.909085472461896,32
51,12.0,1.4855115580553797,0.12389102965672731,0.21581174060832484,0.0026292766179968965,0.49682381963953526,28.618457472523463,230
53,62.0,4.575262842459614,0.037761773751946934,0.47075213955523504,0.003328155538637541,0.3236744830799199,47.89790526661749,293
54,1.0,5.261431122164097,0.10533056013844987,0.13389634290796795,0.0036006440717229783,0.41909395361015866,20.231650132630513,179
56,0.0,0.952978028441218,0.24795333488120838,0.03357146121352094,0.0036298393886348757,0.4406181847835764,34.011614503718285,62
61,4.0,0.7075165971170092,0.07857740376691781,0.7211659876832408,0.0019153057087142231,0.4793165202699979,35.95588773802724,360
62,5.0,0.9830383244293253,0.1255416389789605,0.5802836879687931,0.00290167723545989,0.33402055597706504,34.33294983373221,72
65,23.0,3.527265426075126,0.02089366983798107,0.19738950869501504,0.0031019699567173984,0.4121451086726931,37.37457780377375,184
66,1.0,4.810142203378903,0.11408701174640817,0.11480444617254089,0.0020243702023142966,0.36453946406370596,21.48524640682353,104
68,3.0,5.784898059789059,0.06707779187420466,0.09581885346062773,0.00364865195801754,0.30646117617037827,41.7965657362074,125
70,25.0,4.664445974286206,0.05432498733423014,0.5773103277997221,0.0019462885128987391,0.4717749505104731,39.177358089441995,230
71,8.0,4.801681911559944,0.08821347802318837,0.03260651805689191,0.0042157913629503364,0.38452869162946424,22.58971194951726,318
72,2.0,4.408492161678743,0.1457230180340853,0.4925834252488586,0.0024846406320856128,0.31052020977766065,25.163195651932377,37
76,1.0,3.564170494106357,0.02964312761619531,0.20402941768477278,0.005884523604555656,0.4331340339328041,25.75833575464257,204
77,51.0,0.796243358940608,0.11937180233301252,0.15643139658483834,0.005898894206216515,0.4526960998950348,40.41520895219807,338
79,15.0,5.589629336797534,0.07956254844284566,0.0571877425152333,0.005288612874870094,0.41269244471616534,24.2354389689629,267
83,0.0,0.9393710845489711,0.24750304302845366,0.040894227349687416,0.005073912554173524,0.42337576787066233,20.051468280858806,241
87,0.0,5.3299232509233425,0.062008676445651806,0.3875693695463503,0.00398456794228866,0.4534358457844642,40.138506085950596,112
89,0.0,3.2441591421016556,0.058175680043889205,0.5582692344576767,0.00217613561553207,0.39563943394990164,22.203052280677202,45
94,109.0,3.5479163481993634,0.017005257078706242,0.4198538148599367,0.005641983615625242,0.4431531552026543,40.66463236801917,315
97,5.0,6.118972468642788,0.05374627913590356,0.08429763106162932,0.004876008624721988,0.4020356216520404,47.884114292673885,378
