number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
97,5.0,6.118972468642788,0.05374627913590356,0.08429763106162932,0.004876008624721988,0.4020356216520404,47.884114292673885,378
269,4.0,6.2118149600034815,0.06707779187420466,0.09581885346062773,0.004305768634622887,0.4055105807072985,41.7965657362074,125
318,162.0,2.950856535727467,0.015600089552382755,0.5883604670826516,0.005884523604555656,0.3438491851897433,37.76687573530968,387
321,136.0,3.237034288875119,0.015600089552382755,0.44002758957555616,0.0024490921960693786,0.3438491851897433,46.6994379533585,387
330,70.0,6.044097040715041,0.05374627913590356,0.08429763106162932,0.005884523604555656,0.4331340339328041,47.884114292673885,388
344,102.0,4.713102753563907,0.02964312761619531,0.33123005228495284,0.005884523604555656,0.4331340339328041,45.50633412511019,315
364,112.0,3.6689643558369642,0.017005257078706242,0.3875693695463503,0.005263302416213085,0.4837945426144974,40.66463236801917,315
379,80.0,5.440903454156719,0.069274461903986,0.34142235979698393,0.005288612874870094,0.4607867044725622,35.13826524755751,267
384,77.0,5.499593593532322,0.069274461903986,0.3875693695463503,0.005884523604555656,0.41269244471616534,37.58409019257157,267
388,73.0,5.544964135903119,0.0657200835865795,0.2741079299398312,0.004503957254295709,0.46273292554254775,34.298146994547146,267
391,62.0,6.097884258078679,0.06707779187420466,0.08429763106162932,0.005884523604555656,0.4331340339328041,41.7965657362074,388
