pareto_number,morphology,morphology_type,n_instances,beta_range_min,beta_range_max,distribution_type,random_seed,gamma,theta,m0,h,beta_prime,Nvirt,MC,KR,GR,CQ,calculation_time,success,error
97,homogeneous,homogeneous,,47.884114292673885,47.884114292673885,,,0.0537462791359035,0.0842976310616293,0.0048760086247219,0.4020356216520404,47.884114292673885,378,6.118972468680362,86.0,81.0,5.0,995.057891368866,True,
97,gradient,gradient,5.0,38.30729143413911,57.46093715120866,linear,,0.0537462791359035,0.0842976310616293,0.0048760086247219,0.4020356216520404,47.884114292673885,378,5.5151836972612465,3.0,2.0,1.0,1210.9966213703156,True,
97,random,random,5.0,38.30729143413911,57.46093715120866,,1234.0,0.0537462791359035,0.0842976310616293,0.0048760086247219,0.4020356216520404,47.884114292673885,378,5.775215422107083,3.0,2.0,1.0,1208.0897052288055,True,
269,homogeneous,homogeneous,,41.7965657362074,41.7965657362074,,,0.0670777918742046,0.0958188534606277,0.0043057686346228,0.4055105807072985,41.7965657362074,125,6.2118149599802,15.0,11.0,4.0,134.83086848258972,True,
269,gradient,gradient,5.0,33.43725258896592,50.15587888344888,linear,,0.0670777918742046,0.0958188534606277,0.0043057686346228,0.4055105807072985,41.7965657362074,125,5.3837734834558315,1.0,1.0,0.0,170.75715613365173,True,
269,random,random,5.0,33.43725258896592,50.15587888344888,,1234.0,0.0670777918742046,0.0958188534606277,0.0043057686346228,0.4055105807072985,41.7965657362074,125,5.4279546611988625,2.0,2.0,0.0,177.61606860160828,True,
318,homogeneous,homogeneous,,37.76687573530968,37.76687573530968,,,0.0156000895523827,0.5883604670826516,0.0058845236045556,0.3438491851897433,37.76687573530968,387,2.950856534938139,260.0,98.0,162.0,1066.8479282855988,True,
318,gradient,gradient,5.0,30.213500588247747,45.32025088237162,linear,,0.0156000895523827,0.5883604670826516,0.0058845236045556,0.3438491851897433,37.76687573530968,387,3.3827844211060305,2.0,1.0,1.0,1247.740822315216,True,
318,random,random,5.0,30.213500588247747,45.32025088237162,,1234.0,0.0156000895523827,0.5883604670826516,0.0058845236045556,0.3438491851897433,37.76687573530968,387,3.32662805806003,2.0,1.0,1.0,1245.927932024002,True,
321,homogeneous,homogeneous,,46.6994379533585,46.6994379533585,,,0.0156000895523827,0.4400275895755561,0.0024490921960693,0.3438491851897433,46.6994379533585,387,3.2370342874539344,172.0,36.0,136.0,1036.7514266967773,True,
