trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
271,0.0445727797371872,0.0178321146084154,0.0030949545320847,50.0,0.8031572227512866,0.7446540880503144,15,2
390,0.0445727797371872,0.0137764862893439,0.0030949545320847,50.0,0.8110630762164934,0.7320754716981132,17,2
415,0.0445727797371872,0.0137764862893439,0.0030949545320847,50.0,0.8110630762164934,0.7245283018867924,17,2
428,0.0445727797371872,0.1972150816888882,0.0699570854983375,50.0,0.6121541247672787,0.979874213836478,11,1
431,0.0445727797371872,0.1692014901534295,0.0363412040525049,50.0,0.5929647501819344,0.9836477987421384,8,2
476,0.0445727797371872,0.1972150816888882,0.0699570854983375,50.0,0.6121541247672787,0.9748427672955975,11,1
479,0.0445727797371872,0.0137764862893439,0.0030949545320847,50.0,0.8110630762164934,0.7345911949685534,17,2
500,0.0445727797371872,0.1692014901534295,0.0363412040525049,50.0,0.5929647501819344,0.9874213836477987,8,2
517,0.0445727797371872,0.206130988398428,0.0439036283980495,50.0,0.579694677417553,0.979874213836478,10,2
527,0.0445727797371872,0.1692014901534295,0.081164625706385,50.0,0.6376389549246165,0.979874213836478,12,1
528,0.0445727797371872,0.1972150816888882,0.0699570854983375,50.0,0.6121541247672787,0.9773584905660377,11,1
533,0.0445727797371872,0.1775393427461655,0.0203583274408974,50.0,0.614637989967829,0.9949685534591195,7,3
556,0.0445727797371872,0.1972150816888882,0.0699570854983375,50.0,0.6121541247672787,0.9710691823899371,11,1
588,0.0445727797371872,0.1692014901534295,0.056895756837097,50.0,0.5944464250173312,0.9723270440251572,11,2
596,0.0445727797371872,0.1206970722497274,0.0508442092682276,50.0,0.5903428107829366,0.9660377358490566,9,2
