trial_number,gamma,theta,m0,beta_prime,kr_threshold,gr_threshold
33,0.0943188636211563,0.2,0.1738949959522309,50.0,149,47
34,0.077617267680771,0.2,0.1163947016955687,50.0,127,33
60,0.1024529606198127,0.2,0.1868504719719258,50.0,154,54
65,0.0579334589250467,0.2,0.0718955978692112,50.0,90,17
71,0.1451341063826008,0.2,0.1825634100095717,50.0,159,84
74,0.0674087689787963,0.2,0.0848363752017415,50.0,107,25
75,0.0803693539165892,0.2,0.1252877470050915,50.0,133,34
78,0.073688186994433,0.2,0.1153986489519022,50.0,122,29
87,0.1337134619168911,0.2,0.184929784074949,50.0,161,81
90,0.0911277470879576,0.2,0.1729216472120517,50.0,147,40
93,0.0684438775604583,0.2,0.1115599699101161,50.0,116,23
105,0.0729813960909893,0.2,0.1117692945040871,50.0,122,28
106,0.088117492023788,0.2,0.1650630698540463,50.0,143,39
119,0.0694130206495871,0.2,0.1048197460399945,50.0,114,26
120,0.0818023050165036,0.2,0.1513343036530909,50.0,137,32
127,0.1517379783711,0.2,0.1855796096074041,50.0,159,86
139,0.1276702699226881,0.2,0.1860617770004425,50.0,160,80
144,0.1459300779546258,0.2,0.1838258035020054,50.0,160,84
157,0.0790402970030527,0.2,0.1299726481269687,50.0,131,33
168,0.1166705787709655,0.2,0.1844640604764258,50.0,160,73
174,0.123491184742915,0.2,0.1853407236401778,50.0,161,77
176,0.1262226323162211,0.2,0.185960205239812,50.0,161,79
202,0.0899419885275748,0.2,0.1712966921458562,50.0,146,41
204,0.0680931101625674,0.2,0.1011051972052154,50.0,112,25
211,0.0666592886282139,0.2,0.0980576783710811,50.0,109,23
247,0.0642365145990106,0.2,0.0833349841620083,50.0,102,22
250,0.0615871877796834,0.2,0.079188025293466,50.0,96,18
252,0.0719404679432657,0.2,0.1101373489008955,50.0,119,27
267,0.0480297911638143,0.2,0.0516554082018051,50.0,73,10
291,0.1152364931616622,0.2,0.1437178963763719,50.0,148,56
294,0.1160696501551001,0.2,0.1459306306907261,50.0,148,57
295,0.1181753413091659,0.2,0.1500636917594064,50.0,150,60
310,0.0834402826183178,0.2,0.1527213159820399,50.0,139,34
311,0.0975618879746597,0.2,0.1873357089396279,50.0,151,46
317,0.0461017084626238,0.2,0.0329842736491231,50.0,67,9
320,0.0469977017253415,0.2,0.0412889799229431,50.0,70,10
329,0.1210170650012993,0.2,0.1682841328419631,50.0,155,69
336,0.1177053407909674,0.2,0.1468206954363019,50.0,150,57
337,0.123437239889437,0.2,0.1702434808231895,50.0,156,72
341,0.0994690923449876,0.2,0.187428652563784,50.0,153,49
351,0.1013756153124585,0.2,0.1880849846363976,50.0,153,52
352,0.0493402879074055,0.2,0.0518125007642678,50.0,74,12
364,0.0533878749591413,0.2,0.0561155135769405,50.0,81,14
367,0.0578430239725703,0.2,0.060112674154498,50.0,86,18
376,0.1486643056339795,0.2,0.1851854185446167,50.0,160,86
382,0.0462427657282329,0.2,0.0352197435796543,50.0,68,11
393,0.05940275975672,0.2,0.0758163302631674,50.0,95,18
