trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
13,0.0500387586179978,0.2,0.008,50.0,0.6653412800514226,0.979874213836478,0,0
16,0.0516054375720972,0.2,0.008,50.0,0.7100848598206964,0.979874213836478,0,0
19,0.0552832282199559,0.2,0.008,50.0,0.7695519076436791,0.9861635220125786,0,0
28,0.0515385418830803,0.2,0.008,50.0,0.7151988415198178,0.9786163522012579,0,0
42,0.0477372094590073,0.2,0.008,50.0,0.6083987573869067,0.9773584905660377,0,0
45,0.0398201237404072,0.2,0.008,50.0,0.6036318930266881,0.9672955974842767,0,0
51,0.04860124031021,0.2,0.008,50.0,0.637596342219882,0.9672955974842767,0,0
56,0.0383655796683063,0.2,0.0059177179021165,50.0,0.6543243034212247,0.919496855345912,0,0
57,0.0361272491065074,0.2,0.0051944309890352,50.0,0.6474055969905006,0.8968553459119497,0,0
58,0.0350885989459076,0.2,0.0031085564102565,50.0,0.7115992070875911,0.8226415094339623,0,0
94,0.0431569789657527,0.2,0.0079915652049685,50.0,0.5932750034359044,0.9672955974842767,0,0
106,0.0377503127905395,0.2,0.0039738684179295,50.0,0.6355366594995522,0.8566037735849057,0,0
108,0.0378714857507645,0.2,0.0029637212302932,50.0,0.6275310317972665,0.8238993710691824,0,0
112,0.0413564095997585,0.2,0.0058928724988988,50.0,0.6050678773648887,0.9421383647798742,0,0
114,0.040582853939405,0.2,0.0018906632077773,50.0,0.7080360701282197,0.8226415094339623,0,0
133,0.0416935581462292,0.2,0.0057421966532556,50.0,0.6079601807533958,0.9408805031446541,0,0
135,0.0419818736327578,0.2,0.0057597751975346,50.0,0.6079619718224776,0.9408805031446541,0,0
139,0.0341082876928345,0.2,0.0024950731618622,50.0,0.7264189483571118,0.8188679245283019,0,0
145,0.0371722314811885,0.2,0.002706038315865,50.0,0.7123504352480712,0.8050314465408805,0,0
158,0.039018116823326,0.2,0.0051918514528158,50.0,0.7181849948364945,0.9081761006289308,0,0
168,0.0319154573443271,0.2,0.0024544280166744,50.0,0.7750278195905593,0.8050314465408805,0,0
170,0.0483808740101495,0.2,0.008,50.0,0.6137491118703975,0.9786163522012579,0,0
171,0.0483910124386071,0.2,0.008,50.0,0.6156614499615727,0.9773584905660377,0,0
176,0.048393562865244,0.2,0.008,50.0,0.6148879221986426,0.9748427672955975,0,0
178,0.0353645062824968,0.2,0.0026445351553517,50.0,0.729587029741051,0.810062893081761,0,0
181,0.0414120961645326,0.2,0.008,50.0,0.5997379592518686,0.9660377358490566,0,0
197,0.0445761190933954,0.2,0.008,50.0,0.5829062271035517,0.9761006289308176,0,0
