result_schema_version,study_id,run_id,frontier_point_id,frontier_scope,endpoint_ref,family,family_role,source_trial_id,source_optuna_trial_number,MC,CQ,KR,GR,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,pareto_rank,duplicate_count,frontier_algorithm,dominance_epsilon,generated_at_utc
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0016,15,4.163162599754343,85.0,87.0,2.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0030,29,3.9695832216145632,87.0,88.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0057,56,4.632553798690341,82.0,83.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_frontier_0004,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0073,72,3.6642082638001003,89.0,90.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0035,34,3.877312856123758,78.0,79.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0041,40,4.292988302556001,65.0,66.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0057,56,4.129995159795213,72.0,73.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0004,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0064,63,4.121241750912008,74.0,75.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0005,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0071,70,2.838555358582088,81.0,82.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0006,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0073,72,3.834187824722423,79.0,80.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,heterogeneous_frontier_0007,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0098,97,3.954777217730194,75.0,76.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-14T18:32:15Z
