result_schema_version,study_id,run_id,frontier_point_id,frontier_scope,endpoint_ref,family,family_role,source_trial_id,source_optuna_trial_number,MC,CQ,KR,GR,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,pareto_rank,duplicate_count,frontier_algorithm,dominance_epsilon,generated_at_utc
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0017,16,5.059646940974016,78.0,81.0,3.0,29.29390471218904,0.12861978962339785,0.05709890449565154,0.017784056898263453,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0034,33,4.871295052583859,80.0,82.0,2.0,32.12339140275385,0.16592998800000144,0.040384033608887523,0.0076082544719861134,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0035,34,6.652505493972923,76.0,79.0,3.0,32.96792297186577,0.1487196591151027,0.04905280938163175,0.012819496855909286,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_frontier_0004,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0037,36,6.002914547636658,77.0,86.0,9.0,27.50864306036514,0.17328039451665603,0.07370572058218032,0.007709224480101806,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_frontier_0005,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0050,49,6.666742700799608,47.0,81.0,34.0,30.62600402901616,0.13649671021690357,0.0781424509402326,0.01734663883010549,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,heterogeneous_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0009,8,7.278118679430931,57.0,73.0,16.0,31.812885852480953,0.14300269192233034,0.07225565826710012,0.01445497569827487,100,distributional_beta,random,3,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,heterogeneous_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0018,17,5.438242676738753,65.0,78.0,13.0,27.743656202921777,0.13910094366819975,0.0743113833686008,0.013047643601567814,100,distributional_beta,random,3,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,heterogeneous_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0033,32,5.1035493363966,75.0,77.0,2.0,27.44005526179571,0.1288010232649958,0.049391688835270585,0.013085781653555832,100,distributional_beta,random,3,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,heterogeneous_frontier_0004,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0035,34,5.9575025554168,62.0,65.0,3.0,32.96792297186577,0.1487196591151027,0.04905280938163175,0.012819496855909286,100,distributional_beta,random,3,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,heterogeneous_frontier_0005,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0047,46,5.791285132651039,64.0,66.0,2.0,29.663453888495113,0.12496557778133321,0.05179438561161588,0.014768661496924065,100,distributional_beta,random,3,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-12T15:27:59Z
