number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
0,[10.0],0.047959379638128685,0.2,0.05045262407706672,50.0,92.0,14.0,106.0,5.607098993807194
1,[10.0],0.045084699883938095,0.2,0.032067384499416596,50.0,107.0,15.0,122.0,5.799602025737386
2,[10.0],0.048558678611533894,0.2,0.033731977132619856,50.0,97.0,20.0,117.0,5.845423122415832
3,[10.0],0.04695548238085265,0.2,0.05215710455135128,50.0,94.0,11.0,105.0,5.589524820416409
4,[10.0],0.04619563092224441,0.2,0.04810513654698155,50.0,97.0,12.0,109.0,5.65935965986371
5,[10.0],0.046525828336449145,0.2,0.042342786190355884,50.0,98.0,14.0,112.0,5.729257931421847
6,[10.0],0.045248089747792986,0.2,0.05282324094092501,50.0,94.0,10.0,104.0,5.567577441694786
7,[10.0],0.05276806140985604,0.2,0.0426884026992299,50.0,85.0,24.0,109.0,5.61632794814612
8,[10.0],0.04782029826587486,0.2,0.054471405642137635,50.0,94.0,11.0,105.0,5.479748157331751
9,[10.0],0.050557513084909037,0.2,0.049897468780133306,50.0,90.0,17.0,107.0,5.593972680739178
10,[10.0],0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
11,[10.0],0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
12,[10.0],0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
13,[10.0],0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
14,[10.0],0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
