number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_softgate_score,attr_softgate_info.Sat,attr_softgate_info.Drift,attr_softgate_info.LagRatio,attr_softgate_info.THD,attr_softgate_info.z_sat,attr_softgate_info.z_drift,attr_softgate_info.z_lag,attr_softgate_info.z_thd,attr_CQ,attr_GR,attr_KR,attr_MC
0,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:53.600988,2025-09-04T14:38:54.278359,0.677371,0.1378018652886963,0.24136286182596006,0.03561835625052052,50.0,penalized,0.3483840655968616,0.616,0.14406373761255364,1.192,3.762437340520056,0.384,0.8559362623874464,0.0,0.0,,,,
1,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:54.290370,2025-09-04T14:38:54.955964,0.665594,0.19873101704106874,0.43142006827408275,0.0463556257755274,50.0,penalized,0.3034663719522384,0.719,0.17953451219104646,2.408,5.365138107702896,0.281,0.8204654878089536,0.0,0.0,,,,
2,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:54.966974,2025-09-04T14:38:55.636572,0.669598,0.0929238349196842,0.5121278912409327,0.05584929113723266,50.0,penalized,0.4678373414556311,0.333,0.06245063417747551,1.144,1.773912172119633,0.667,0.9375493658225245,0.0,0.0,,,,
3,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:55.647581,2025-09-04T14:38:56.322184,0.674603,0.7752661995086343,0.41060342272047856,0.06564571097287002,50.0,penalized,0.28257155746485424,0.778,0.180513770140583,2.384,7.705565486661631,0.22199999999999998,0.819486229859417,0.0,0.0,,,,
4,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:56.333194,2025-09-04T14:38:57.017809,0.684615,0.6218611234944266,0.06598670383939567,0.0660111891381709,50.0,penalized,0.30059884091885025,0.75,0.1476046363245989,2.04,6.786430759933082,0.25,0.8523953636754011,0.0,0.0,,,,
5,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:57.027817,2025-09-04T14:38:57.688408,0.660591,0.5506171791243287,0.48335632748607255,0.05747961394620542,50.0,penalized,0.28490146205023925,0.77,0.18239415179904292,2.388,8.454037608696465,0.22999999999999998,0.817605848200957,0.0,0.0,,,,
6,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:57.701419,2025-09-04T14:38:58.390035,0.688616,0.7853167687864404,0.3935754359719667,0.036988967722381645,50.0,penalized,0.28859239008382764,0.754,0.19003043966468947,2.384,6.363093303084773,0.246,0.8099695603353105,0.0,0.0,,,,
7,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:58.400043,2025-09-04T14:38:59.056630,0.656587,0.6343452862975965,0.2762723409491084,0.05737549345951399,50.0,penalized,0.28336194566620015,0.769,0.18995221733519924,2.396,8.015431046201154,0.23099999999999998,0.8100477826648007,0.0,0.0,,,,
8,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:59.066638,2025-09-04T14:38:59.747247,0.680609,0.37034736991069467,0.35960041038636237,0.09736665028083419,50.0,penalized,0.25739786263944353,0.853,0.17620854944222586,2.096,9.727474132375546,0.14700000000000002,0.8237914505577741,0.0,0.0,,,,
9,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:38:59.760258,2025-09-04T14:39:00.422850,0.662592,0.6383480646655566,0.03609548129804728,0.06592190891986983,50.0,penalized,0.32209994532200137,0.713,0.11340021871199452,1.148,5.094834873166643,0.28700000000000003,0.8865997812880055,0.0,0.0,,,,
10,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:39:00.433860,2025-09-04T14:39:01.109464,0.675604,0.7237038596976622,0.4666512867912867,0.017719471699286886,50.0,penalized,0.2907394259012502,0.735,0.20804229639499922,2.384,5.041724747781209,0.265,0.7919577036050007,0.0,0.0,,,,
