number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
0,COMPLETE,"[-5.0, -5.0]",2025-08-29T12:41:17.001719,2025-08-29T12:41:55.871455,38.869736,0.19057011766053622,0.30105421293931606,0.002194897624439364,20.0,penalized,5.1679741802996375,,,,
1,COMPLETE,"[5.0, 3.6156159365670906]",2025-08-29T12:41:55.884466,2025-08-29T12:50:27.029737,511.145271,0.06023544558388566,0.47997144690226023,0.0047678494615547495,20.0,passed,0.8454065649306163,5.0,1.0,6.0,3.6156159365670906
2,COMPLETE,"[3.0, 2.6097383801455507]",2025-08-29T12:50:27.039745,2025-08-29T12:58:57.900440,510.860695,0.018118951728697152,0.53883814567518,0.00629023466150719,20.0,passed,0.8752431004180221,3.0,1.0,4.0,2.6097383801455507
3,COMPLETE,"[-5.0, -5.0]",2025-08-29T12:58:57.910449,2025-08-29T12:59:36.786937,38.876488,0.38899092788542233,0.11809815576033811,0.007945291167098887,20.0,penalized,1.0054269806281553,,,,
4,COMPLETE,"[-5.0, -5.0]",2025-08-29T12:59:36.796945,2025-08-29T13:00:15.544908,38.747963,0.41925940074690365,0.13108135707336319,0.007196369809406129,20.0,penalized,1.0257502953460411,,,,
5,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:00:15.555917,2025-08-29T13:00:54.515429,38.959512,0.15992578914166805,0.3983587260190901,0.005333985041098325,20.0,penalized,2.4327823947465044,,,,
6,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:00:54.525948,2025-08-29T13:01:33.460479,38.934531,0.36598402347732867,0.42585641618685083,0.005968279409742123,20.0,penalized,2.459093393767111,,,,
7,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:01:33.470487,2025-08-29T13:02:12.309324,38.838837,0.3766405884060924,0.23692464692673249,0.0037110392743287686,20.0,penalized,1.0056590814390463,,,,
8,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:02:12.320333,2025-08-29T13:02:51.067174,38.746841,0.440467501557035,0.3925387638809066,0.0065466058831031276,20.0,penalized,1.0096922754451658,,,,
9,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:02:51.077003,2025-08-29T13:03:30.019535,38.942532,0.2725096348512671,0.0901833556839521,0.006982031242185421,20.0,penalized,7.040929546609604,,,,
10,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:03:30.029526,2025-08-29T13:04:08.792068,38.762542,0.4478858433853726,0.18521141270689095,0.0049996240875250795,20.0,penalized,1.0287573209053065,,,,
11,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:04:08.802077,2025-08-29T13:04:47.664855,38.862778,0.47479060115567273,0.5221707502656582,0.005679011085624679,20.0,penalized,1.0114690059865432,,,,
12,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:04:47.675204,2025-08-29T13:05:26.631176,38.955972,0.1991447138322538,0.4938089207109404,0.006038596261993752,20.0,penalized,14.043423081276071,,,,
13,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:05:26.641481,2025-08-29T13:06:05.383350,38.741869,0.3622988835307844,0.5850957543138765,0.002588037350207255,20.0,penalized,1.00569752560582,,,,
14,COMPLETE,"[4.0, 4.189432722817635]",2025-08-29T13:06:05.393254,2025-08-29T13:14:35.614754,510.2215,0.06104004227539345,0.184192529789343,0.007320822976500409,20.0,passed,0.845050283627412,4.0,1.0,5.0,4.189432722817635
15,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:14:35.625764,2025-08-29T13:15:14.527228,38.901464,0.30932701210258906,0.22469311705391506,0.00612379906601815,20.0,penalized,1.4268791750260512,,,,
16,COMPLETE,"[5.0, 3.189951916405719]",2025-08-29T13:15:14.537496,2025-08-29T13:23:45.808049,511.270553,0.053873539380446644,0.5476276211219836,0.002728184881014467,20.0,passed,0.8503198453396839,5.0,1.0,6.0,3.189951916405719
17,COMPLETE,"[2.0, 4.638980545849518]",2025-08-29T13:23:45.819058,2025-08-29T13:32:19.278963,513.459905,0.12768524788954416,0.5446835383354937,0.004429391519116369,20.0,passed,0.6489600212145074,2.0,3.0,5.0,4.638980545849518
18,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:32:19.288971,2025-08-29T13:32:58.617495,39.328524,0.39262980108739065,0.17950641991379546,0.006205839297677113,20.0,penalized,1.0123467260823946,,,,
19,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:32:58.628173,2025-08-29T13:33:37.981510,39.353337,0.46360672800498265,0.3305871724679924,0.004645642141333029,20.0,penalized,1.0138921261930967,,,,
20,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:33:37.991520,2025-08-29T13:34:17.237714,39.246194,0.4537394605599166,0.06085050789211546,0.003973400919266436,20.0,penalized,1.3408602146611763,,,,
21,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:34:17.248603,2025-08-29T13:34:56.349000,39.100397,0.23264628125259929,0.46437472028441973,0.0024122093352405114,20.0,penalized,2.02619762491726,,,,
22,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:34:56.359885,2025-08-29T13:35:35.454516,39.094631,0.2673174428810177,0.5767118518207464,0.005217458825348792,20.0,penalized,1.677271435638743,,,,
23,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:35:35.465473,2025-08-29T13:36:14.379958,38.914485,0.3353313690210157,0.27244112699774525,0.0012635068591543607,20.0,penalized,1.0061353722507453,,,,
