number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
0,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:46:36.908126,2025-09-01T16:47:15.640307,38.732181,0.38066388531769857,0.46434052400810033,0.09833471749861745,50.0,penalized,9.04467522011831,,,,
1,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:47:15.652316,2025-09-01T16:47:54.287729,38.635413,0.7645026240097504,0.029577092550277878,0.0953378133524642,50.0,penalized,1.0052421883991784,,,,
2,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:47:54.297738,2025-09-01T16:48:33.356415,39.058677,0.6846130017433696,0.46794914503887797,0.023442108359257884,50.0,penalized,1.4717653832121012,,,,
3,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:48:33.367047,2025-09-01T16:49:12.136999,38.769952,0.6283339454801582,0.270462438088082,0.04264015339355488,50.0,penalized,1.474939191807291,,,,
4,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:49:12.147009,2025-09-01T16:49:50.776224,38.629215,0.4613435805100042,0.334875948340669,0.0606656485554223,50.0,penalized,5.656900062490731,,,,
5,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:49:50.786211,2025-09-01T16:50:29.583302,38.797091,0.3042864049815268,0.4400706861946073,0.047694746120309835,50.0,penalized,1.2172915576121284,,,,
6,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:50:29.593263,2025-09-01T16:51:08.159195,38.565932,0.7638073776790265,0.056395049183125184,0.050951578460622184,50.0,penalized,1.0052520146254962,,,,
7,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:51:08.169577,2025-09-01T16:51:46.877495,38.707918,0.5312515052101776,0.4836719705243989,0.06909973528167909,50.0,penalized,4.752696216701442,,,,
8,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:51:46.887503,2025-09-01T16:52:25.590935,38.703432,0.5004478651441543,0.5729324850789136,0.010907840833562273,50.0,penalized,1.0352343349237565,,,,
9,COMPLETE,"[-5.0, -5.0]",2025-09-01T16:52:25.601189,2025-09-01T16:53:04.282127,38.680938,0.35025441712726635,0.03504036365982122,0.04452556945453792,50.0,penalized,1.0046935672752701,,,,
