number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,COMPLETE,"[128.0, 5.039111547981267]",2025-10-06T21:25:08.808146,2025-10-06T21:33:11.372029,482.563883,0.04509154475550459,0.37434647073584026,0.0016991140712779925,50.0
1,COMPLETE,"[27.0, 0.0]",2025-10-06T21:33:11.383038,2025-10-06T21:41:18.059884,486.676846,0.13087374324596207,0.2658274548816817,0.0073942623133323275,50.0
2,COMPLETE,"[7.0, 0.6653006689782716]",2025-10-06T21:41:18.071895,2025-10-06T21:49:23.426486,485.354591,0.4571436936677388,0.49310820162353025,0.006131707730087013,50.0
3,COMPLETE,"[4.0, 0.0]",2025-10-06T21:49:23.437495,2025-10-06T21:57:29.160416,485.722921,0.4400485622235215,0.12024307913033055,0.003361422155978678,50.0
4,COMPLETE,"[4.0, 0.0]",2025-10-06T21:57:29.170424,2025-10-06T22:05:34.857312,485.686888,0.21306041858268399,0.4718690834911887,0.0051626324185453385,50.0
5,COMPLETE,"[4.0, 0.8619025292744728]",2025-10-06T22:05:34.866320,2025-10-06T22:13:40.758390,485.89207,0.28610945775727203,0.3724365838736022,0.007254799658104585,50.0
6,COMPLETE,"[45.0, 5.591175601920873]",2025-10-06T22:13:40.769401,2025-10-06T22:21:46.426261,485.65686,0.058052508454414675,0.32534176075069277,0.00747369675602524,50.0
7,COMPLETE,"[6.0, 0.6914220829273479]",2025-10-06T22:21:46.437271,2025-10-06T22:29:51.769842,485.332571,0.45714303936261075,0.39080660855204813,0.0022027611806657893,50.0
8,COMPLETE,"[95.0, 5.460425944924639]",2025-10-06T22:29:51.780852,2025-10-06T22:37:57.332618,485.551766,0.05527458022556769,0.1963590271205489,0.0015230258224325295,50.0
9,COMPLETE,"[66.0, 2.8033918494919066]",2025-10-06T22:37:57.342628,2025-10-06T22:46:03.078560,485.735932,0.007142206491368375,0.47404508084433955,0.002770759868387636,50.0
10,COMPLETE,"[32.0, 4.682375793575099]",2025-10-06T22:46:03.088569,2025-10-06T22:54:09.116735,486.028166,0.06064222202718084,0.3934243866728687,0.001,50.0
11,COMPLETE,"[161.0, 5.428911630155379]",2025-10-06T22:54:09.128746,2025-10-06T23:02:14.890517,485.761771,0.04509535795653278,0.0623881734153577,0.0020842355115186575,50.0
12,COMPLETE,"[125.0, 5.622676901386274]",2025-10-06T23:02:14.900525,2025-10-06T23:10:19.765692,484.865167,0.0506257045947402,0.14672588207517107,0.002157072676433689,50.0
13,COMPLETE,"[89.0, 5.953207916148715]",2025-10-06T23:10:19.776702,2025-10-06T23:18:24.637219,484.860517,0.04816258228168904,0.15517205163203196,0.008,50.0
14,COMPLETE,"[4.0, 0.9910501838362273]",2025-10-06T23:18:24.647227,2025-10-06T23:26:29.530243,484.883016,0.0,0.01,0.0020365013111681802,50.0
15,COMPLETE,"[5.0, 2.989793954867928]",2025-10-06T23:26:29.540251,2025-10-06T23:34:35.112036,485.571785,0.07145450088710575,0.01,0.002754024426148591,50.0
16,COMPLETE,"[52.0, 2.806109372694615]",2025-10-06T23:34:35.124047,2025-10-06T23:42:40.954798,485.830751,0.037430391533310174,0.01,0.001,50.0
17,COMPLETE,"[142.0, 5.211766697332207]",2025-10-06T23:42:40.965807,2025-10-06T23:50:47.872785,486.906978,0.04135508419386496,0.23109360947009572,0.0021998115685634783,50.0
18,COMPLETE,"[4.0, 1.0]",2025-10-06T23:50:47.883794,2025-10-06T23:58:53.969037,486.085243,0.0,0.2686758189159302,0.008,50.0
19,COMPLETE,"[15.0, 0.934826316797412]",2025-10-06T23:58:53.979047,2025-10-07T00:06:59.729991,485.750944,0.3193846327858284,0.01,0.001,50.0
20,COMPLETE,"[60.0, 6.05281631177337]",2025-10-07T00:06:59.741001,2025-10-07T00:15:05.812231,486.07123,0.055052603824215444,0.21263289850219932,0.008,50.0
21,COMPLETE,"[66.0, 6.000030804653629]",2025-10-07T00:15:05.823242,2025-10-07T00:23:11.979017,486.155775,0.05400807719015289,0.2046732388524782,0.008,50.0
22,COMPLETE,"[121.0, 5.504038276126109]",2025-10-07T00:23:11.990026,2025-10-07T00:31:18.119319,486.129293,0.048649299954537,0.2250282100156395,0.0021260970631785513,50.0
23,COMPLETE,"[80.0, 5.848472365289237]",2025-10-07T00:31:18.129319,2025-10-07T00:39:24.214562,486.085243,0.05142386016027505,0.20644084027894735,0.005392960981642085,50.0
24,COMPLETE,"[43.0, 2.6544637079310447]",2025-10-07T00:39:24.227573,2025-10-07T00:47:30.397892,486.170319,0.0052067298510781925,0.6,0.005009630977308606,50.0
25,COMPLETE,"[5.0, 0.0]",2025-10-07T00:47:30.407902,2025-10-07T00:55:36.693324,486.285422,0.3723309723922028,0.6,0.008,50.0
26,COMPLETE,"[70.0, 5.976746400009667]",2025-10-07T00:55:36.704333,2025-10-07T01:03:42.093287,485.388954,0.05341945643516115,0.19882236622168267,0.008,50.0
27,COMPLETE,"[76.0, 5.744576954372567]",2025-10-07T01:03:42.103296,2025-10-07T01:11:47.615885,485.512589,0.05312561467234522,0.2038004141254734,0.0061408217484524895,50.0
28,COMPLETE,"[1.0, 0.0]",2025-10-07T01:11:47.626896,2025-10-07T01:19:53.748181,486.121285,0.5,0.01,0.008,50.0
29,COMPLETE,"[132.0, 5.473929584380446]",2025-10-07T01:19:53.758190,2025-10-07T01:27:59.116582,485.358392,0.047445351936047486,0.21680423559712977,0.002126957671472799,50.0
30,COMPLETE,"[125.0, 4.0949730409324285]",2025-10-07T01:27:59.126590,2025-10-07T01:36:05.302309,486.175719,0.038899473824884956,0.024477384904784433,0.002066807598233617,50.0
31,COMPLETE,"[137.0, 5.157217285648742]",2025-10-07T01:36:05.312317,2025-10-07T01:44:11.531690,486.219373,0.03796204374385318,0.23698246631191855,0.003143293457375572,50.0
32,COMPLETE,"[113.0, 4.383997123030917]",2025-10-07T01:44:11.541699,2025-10-07T01:52:17.145242,485.603543,0.039888730758767525,0.6,0.0027782238021457207,50.0
33,COMPLETE,"[105.0, 5.640705911018269]",2025-10-07T01:52:17.155250,2025-10-07T02:00:22.663466,485.508216,0.048690361146277256,0.203831470043968,0.0032493048577542758,50.0
34,COMPLETE,"[30.0, 0.9871038599263476]",2025-10-07T02:00:22.674476,2025-10-07T02:08:28.049084,485.374608,0.23173359353710682,0.01,0.001,50.0
