number,values,param_gamma,param_theta,param_m0,param_beta_prime
33,"[83.0, 6.331491993075727]",0.05252229809988781,0.11415090269137217,0.008,50.0
34,"[106.0, 6.236338116082055]",0.05000438061184567,0.09863322146015627,0.008,50.0
39,"[118.0, 6.058739831615611]",0.04991078326875949,0.0664371108161976,0.008,50.0
67,"[87.0, 6.295839352953544]",0.053858153256538886,0.09026124436371576,0.008,50.0
81,"[130.0, 5.881892403152882]",0.04430436209622586,0.09069646283355627,0.006725899095854438,50.0
97,"[108.0, 6.1061221337030585]",0.04896755256394081,0.0848976677324404,0.008,50.0
106,"[110.0, 6.100621537997637]",0.05045936698773573,0.07255612307036742,0.008,50.0
115,"[157.0, 5.427263290991576]",0.041738350402499326,0.08623590607830049,0.002969379492665769,50.0
117,"[96.0, 6.284247466176179]",0.05101053076582759,0.10575083995097681,0.008,50.0
122,"[107.0, 6.134653058084305]",0.05086165693421343,0.069456905716651,0.008,50.0
123,"[137.0, 5.789684877159243]",0.04381385178360506,0.0894859979667152,0.005599353719468501,50.0
125,"[163.0, 5.225701118831171]",0.03800545569636438,0.08353767491203948,0.0021877003986716945,50.0
126,"[151.0, 5.56676679421765]",0.041445546270792256,0.07596396540028014,0.003925488479292106,50.0
127,"[154.0, 5.504747841169311]",0.04086384550831216,0.07532217354947349,0.0035084064907015366,50.0
128,"[146.0, 5.631664323027919]",0.042648026774724124,0.07465814253401777,0.004632644462618185,50.0
131,"[112.0, 6.09765510925715]",0.04706225447870125,0.10752097701055756,0.007821812047364284,50.0
136,"[70.0, 6.335250009909753]",0.05426293818325127,0.10376737845206531,0.008,50.0
137,"[123.0, 5.958302432904292]",0.04607428812484116,0.09816275147316163,0.0070684932984213964,50.0
139,"[125.0, 5.951734020319588]",0.04576467274587445,0.08841064020445376,0.006839905394695243,50.0
154,"[156.0, 5.428533401774226]",0.04083860903071511,0.09431132693304131,0.0024796489861997157,50.0
168,"[120.0, 5.96285022078976]",0.04688269552415391,0.08880784643839969,0.007215327723734542,50.0
173,"[140.0, 5.7615100414798395]",0.043262581952513215,0.08041458095558487,0.005717590834291888,50.0
183,"[61.0, 6.379585729950246]",0.055611105560277554,0.10119731648804683,0.008,50.0
200,"[159.0, 5.338043744262881]",0.04052212103689517,0.09298736872637402,0.0023391095154313693,50.0
203,"[136.0, 5.814625263912523]",0.044818444817012804,0.08274962728075394,0.006443032296772921,50.0
243,"[119.0, 5.978077372989905]",0.046626149634268206,0.09946549975590394,0.006797766028255199,50.0
252,"[143.0, 5.720987563019679]",0.041386467177960316,0.07107039489214316,0.005633512886747225,50.0
253,"[142.0, 5.758458826929381]",0.04146804094095084,0.07043495115390594,0.0056069078678404076,50.0
261,"[145.0, 5.706554734455619]",0.041486825803612674,0.07113477001408605,0.005270151291561513,50.0
262,"[149.0, 5.594040947430795]",0.0410896046876517,0.07551193937801497,0.004243635279056938,50.0
263,"[135.0, 5.833421504412142]",0.04536991075602073,0.07629769184378286,0.006739588544827441,50.0
