number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,COMPLETE,"[4.0, 0.0]",2025-10-10T11:07:23.822468,2025-10-10T11:15:21.065821,477.243353,0.2522521107994604,0.3873803067986953,0.0017112420442652067,50.0
1,COMPLETE,"[126.0, 3.7066760258526927]",2025-10-10T11:15:21.077831,2025-10-10T11:23:24.323537,483.245706,0.019957132009171763,0.16402054714518366,0.0018343387856904268,50.0
2,COMPLETE,"[7.0, 0.9612655851126088]",2025-10-10T11:23:24.334548,2025-10-10T11:31:22.490708,478.15616,0.4682350122756225,0.5799471453759197,0.007186556332821076,50.0
3,COMPLETE,"[6.0, 0.7944719228171018]",2025-10-10T11:31:22.501717,2025-10-10T11:39:24.583384,482.081667,0.45693954927620933,0.31391934163880403,0.004217857127104922,50.0
4,COMPLETE,"[26.0, 0.0]",2025-10-10T11:39:24.594394,2025-10-10T11:47:21.384334,476.78994,0.1345648162876984,0.18240126162029555,0.0036131956631472793,50.0
5,COMPLETE,"[7.0, 0.0]",2025-10-10T11:47:21.395343,2025-10-10T11:55:23.413954,482.018611,0.41961913844330057,0.07525125666291432,0.006572131020871588,50.0
6,COMPLETE,"[6.0, 0.0]",2025-10-10T11:55:23.423962,2025-10-10T12:03:20.358031,476.934069,0.31892150430887817,0.5400100843829406,0.007004982302624099,50.0
7,COMPLETE,"[38.0, 0.0]",2025-10-10T12:03:20.369041,2025-10-10T12:11:20.264755,479.895714,0.10744158033618229,0.37303072821751576,0.004991958294939185,50.0
8,COMPLETE,"[11.0, 0.0]",2025-10-10T12:11:20.275765,2025-10-10T12:19:17.983524,477.707759,0.17591524497318373,0.12257687283417851,0.0010556059455411279,50.0
9,COMPLETE,"[6.0, 0.35789194599553964]",2025-10-10T12:19:17.996535,2025-10-10T12:27:18.911160,480.914625,0.3168467869843448,0.5100894795324981,0.005611632586085003,50.0
10,COMPLETE,"[3.0, 0.9915320097715666]",2025-10-10T12:27:18.921168,2025-10-10T12:35:17.694880,478.773712,0.0,0.01,0.001,50.0
11,COMPLETE,"[3.0, 1.0]",2025-10-10T12:35:17.706890,2025-10-10T12:43:14.827125,477.120235,0.0,0.20170096690199057,0.001110267586022724,50.0
12,COMPLETE,"[4.0, 1.0]",2025-10-10T12:43:14.838135,2025-10-10T12:51:14.923018,480.084883,0.0,0.1167284996821332,0.0021535756904835363,50.0
13,COMPLETE,"[18.0, 3.399551462097256]",2025-10-10T12:51:14.934027,2025-10-10T12:59:11.986202,477.052175,0.06320320841382197,0.18264344175236813,0.0018917041147817988,50.0
14,COMPLETE,"[3.0, 1.0]",2025-10-10T12:59:11.996210,2025-10-10T13:07:08.712084,476.715874,0.0,0.15921301259780535,0.0016793912065757566,50.0
15,COMPLETE,"[142.0, 4.765748979863688]",2025-10-10T13:07:08.723093,2025-10-10T13:15:05.364901,476.641808,0.03152550134266576,0.16231669022126416,0.0020642156378396018,50.0
16,COMPLETE,"[103.0, 5.2950172138894365]",2025-10-10T13:15:05.375910,2025-10-10T13:23:03.253821,477.877911,0.03279173654367329,0.23717517761020815,0.007283315299454064,50.0
17,COMPLETE,"[137.0, 3.927778054958349]",2025-10-10T13:23:03.266834,2025-10-10T13:31:02.697132,479.430298,0.031865494100095704,0.5547680325399157,0.001,50.0
18,COMPLETE,"[136.0, 3.697876200954221]",2025-10-10T13:31:02.708141,2025-10-10T13:38:59.645213,476.937072,0.039090715185424514,0.01,0.0076006147499927575,50.0
19,COMPLETE,"[110.0, 5.421457705198483]",2025-10-10T13:38:59.656222,2025-10-10T13:46:57.944501,478.288279,0.03736083266278828,0.3009636483832682,0.0051822445503733406,50.0
20,COMPLETE,"[89.0, 3.426245198604905]",2025-10-10T13:46:57.955509,2025-10-10T13:54:56.234780,478.279271,0.030934814895911694,0.01,0.0035850213668110796,50.0
21,COMPLETE,"[139.0, 4.457199424579033]",2025-10-10T13:54:56.244788,2025-10-10T14:02:53.435086,477.190298,0.031674199326715564,0.30288604537125424,0.0015485208580712946,50.0
22,COMPLETE,"[66.0, 4.922777470188674]",2025-10-10T14:02:53.445094,2025-10-10T14:10:51.671318,478.226224,0.04121478262078277,0.6,0.008,50.0
23,COMPLETE,"[122.0, 4.4429851523487525]",2025-10-10T14:10:51.681326,2025-10-10T14:18:48.879631,477.198305,0.0478561891889666,0.6,0.001,50.0
24,COMPLETE,"[129.0, 5.426471007769635]",2025-10-10T14:18:48.890641,2025-10-10T14:26:44.833824,475.943183,0.0572821185787693,0.026101200782119464,0.008,50.0
25,COMPLETE,"[72.0, 6.074485901095722]",2025-10-10T14:26:44.843832,2025-10-10T14:34:40.747230,475.903398,0.05262912683374737,0.1934367410984957,0.008,50.0
26,COMPLETE,"[143.0, 4.63769543697859]",2025-10-10T14:34:40.758241,2025-10-10T14:42:36.262392,475.504151,0.02937750489150468,0.2126334752851485,0.0020456380984946246,50.0
27,COMPLETE,"[7.0, 0.0]",2025-10-10T14:42:36.272401,2025-10-10T14:50:31.622054,475.349653,0.5,0.01,0.001,50.0
28,COMPLETE,"[142.0, 4.243489138940804]",2025-10-10T14:50:31.633064,2025-10-10T14:58:27.034763,475.401699,0.03543463453282142,0.4511843651141317,0.001,50.0
29,COMPLETE,"[132.0, 4.340008759028166]",2025-10-10T14:58:27.044772,2025-10-10T15:06:22.552565,475.507793,0.029795634709775337,0.1919555480468988,0.001,50.0
30,COMPLETE,"[139.0, 4.595605736260412]",2025-10-10T15:06:22.563576,2025-10-10T15:14:17.492853,474.929277,0.029514156718127252,0.19254215982917136,0.003125617645676877,50.0
31,COMPLETE,"[126.0, 4.404101258845928]",2025-10-10T15:14:17.503863,2025-10-10T15:22:13.505581,476.001718,0.03273758607752123,0.46707133001701234,0.002634296566801425,50.0
32,COMPLETE,"[3.0, 2.838370392626871]",2025-10-10T15:22:13.515590,2025-10-10T15:30:09.215253,475.699663,0.08236856761518825,0.01,0.008,50.0
33,COMPLETE,"[83.0, 6.331491993075727]",2025-10-10T15:30:09.225261,2025-10-10T15:38:04.235611,475.01035,0.05252229809988781,0.11415090269137217,0.008,50.0
34,COMPLETE,"[106.0, 6.236338116082055]",2025-10-10T15:38:04.245620,2025-10-10T15:45:59.450143,475.204523,0.05000438061184567,0.09863322146015627,0.008,50.0
35,COMPLETE,"[9.0, 0.0]",2025-10-10T15:45:59.461153,2025-10-10T15:53:54.773782,475.312629,0.1629593558789528,0.6,0.008,50.0
36,COMPLETE,"[14.0, 0.9188493356000885]",2025-10-10T15:53:54.784782,2025-10-10T16:01:50.135436,475.350654,0.32465796661034557,0.01,0.001,50.0
37,COMPLETE,"[139.0, 4.143094894078842]",2025-10-10T16:01:50.146446,2025-10-10T16:09:45.261889,475.115443,0.03022185938214072,0.3049829809630545,0.001,50.0
38,COMPLETE,"[2.0, 0.0]",2025-10-10T16:09:45.272899,2025-10-10T16:17:50.542952,485.270053,0.3928048081311303,0.6,0.001,50.0
39,COMPLETE,"[118.0, 6.058739831615611]",2025-10-10T16:17:50.553971,2025-10-10T16:25:55.799454,485.245483,0.04991078326875949,0.0664371108161976,0.008,50.0
40,COMPLETE,"[141.0, 3.6954137238559253]",2025-10-10T16:25:55.811465,2025-10-10T16:34:01.145038,485.333573,0.04757880030215921,0.01,0.008,50.0
41,COMPLETE,"[88.0, 6.036216980723812]",2025-10-10T16:34:01.154045,2025-10-10T16:42:07.041306,485.887261,0.04903942159510071,0.16408930185418316,0.008,50.0
42,COMPLETE,"[142.0, 3.6159778958106066]",2025-10-10T16:42:07.052316,2025-10-10T16:50:11.860586,484.80827,0.04621829168176556,0.01,0.008,50.0
43,COMPLETE,"[134.0, 4.082706304738022]",2025-10-10T16:50:11.872597,2025-10-10T16:58:16.880878,485.008281,0.0292390510286519,0.4255092959167253,0.001,50.0
44,COMPLETE,"[13.0, 0.8237876420219071]",2025-10-10T16:58:16.890886,2025-10-10T17:06:22.335889,485.445003,0.2533741556134046,0.01,0.008,50.0
45,COMPLETE,"[25.0, 0.0]",2025-10-10T17:06:22.345898,2025-10-10T17:14:27.529036,485.183138,0.09247132784905436,0.6,0.001,50.0
46,COMPLETE,"[142.0, 4.366739604577425]",2025-10-10T17:14:27.540045,2025-10-10T17:22:32.905034,485.364989,0.039573789047405175,0.48398448773173536,0.001,50.0
47,COMPLETE,"[140.0, 4.46039122651449]",2025-10-10T17:22:32.915045,2025-10-10T17:30:37.839616,484.924571,0.03862637647759865,0.40666985759742336,0.001,50.0
48,COMPLETE,"[140.0, 3.6091979903544202]",2025-10-10T17:30:37.849624,2025-10-10T17:38:42.896273,485.046649,0.046926474021739335,0.01,0.008,50.0
49,COMPLETE,"[81.0, 6.18971655000299]",2025-10-10T17:38:42.906282,2025-10-10T17:46:48.519250,485.612968,0.0524049267757418,0.12996196408617416,0.008,50.0
50,COMPLETE,"[59.0, 2.546776561885765]",2025-10-10T17:46:48.529259,2025-10-10T17:54:54.126489,485.59723,0.008458559707801008,0.6,0.001,50.0
51,COMPLETE,"[3.0, 0.32210719842761437]",2025-10-10T17:54:54.136507,2025-10-10T18:02:59.688174,485.551667,0.5,0.6,0.001,50.0
52,COMPLETE,"[139.0, 4.274695715368013]",2025-10-10T18:02:59.699185,2025-10-10T18:11:05.956582,486.257397,0.037868462419147327,0.5003283897873377,0.001,50.0
53,COMPLETE,"[74.0, 6.219295470407178]",2025-10-10T18:11:05.966591,2025-10-10T18:19:12.291047,486.324456,0.05336630475297835,0.12609711689397016,0.008,50.0
54,COMPLETE,"[134.0, 5.020454217905746]",2025-10-10T18:19:12.301057,2025-10-10T18:27:17.175913,484.874856,0.03201081778115354,0.16245796528619505,0.0039206559163213655,50.0
55,COMPLETE,"[76.0, 5.449913307129932]",2025-10-10T18:27:17.185921,2025-10-10T18:35:21.144057,483.958136,0.04658894819186891,0.3903735398418857,0.008,50.0
56,COMPLETE,"[68.0, 6.258547772763927]",2025-10-10T18:35:21.154066,2025-10-10T18:43:26.412748,485.258682,0.05411185226209726,0.12264694922864784,0.008,50.0
57,COMPLETE,"[142.0, 3.7096803470115938]",2025-10-10T18:43:26.423757,2025-10-10T18:51:30.234997,483.81124,0.04801179760904569,0.01,0.008,50.0
58,COMPLETE,"[121.0, 5.714149577800333]",2025-10-10T18:51:30.246006,2025-10-10T18:59:35.147448,484.901442,0.039545122081522895,0.1013715534003178,0.008,50.0
