number,values,param_gamma,param_theta,param_m0,param_beta_prime
250,"[71.0, 5.487565949261247]",0.0520334373555267,0.2,0.0019913270949695,50.0
98,"[90.0, 5.338892488582717]",0.0500488703480791,0.2,0.0014016158829522,50.0
129,"[47.0, 5.689007653093959]",0.0521697817456608,0.2,0.0029650399803819,50.0
307,"[80.0, 5.450930057054071]",0.048807895943502,0.2,0.0017418670204808,50.0
399,"[50.0, 5.466452756111252]",0.0376482847747899,0.2,0.0043624546369956,50.0
75,"[110.0, 4.934059501560382]",0.0417037095568735,0.2,0.001,50.0
43,"[45.0, 5.720964606018626]",0.0521755228335863,0.2,0.0030357636541789,50.0
86,"[87.0, 5.352585232259468]",0.0496081857950764,0.2,0.0014723956123205,50.0
145,"[103.0, 5.17830018581295]",0.0489899504829759,0.2,0.001,50.0
82,"[106.0, 4.862146460087443]",0.0402946883570816,0.2,0.001,50.0
220,"[20.0, 5.9456235738554675]",0.0532959327369164,0.2,0.006880086886006,50.0
229,"[105.0, 5.087573977457888]",0.0472594634809589,0.2,0.001,50.0
60,"[106.0, 5.1659526168532155]",0.0486099237907175,0.2,0.001,50.0
211,"[70.0, 5.462863495128135]",0.0522242914236495,0.2,0.0019607970460307,50.0
13,"[56.0, 3.785911367522934]",0.0171272259488025,0.2,0.0023846816348751,50.0
181,"[73.0, 5.418578038869858]",0.0520781785844875,0.2,0.0019187967209376,50.0
379,"[29.0, 5.793687501339479]",0.058989366885326,0.2,0.0034035596063763,50.0
222,"[94.0, 5.205224217989758]",0.0499601628657766,0.2,0.001,50.0
135,"[111.0, 4.96020605616634]",0.0425396691481598,0.2,0.001,50.0
95,"[89.0, 5.317587075237824]",0.0499042531018804,0.2,0.0014191123669586,50.0
174,"[101.0, 5.182974334712124]",0.0490440185871914,0.2,0.001,50.0
119,"[95.0, 5.2367121591691514]",0.0504633159474169,0.2,0.001,50.0
337,"[97.0, 5.266208874200127]",0.0479495683308811,0.2,0.0012494006054258,50.0
97,"[98.0, 5.261181741396533]",0.0495846302979447,0.2,0.0010618990249407,50.0
118,"[52.0, 5.6466694961055754]",0.0524090451621969,0.2,0.0026817890914528,50.0
310,"[96.0, 5.295766596778075]",0.0482813727844436,0.2,0.0012374342817414,50.0
116,"[52.0, 5.625715492072653]",0.0522667700338712,0.2,0.002709590346437,50.0
40,"[44.0, 5.712045738921197]",0.0520811108993466,0.2,0.0031116912312645,50.0
115,"[104.0, 5.176500024654272]",0.0488900874332688,0.2,0.001,50.0
341,"[94.0, 5.304756485395556]",0.047990668406512,0.2,0.0014990535193082,50.0
122,"[53.0, 5.566471687261886]",0.052622395825692,0.2,0.0026018504042526,50.0
294,"[51.0, 5.632886301094741]",0.0444859394814422,0.2,0.0037042837270787,50.0
191,"[95.0, 5.24586701758116]",0.048806949345654,0.2,0.0010409668196367,50.0
186,"[96.0, 5.239145668236194]",0.0498129548307084,0.2,0.0010336192805664,50.0
367,"[83.0, 5.452855664430432]",0.0470589842937082,0.2,0.0018300182967224,50.0
