number,values,param_gamma,param_theta,param_m0,param_beta_prime
35,"[44.0, 5.769989126795698]",0.05139044048129561,0.2,0.0037027363557804198,50.0
37,"[17.0, 6.046054036456627]",0.052451783871463875,0.2,0.008,50.0
39,"[46.0, 5.754796380957114]",0.05208638396331958,0.2,0.0032574767343508167,50.0
44,"[34.0, 5.918521308511368]",0.05226664449097593,0.2,0.004723529518696449,50.0
48,"[112.0, 5.037292242762424]",0.04621282035806152,0.2,0.001,50.0
51,"[96.0, 5.323071688481444]",0.04970734996106536,0.2,0.0013477182290630785,50.0
55,"[110.0, 5.113561623752281]",0.04742872420322268,0.2,0.001,50.0
57,"[70.0, 5.621210980398605]",0.050316781997511335,0.2,0.0022549560963651934,50.0
61,"[86.0, 5.508917108383584]",0.04977955958334578,0.2,0.0015716361241841026,50.0
81,"[101.0, 5.231355051038829]",0.04888260607233466,0.2,0.0010283865590926464,50.0
105,"[106.0, 5.185786685692376]",0.04838876866332723,0.2,0.001,50.0
150,"[27.0, 5.982645852876276]",0.05272695058973269,0.2,0.005794805442929727,50.0
158,"[39.0, 5.853605730717108]",0.05053648487978753,0.2,0.0042059576248679505,50.0
209,"[102.0, 5.2169239128448615]",0.04890730020749236,0.2,0.0010185060220095287,50.0
212,"[113.0, 4.948696588506925]",0.043022552775389036,0.2,0.001,50.0
230,"[48.0, 5.737912159382531]",0.04916853428466991,0.2,0.00352554393782255,50.0
232,"[50.0, 5.73247274390828]",0.04919458815735987,0.2,0.0034904166685117426,50.0
267,"[19.0, 6.033334572828653]",0.049528540602327746,0.2,0.008,50.0
270,"[21.0, 6.032699765019362]",0.04936607935110974,0.2,0.008,50.0
282,"[52.0, 5.6681519108053315]",0.045395220828940715,0.2,0.0035166332677649278,50.0
283,"[54.0, 5.659137754351978]",0.045237926726615425,0.2,0.003509859984590168,50.0
288,"[40.0, 5.77642525009747]",0.04855686049002201,0.2,0.00442290227317301,50.0
289,"[57.0, 5.645776678250813]",0.04394633067760571,0.2,0.00346405074172527,50.0
290,"[51.0, 5.713923461799711]",0.044672095863364895,0.2,0.00378589399327167,50.0
303,"[31.0, 5.953684116973461]",0.0521320724252287,0.2,0.005261294275965906,50.0
305,"[75.0, 5.582964615969302]",0.05052156800626293,0.2,0.002167843172192119,50.0
306,"[98.0, 5.290905670284426]",0.048121334865666075,0.2,0.001375128202842025,50.0
313,"[88.0, 5.416084280715733]",0.04833020627341104,0.2,0.0016915322149166183,50.0
330,"[35.0, 5.876758489024231]",0.0501509626515218,0.2,0.0047779068777857,50.0
357,"[94.0, 5.337929698054168]",0.047996905518805005,0.2,0.0015107617084022477,50.0
358,"[90.0, 5.4145170880709745]",0.04779144825196482,0.2,0.0015865250787378494,50.0
359,"[89.0, 5.4146524033498]",0.04769456271897492,0.2,0.0015897328219274184,50.0
360,"[91.0, 5.414225490987446]",0.04755520056778701,0.2,0.0015941292750944734,50.0
370,"[93.0, 5.393234988209984]",0.046611698282907586,0.2,0.001584666350185131,50.0
