trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
250,0.0520334373555267,0.2,0.0019913270949695,50.0,0.5857990907741508,0.7849056603773585,0,0
98,0.0500488703480791,0.2,0.0014016158829522,50.0,0.7802088457605254,0.8238993710691824,0,0
129,0.0521697817456608,0.2,0.0029650399803819,50.0,0.5946371315216655,0.8377358490566038,0,0
307,0.048807895943502,0.2,0.0017418670204808,50.0,0.5953863523480122,0.789937106918239,0,0
399,0.0376482847747899,0.2,0.0043624546369956,50.0,0.7679634050897305,0.8540880503144654,0,0
75,0.0417037095568735,0.2,0.001,50.0,0.8354117475098686,0.8679245283018868,0,0
43,0.0521755228335863,0.2,0.0030357636541789,50.0,0.5939353225771602,0.8339622641509434,0,0
86,0.0496081857950764,0.2,0.0014723956123205,50.0,0.7274966352192586,0.8012578616352202,0,0
145,0.0489899504829759,0.2,0.001,50.0,0.6015014219081449,0.8742138364779874,0,0
82,0.0402946883570816,0.2,0.001,50.0,0.86595221949493,0.8591194968553459,0,0
220,0.0532959327369164,0.2,0.006880086886006,50.0,0.9060885935634735,0.9622641509433962,0,0
229,0.0472594634809589,0.2,0.001,50.0,0.612426686725695,0.879245283018868,0,0
60,0.0486099237907175,0.2,0.001,50.0,0.6035723191368952,0.8842767295597485,0,0
211,0.0522242914236495,0.2,0.0019607970460307,50.0,0.5869803572917354,0.7849056603773585,0,0
13,0.0171272259488025,0.2,0.0023846816348751,50.0,0.7999159864643731,0.7974842767295598,0,0
181,0.0520781785844875,0.2,0.0019187967209376,50.0,0.5858260881207155,0.7987421383647799,0,0
379,0.058989366885326,0.2,0.0034035596063763,50.0,0.7523157709508073,0.9207547169811321,0,0
222,0.0499601628657766,0.2,0.001,50.0,0.7663457412468233,0.8679245283018868,0,0
135,0.0425396691481598,0.2,0.001,50.0,0.9885264655901155,0.8767295597484277,0,0
95,0.0499042531018804,0.2,0.0014191123669586,50.0,0.6046132376168948,0.8062893081761007,0,0
174,0.0490440185871914,0.2,0.001,50.0,0.6012515277776485,0.8754716981132076,0,0
119,0.0504633159474169,0.2,0.001,50.0,0.773898103243564,0.8767295597484277,0,0
337,0.0479495683308811,0.2,0.0012494006054258,50.0,0.6085050695987894,0.8352201257861636,0,0
97,0.0495846302979447,0.2,0.0010618990249407,50.0,0.8554047796908569,0.8591194968553459,0,0
118,0.0524090451621969,0.2,0.0026817890914528,50.0,0.5979329870860649,0.8213836477987422,0,0
310,0.0482813727844436,0.2,0.0012374342817414,50.0,0.7794283657016071,0.8415094339622642,0,0
116,0.0522667700338712,0.2,0.002709590346437,50.0,0.5980302678515471,0.8314465408805032,0,0
40,0.0520811108993466,0.2,0.0031116912312645,50.0,0.5950836708503012,0.8314465408805032,0,0
115,0.0488900874332688,0.2,0.001,50.0,0.6025860049122663,0.8666666666666667,0,0
341,0.047990668406512,0.2,0.0014990535193082,50.0,0.6436895713384422,0.8012578616352202,0,0
122,0.052622395825692,0.2,0.0026018504042526,50.0,0.5954145053103022,0.820125786163522,0,0
294,0.0444859394814422,0.2,0.0037042837270787,50.0,0.6038063912132212,0.8415094339622642,0,0
191,0.048806949345654,0.2,0.0010409668196367,50.0,0.6055808006746515,0.8729559748427673,0,0
186,0.0498129548307084,0.2,0.0010336192805664,50.0,1.101889616467952,0.8729559748427673,0,0
367,0.0470589842937082,0.2,0.0018300182967224,50.0,0.6047304957939328,0.8037735849056604,0,0
