number,values,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
16,"[185.0, 4.120824550770677]",0.11640582162540405,0.01,0.006391307636393129,22.51787053115841,7,2.5612348324883056,0.5924686975634,0.24782078663888593,0.2730354283351739,0.02455669563105941,0.8904012672234763,0.010337855449185168,0.2151299094212847,6.0,191.0,normaldistribution,"[0.262881210981887, 0.10995927509088824, 0.12114713289815282, 0.010895923973292629, 0.395075325245291, 0.004586956189608115, 0.09545417562088027]"
18,"[188.0, 3.7371347920131037]",0.11248505605574824,0.01,0.005944766411558349,20.0,7,2.9622513348361874,0.3669810980186725,0.2484047399256142,0.15793087325141547,0.41241182518522573,0.5897190456565496,0.8710859405363603,0.03158619865731983,3.0,191.0,normaldistribution,"[0.13702938487379038, 0.09275341126699897, 0.05897080403067758, 0.1539930503912036, 0.2201989108184641, 0.32526026884859116, 0.011794169770274254]"
19,"[127.0, 5.128112720631857]",0.10141736407863376,0.01,0.008,30.074285650546535,7,1.235160051378157,0.34303476168008573,0.2253095903097558,0.5945977138225833,0.16885036339208429,0.9972758802672601,0.44531097488901794,0.12533934325775628,56.0,183.0,normaldistribution,"[0.11829932684255315, 0.07770050106371741, 0.20505358973774276, 0.05822991299357769, 0.3439216035544437, 0.15357040874505096, 0.04322465706291439]"
20,"[190.0, 3.6885973133920817]",0.12460498978483404,0.01,0.003217811189057692,21.011732608253077,7,2.6985574641307997,0.5422527645130801,0.23013657246875327,0.01,0.6379813110449398,0.7013358988195093,0.1205567456284187,0.05774661505376909,5.0,195.0,normaldistribution,"[0.23576105595813304, 0.10005894831820612, 0.00434780735824992, 0.277381983858712, 0.30492733814922834, 0.05241575057299026, 0.02510711578448028]"
21,"[24.0, 5.788874582151847]",0.10417284726619537,0.01,0.008,36.74041391864767,7,0.6465172728014065,0.551539965027187,0.15120217487613655,0.9236853037742864,0.1363252172532504,0.29020208745105136,0.7738373465774278,0.6147318790793143,146.0,170.0,normaldistribution,"[0.1602603873132259, 0.0439346568603733, 0.2683942668254421, 0.0396118749372743, 0.0843237152029765, 0.22485310357124258, 0.1786219952894653]"
38,"[115.0, 5.777972864200358]",0.13036772169149788,0.01,0.008,26.235617309823063,7,0.9881701418074048,0.04534157769025918,0.3643920990089871,1.0,0.34081704174065475,0.16736318354350863,0.6048725086845472,0.13206121495739293,70.0,185.0,normaldistribution,"[0.017078787216490046, 0.13725537220734257, 0.3766694518915939, 0.12837536830776689, 0.06304059861216561, 0.22783699631050178, 0.04974342545413915]"
66,"[182.0, 4.435973395072815]",0.09502237679396124,0.01,0.0074234764751128805,23.19259809002511,7,0.9528726181901621,0.01,0.557782401929384,0.8124014624402679,0.1797342491553232,0.7403055939666718,0.7065272072630391,0.011721636651175073,5.0,187.0,normaldistribution,"[0.0033129338861612226, 0.18478962204562552, 0.26914323340852975, 0.059544768453041436, 0.24525834883668984, 0.23406779264365757, 0.0038833007262947254]"
84,"[181.0, 4.9797952641425685]",0.08372392976035083,0.01,0.008,26.57448376693541,3,0.0,0.01,0.8136331985102128,1.0,,,,,5.0,186.0,normaldistribution,"[0.005483558869277734, 0.44616055420294887, 0.5483558869277734]"
86,"[184.0, 4.32098610490045]",0.08982583664556959,0.01,0.006154758667569965,23.782464564742988,4,1.7278931835992684,0.586458218871676,0.48799163688864133,0.9999999999999999,0.1913818982348129,,,,4.0,188.0,normaldistribution,"[0.25882690444143913, 0.21536975815976234, 0.4413390350968438, 0.08446430230195469]"
123,"[187.0, 4.04067764940655]",0.0925798682531721,0.01,0.008,20.0,3,1.058400507667119,0.01,0.7542200472117658,1.0,,,,,2.0,189.0,normaldistribution,"[0.005668227166902647, 0.42750905614283274, 0.5668227166902646]"
162,"[122.0, 5.726670630150747]",0.1116407950148392,0.01,0.008,28.955891192040774,5,0.0,0.6917680987945913,1.0,0.9999999999999999,0.3903151286290417,0.5414917598740071,,,63.0,185.0,normaldistribution,"[0.19090762609289685, 0.2759705549093029, 0.2759705549093029, 0.10771548263725259, 0.14943578145124475]"
168,"[22.0, 5.997456677496018]",0.12724019675394124,0.01,0.008,29.45035470606991,5,0.20899376157248842,0.5622678950073445,0.7061331714208074,1.0,0.6967720700161381,0.16448030623087687,,,163.0,185.0,normaldistribution,"[0.17965819708354958, 0.22562663386052692, 0.3195241959906013, 0.22263553546061343, 0.052555437604708814]"
