number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
0,COMPLETE,"[7.0, 0.2825536330955237]",2025-07-23T21:12:10.828623,2025-07-23T21:22:13.370071,602.541448,0.22954542517444568,0.5115844481217936,0.007531073034346968,49.57585878822506,5,0.6395883640449704,0.5298254001002274,0.11586057228303691,0.5054097296034712,0.0881330781881576,0.043875867306208315,,,1.0,8.0,normaldistribution,"[0.4129245429360282, 0.09029705605890061, 0.3938959543133564, 0.06868736572747523, 0.03419508096423955]"
1,COMPLETE,"[5.0, 0.0]",2025-07-23T21:22:13.381842,2025-07-23T21:32:38.017992,624.63615,0.31919469140364254,0.35473673051304716,0.006246333825286927,27.01037587695786,6,1.6448606189767214,0.3978062757485179,0.5134680134166401,0.19671590040253736,0.14164058219070724,0.1038674167313245,0.20833535768140432,,24.0,29.0,normaldistribution,"[0.2547046557706156, 0.32875975463289153, 0.12595189857766254, 0.0906886540745281, 0.06650351248118451, 0.1333915244631177]"
2,PRUNED,,2025-07-23T21:32:38.028926,2025-07-23T21:33:33.147730,55.118804,0.4585012706528552,0.13366648832551983,0.0028616713345845438,21.69083701376114,7,3.5814422641534,0.9901864762471337,0.6132828010863085,0.3270900341992597,0.35829897097193847,0.19493199860062269,0.5353301850623142,0.6275874862949652,,,,
3,PRUNED,,2025-07-23T21:33:33.159740,2025-07-23T21:43:09.383603,576.223863,0.30669498972150916,0.4391948389361771,0.0030140367377118286,33.06354656641024,4,2.20501550402089,0.34976082574567363,0.5409223464256903,0.9629186231833797,0.3286275198843634,,,,,,,
4,COMPLETE,"[163.0, 0.86259052345277]",2025-07-23T21:43:09.396490,2025-07-23T21:53:37.506605,628.110115,0.2932215672957764,0.03551014955893972,0.005723964847527842,41.24262073662679,6,2.7991640694820368,0.4199304397084127,0.23650197207401707,0.29504405546461704,0.9010723763786613,0.8748300080587177,0.06787090032912621,,1.0,164.0,normaldistribution,"[0.15023002485052248, 0.08460852984734313, 0.1055519476397709, 0.32235844962675547, 0.31297024798178974, 0.02428080005381829]"
5,COMPLETE,"[1.0, 0.7871581607659515]",2025-07-23T21:53:37.517614,2025-07-23T22:02:32.820610,535.302996,0.23842937396267366,0.47110361897982106,0.0034307805316652943,36.67927802985382,3,2.4300856614993975,0.9704575600084874,0.34348699398887134,0.767786610613665,,,,,1.0,2.0,normaldistribution,"[0.46617813889999554, 0.16500064937686257, 0.3688212117231418]"
6,COMPLETE,"[10.0, 0.0]",2025-07-23T22:02:32.831308,2025-07-23T22:13:32.798436,659.967128,0.3186883446274417,0.30106350931906034,0.005600843030776327,44.826882781362585,7,0.6402538586470627,0.17400473394424743,0.482056562638635,0.7920431934773576,0.5419646561084838,0.4539729535531423,0.7485759744479267,0.09706080286278805,1.0,11.0,normaldistribution,"[0.052894139655724245, 0.14653605432560302, 0.24076611215980195, 0.16474697876813957, 0.1379991696826785, 0.22755290179665547, 0.029504643611397322]"
7,COMPLETE,"[98.0, 2.925178767773337]",2025-07-23T22:13:32.809445,2025-07-23T22:24:31.645656,658.836211,0.02418217741231382,0.5919369813954171,0.001458344157353152,22.076765501293874,7,1.9966814233829044,0.8157926226818084,0.8043431389911835,0.49079030806370694,0.08698163117194807,0.27088398347923354,0.32893971212605644,0.601529514155162,2.0,100.0,normaldistribution,"[0.23999117576450776, 0.23662294837875783, 0.14438147613891206, 0.025588395082867265, 0.0796890825970501, 0.09676800950866378, 0.17695891252924126]"
8,COMPLETE,"[5.0, 0.0]",2025-07-23T22:24:31.656665,2025-07-23T22:35:34.774035,663.11737,0.3484653275565325,0.111478746536833,0.001737552616013762,45.431674622260786,7,1.2234822070160432,0.42591735774676626,0.8360665933434572,0.5560287219960205,0.9636906090613075,0.4738022001955377,0.04639110734228113,0.38587688042875995,3.0,8.0,normaldistribution,"[0.1154944470419396, 0.2267131102598833, 0.15077626825565627, 0.26132044629939893, 0.1284792040604583, 0.012579706350793125, 0.10463681773187053]"
9,COMPLETE,"[30.0, 1.883508291792284]",2025-07-23T22:35:34.785547,2025-07-23T22:45:31.885329,597.099782,0.14218509260001705,0.3810124618377842,0.0047700482188007005,30.460561362919027,5,1.8228454945198198,0.4458509158692165,0.910617489683497,0.9822951089083092,0.7332456025277044,0.24131279152275642,,,42.0,72.0,normaldistribution,"[0.13456311465658824, 0.27483520008854007, 0.2964683589556824, 0.2213022527766149, 0.07283107352257441]"
