number,values,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,attr_GR,attr_KR,attr_morph_type,attr_weights
103,"[197.0, 1.346333417268581]",0.4019859500853785,0.01,0.008,20.0,3,4.0,1.0,1.0,0.01,,,2.0,199.0,random,"[0.49751243781094534, 0.49751243781094534, 0.0049751243781094535]"
111,"[194.0, 1.4087317208755523]",0.37038035943799813,0.01,0.008,20.0,3,4.0,1.0,1.0,1.0,,,4.0,198.0,random,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
112,"[187.0, 1.7721525057788252]",0.35120434992115634,0.01,0.008,20.0,3,4.0,1.0,0.01,0.01,,,10.0,197.0,random,"[0.9803921568627451, 0.00980392156862745, 0.00980392156862745]"
128,"[160.0, 5.815703129417098]",0.039231867789868445,0.0760326921350765,0.008,50.0,3,0.0,0.01,0.01,0.5887850366523288,,,8.0,168.0,random,"[0.016426159313949928, 0.016426159313949928, 0.9671476813721002]"
130,"[145.0, 5.984645206392427]",0.04495383251630634,0.1000703659649386,0.00750867833826508,50.0,3,0.0,0.01,0.01,0.3057225362409398,,,20.0,165.0,random,"[0.030700976712900552, 0.030700976712900552, 0.9385980465741989]"
131,"[163.0, 5.455893037665275]",0.03571529758335503,0.0753124288179639,0.006710585132434742,50.0,3,0.0,0.01,0.01,0.21703854787135807,,,5.0,168.0,random,"[0.04218723110566408, 0.04218723110566408, 0.9156255377886718]"
133,"[142.0, 6.045977913788578]",0.04548336575583549,0.10706086548395258,0.008,50.0,5,0.0,0.01,0.01,0.2722379572701899,0.2831404112272208,0.4196195632945315,21.0,163.0,random,"[0.010050272146787777, 0.010050272146787777, 0.273606555925099, 0.2845638188586974, 0.421729080922628]"
136,"[165.0, 5.386404771133803]",0.033869417708498085,0.0751826335491147,0.007347402723799694,50.0,3,0.0,0.01,0.01,0.4582642284003998,,,3.0,168.0,random,"[0.020908944065179097, 0.020908944065179097, 0.9581821118696418]"
139,"[192.0, 1.6442108634937518]",0.36139638991881723,0.01,0.008,20.0,3,4.0,1.0,0.01,1.0,,,5.0,197.0,random,"[0.49751243781094534, 0.0049751243781094535, 0.49751243781094534]"
153,"[198.0, 1.1639077195424445]",0.41824655764068847,0.01,0.008,20.0,3,4.0,0.297824888391071,0.01,0.01,,,1.0,199.0,random,"[0.9370722661109195, 0.0314638669445402, 0.0314638669445402]"
156,"[128.0, 6.130374239385895]",0.04608425139717281,0.1304985335025051,0.008,50.0,5,0.0,0.01,0.6359638672168079,0.2538018326995616,0.9015448668617126,0.06544534857027956,32.0,160.0,random,"[0.005356886734779071, 0.3406786404092516, 0.13595876708508983, 0.48294737380996716, 0.0350583319609123]"
172,"[112.0, 6.179159583780611]",0.046886994154448774,0.15711326296672565,0.008,50.0,4,1.3170683708525455,0.01,0.6148998361051499,0.01,0.5357716372660308,,31.0,143.0,random,"[0.00854210615656587, 0.5252539675665144, 0.00854210615656587, 0.4576618201203538]"
173,"[169.0, 4.697534727602787]",0.07622713882435778,0.4932729345486226,0.008,20.0,3,4.0,0.01,1.0,0.01,,,5.0,174.0,random,"[0.00980392156862745, 0.9803921568627451, 0.00980392156862745]"
199,"[178.0, 4.411414105555134]",0.0682836088572062,0.3292030576640817,0.0053691063481830165,20.0,3,4.0,0.01,0.9999999999999999,0.01,,,3.0,181.0,random,"[0.009803921568627453, 0.9803921568627452, 0.009803921568627453]"
