number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
0,COMPLETE,"[65.0, 0.0]",2025-07-20T16:48:03.189962,2025-07-20T16:56:18.745949,495.555987,0.15280800120843346,0.2957425022012571,0.0036976542127026336,40.881438105268,38.0,103.0,uniform
1,COMPLETE,"[10.0, 0.0]",2025-07-20T16:56:18.755920,2025-07-20T17:04:34.284632,495.528712,0.4180375601781948,0.1431829383405551,0.001937456467576692,39.824179771629986,50.0,60.0,uniform
2,COMPLETE,"[22.0, 0.7169122266162837]",2025-07-20T17:04:34.293244,2025-07-20T17:12:49.701055,495.407811,0.1803639389697553,0.46597753512413287,0.005976208864216237,22.76004616648992,92.0,114.0,uniform
3,COMPLETE,"[86.0, 0.9516818888317073]",2025-07-20T17:12:49.708861,2025-07-20T17:21:05.350683,495.641822,0.4109666861659382,0.03340450811551019,0.00678879243061202,29.15351237529967,1.0,87.0,uniform
4,COMPLETE,"[77.0, 0.0]",2025-07-20T17:21:05.359140,2025-07-20T17:29:19.555174,494.196034,0.2118333205700185,0.36363318111709414,0.0047375962898944714,27.455826409568758,40.0,117.0,uniform
5,COMPLETE,"[55.0, 0.0]",2025-07-20T17:29:19.563831,2025-07-20T17:37:36.049227,496.485396,0.26449150068626254,0.4851128141844645,0.007818528002834658,27.553259149638745,28.0,83.0,uniform
6,COMPLETE,"[28.0, 0.0]",2025-07-20T17:37:36.057170,2025-07-20T17:45:51.099958,495.042788,0.1568486656888021,0.2541814939078284,0.007749759599314075,47.995869392378225,39.0,67.0,uniform
7,COMPLETE,"[12.0, 0.0]",2025-07-20T17:45:51.109115,2025-07-20T17:54:09.015609,497.906494,0.4668684976506957,0.3781496614039055,0.0028023260242619704,34.96883280019766,30.0,42.0,uniform
8,COMPLETE,"[25.0, 0.8958259951022797]",2025-07-20T17:54:09.026275,2025-07-20T18:02:22.690504,493.664229,0.3090952605853337,0.020476335892290087,0.0032384121178420434,44.059743851470735,1.0,26.0,uniform
9,COMPLETE,"[39.0, 0.0]",2025-07-20T18:02:22.698660,2025-07-20T18:10:40.252078,497.553418,0.20051964099025377,0.1908905754700961,0.006926044319738467,36.50127098316399,49.0,88.0,uniform
10,COMPLETE,"[197.0, 0.9332784312517843]",2025-07-20T18:10:40.260704,2025-07-20T18:18:55.775468,495.514764,0.37367819951067444,0.01,0.007647074049837615,28.562974519746717,1.0,198.0,uniform
11,COMPLETE,"[91.0, 0.7612432146588651]",2025-07-20T18:18:55.783982,2025-07-20T18:27:10.707914,494.923932,0.4310192611902255,0.01,0.008,29.436904770619016,1.0,92.0,uniform
12,COMPLETE,"[195.0, 1.2865882129012407]",2025-07-20T18:27:10.716180,2025-07-20T18:35:27.222709,496.506529,0.34451917307586827,0.01,0.007915216745279681,21.218616476199497,4.0,199.0,uniform
13,COMPLETE,"[174.0, 1.211074687115393]",2025-07-20T18:35:27.231222,2025-07-20T18:43:42.457829,495.226607,0.3412470850025802,0.01,0.00675781062479252,20.0,25.0,199.0,uniform
14,COMPLETE,"[40.0, 0.0]",2025-07-20T18:43:42.466252,2025-07-20T18:51:57.841943,495.375691,0.35811425556670556,0.06869559525983962,0.008,23.164552439093402,62.0,102.0,uniform
15,COMPLETE,"[187.0, 1.101948615887187]",2025-07-20T18:51:57.849671,2025-07-20T19:00:15.145822,497.296151,0.3662507365071775,0.01,0.005368924976675512,31.249657198453797,1.0,188.0,uniform
16,COMPLETE,"[198.0, 0.9287308654401575]",2025-07-20T19:00:15.154517,2025-07-20T19:08:30.729203,495.574686,0.3281918415604851,0.01,0.006796956376910624,26.876151346045937,1.0,199.0,uniform
17,COMPLETE,"[197.0, 0.7933207282407231]",2025-07-20T19:08:30.737269,2025-07-20T19:16:45.935224,495.197955,0.34722995791133965,0.01,0.008,27.165482881336153,1.0,198.0,uniform
18,COMPLETE,"[59.0, 0.9227768644748233]",2025-07-20T19:16:45.943558,2025-07-20T19:24:59.867342,493.923784,0.3517537541734354,0.01,0.0022387859486504144,23.67353921606543,2.0,61.0,uniform
19,COMPLETE,"[164.0, 0.8474438010822944]",2025-07-20T19:24:59.876808,2025-07-20T19:33:18.244504,498.367696,0.348655750280566,0.01,0.007127113731427943,31.86645732615178,1.0,165.0,uniform
20,COMPLETE,"[23.0, 1.9783260424170328]",2025-07-20T19:33:18.253706,2025-07-20T19:41:33.282168,495.028462,0.01,0.01,0.00538493464814284,20.0,1.0,24.0,uniform
21,COMPLETE,"[39.0, 2.452107004252184]",2025-07-20T19:41:33.290691,2025-07-20T19:49:49.853073,496.562382,0.01,0.01,0.0047857729414409675,45.95901039705805,1.0,40.0,uniform
