result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0001,uniform,baseline,1,uniform_fixed_repeated_eval_study,0,completed,,,1234,822605836,2870441983,4175664996,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.8065118399074307,84.0,1.0,83.0,KR_minus_GR,110.0973058999516,2026-03-12T20:26:51Z,2026-03-12T20:28:42Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0002,uniform,baseline,2,uniform_fixed_repeated_eval_study,1,completed,,,1234,3830801295,1299180806,2620423767,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.7770266143663775,86.0,1.0,85.0,KR_minus_GR,96.31497809989378,2026-03-12T20:28:42Z,2026-03-12T20:30:18Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0003,uniform,baseline,3,uniform_fixed_repeated_eval_study,2,completed,,,1234,379826909,3015631471,452068234,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.3346378419132456,84.0,1.0,83.0,KR_minus_GR,94.83404020010494,2026-03-12T20:30:18Z,2026-03-12T20:31:53Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0004,uniform,baseline,4,uniform_fixed_repeated_eval_study,3,completed,,,1234,3201149240,3683736419,2166352710,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.088497994981448,83.0,1.0,82.0,KR_minus_GR,95.96361469989643,2026-03-12T20:31:53Z,2026-03-12T20:33:29Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0005,uniform,baseline,5,uniform_fixed_repeated_eval_study,4,completed,,,1234,3822280574,2017292713,133671639,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.9497581463538842,83.0,1.0,82.0,KR_minus_GR,94.74571799999103,2026-03-12T20:33:29Z,2026-03-12T20:35:03Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0006,uniform,baseline,6,uniform_fixed_repeated_eval_study,5,completed,,,1234,179703293,1551451119,70063062,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.753984839780296,83.0,1.0,82.0,KR_minus_GR,94.83356920001097,2026-03-12T20:35:03Z,2026-03-12T20:36:38Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0007,uniform,baseline,7,uniform_fixed_repeated_eval_study,6,completed,,,1234,2805355882,2322789440,3662990142,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.8191298170895083,85.0,1.0,84.0,KR_minus_GR,94.5108694001101,2026-03-12T20:36:38Z,2026-03-12T20:38:13Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0008,uniform,baseline,8,uniform_fixed_repeated_eval_study,7,completed,,,1234,2460328142,2068643734,1024837803,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.1000709570579215,84.0,1.0,83.0,KR_minus_GR,94.93122790008783,2026-03-12T20:38:13Z,2026-03-12T20:39:48Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0009,uniform,baseline,9,uniform_fixed_repeated_eval_study,8,completed,,,1234,3325916966,2765497311,3455160601,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.1886232941368107,85.0,1.0,84.0,KR_minus_GR,94.24302199995145,2026-03-12T20:39:48Z,2026-03-12T20:41:22Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_trial_0010,uniform,baseline,10,uniform_fixed_repeated_eval_study,9,completed,,,1234,2062181733,19946477,395502359,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.947174712964957,85.0,1.0,84.0,KR_minus_GR,94.28257669997402,2026-03-12T20:41:22Z,2026-03-12T20:42:56Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v1/run_20260312_202651/resolved_config.yaml,
