result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0001,uniform,baseline,1,uniform_fixed_repeated_eval_study,0,completed,,,1234,557384437,4284584593,1099293797,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.695236080817649,81.0,1.0,80.0,KR_minus_GR,95.12237980007194,2026-03-14T12:02:57Z,2026-03-14T12:04:32Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0002,uniform,baseline,2,uniform_fixed_repeated_eval_study,1,completed,,,1234,1420838081,3315515159,3245661404,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.212799602839156,83.0,1.0,82.0,KR_minus_GR,95.14054829999804,2026-03-14T12:04:32Z,2026-03-14T12:06:07Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0003,uniform,baseline,3,uniform_fixed_repeated_eval_study,2,completed,,,1234,2877095840,2219982920,2590698115,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.578931478247708,81.0,1.0,80.0,KR_minus_GR,94.76814460009336,2026-03-14T12:06:07Z,2026-03-14T12:07:42Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0004,uniform,baseline,4,uniform_fixed_repeated_eval_study,3,completed,,,1234,3324148202,3070274865,3406246820,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.796476061549033,87.0,1.0,86.0,KR_minus_GR,95.2418931000866,2026-03-14T12:07:42Z,2026-03-14T12:09:17Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0005,uniform,baseline,5,uniform_fixed_repeated_eval_study,4,completed,,,1234,2730107343,836280899,272808745,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.6630340974853466,79.0,1.0,78.0,KR_minus_GR,95.13584719994105,2026-03-14T12:09:17Z,2026-03-14T12:10:53Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0006,uniform,baseline,6,uniform_fixed_repeated_eval_study,5,completed,,,1234,845667455,3180735762,2366377893,,20.0,0.2,0.05,0.01,100,uniform,,,,,2.9859338722333906,77.0,1.0,76.0,KR_minus_GR,95.09369460004382,2026-03-14T12:10:53Z,2026-03-14T12:12:28Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0007,uniform,baseline,7,uniform_fixed_repeated_eval_study,6,completed,,,1234,2553641544,1534643511,559736296,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.1671458285134264,82.0,1.0,81.0,KR_minus_GR,95.40253790002316,2026-03-14T12:12:28Z,2026-03-14T12:14:03Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0008,uniform,baseline,8,uniform_fixed_repeated_eval_study,7,completed,,,1234,820649975,3784784527,2505475035,,20.0,0.2,0.05,0.01,100,uniform,,,,,2.936453998051178,80.0,1.0,79.0,KR_minus_GR,95.00307279988192,2026-03-14T12:14:03Z,2026-03-14T12:15:38Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0009,uniform,baseline,9,uniform_fixed_repeated_eval_study,8,completed,,,1234,2861565625,3653215253,3702444616,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.7794708191952955,79.0,1.0,78.0,KR_minus_GR,95.2234121998772,2026-03-14T12:15:38Z,2026-03-14T12:17:13Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0010,uniform,baseline,10,uniform_fixed_repeated_eval_study,9,completed,,,1234,173019452,3335379282,3227370497,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.1291329777378287,86.0,1.0,85.0,KR_minus_GR,94.95339699997567,2026-03-14T12:17:13Z,2026-03-14T12:18:48Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0011,uniform,baseline,11,uniform_fixed_repeated_eval_study,10,completed,,,1234,3051747814,2938311673,3927796037,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.3304097415525096,83.0,1.0,82.0,KR_minus_GR,95.02641290007159,2026-03-14T12:18:48Z,2026-03-14T12:20:23Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0012,uniform,baseline,12,uniform_fixed_repeated_eval_study,11,completed,,,1234,349346877,1491040069,1209011973,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.89654633430366,85.0,1.0,84.0,KR_minus_GR,95.00738830002956,2026-03-14T12:20:23Z,2026-03-14T12:21:58Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0013,uniform,baseline,13,uniform_fixed_repeated_eval_study,12,completed,,,1234,3283383610,2237597193,1484433474,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.789121622739425,82.0,1.0,81.0,KR_minus_GR,94.7622877000831,2026-03-14T12:21:58Z,2026-03-14T12:23:33Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0014,uniform,baseline,14,uniform_fixed_repeated_eval_study,13,completed,,,1234,1498703894,3051669214,2246098719,,20.0,0.2,0.05,0.01,100,uniform,,,,,4.22311331769861,83.0,1.0,82.0,KR_minus_GR,95.30851129977964,2026-03-14T12:23:33Z,2026-03-14T12:25:08Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0015,uniform,baseline,15,uniform_fixed_repeated_eval_study,14,completed,,,1234,561358417,1089557608,3730222718,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.6453888502828793,81.0,1.0,80.0,KR_minus_GR,95.06745410012081,2026-03-14T12:25:08Z,2026-03-14T12:26:43Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0016,uniform,baseline,16,uniform_fixed_repeated_eval_study,15,completed,,,1234,3831752978,140309103,777858740,,20.0,0.2,0.05,0.01,100,uniform,,,,,4.163162599754343,87.0,2.0,85.0,KR_minus_GR,95.0762120001018,2026-03-14T12:26:43Z,2026-03-14T12:28:19Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0017,uniform,baseline,17,uniform_fixed_repeated_eval_study,16,completed,,,1234,2310362745,1172260544,2315437138,,20.0,0.2,0.05,0.01,100,uniform,,,,,4.1853265380426565,82.0,1.0,81.0,KR_minus_GR,95.1326882999856,2026-03-14T12:28:19Z,2026-03-14T12:29:54Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
