study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,1,beta_prime,1,20.0,beta_spread,1,1.0,uniform,baseline,beta_prime__beta_spread_grid_01_uniform,completed,,,20.0,0.2,0.05,0.01,5,1.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,3341645679,457886829,3538871409,3.830098123869903,82.0,1.0,81.0,93.7396217000205,2026-03-15T13:08:39Z,2026-03-15T13:10:13Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,1,beta_prime,1,20.0,beta_spread,1,1.0,heterogeneous,candidate,beta_prime__beta_spread_grid_01_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,1.0,20.0,0.2,0.05,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,3341645679,457886829,3538871409,3.8464431818048426,73.0,1.0,72.0,138.36381360003725,2026-03-15T13:10:13Z,2026-03-15T13:12:32Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,2,beta_prime,1,20.0,beta_spread,2,3.25,uniform,baseline,beta_prime__beta_spread_grid_02_uniform,completed,,,20.0,0.2,0.05,0.01,5,3.25,20.0,0.2,0.05,0.01,,,100,uniform,,,,3770675915,2370894938,3298362815,3.522289075991232,86.0,1.0,85.0,94.51868940005079,2026-03-15T13:12:32Z,2026-03-15T13:14:06Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,2,beta_prime,1,20.0,beta_spread,2,3.25,heterogeneous,candidate,beta_prime__beta_spread_grid_02_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,3.25,20.0,0.2,0.05,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,3770675915,2370894938,3298362815,3.6538061784599427,81.0,1.0,80.0,139.2354963000398,2026-03-15T13:14:06Z,2026-03-15T13:16:25Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,3,beta_prime,1,20.0,beta_spread,3,5.5,uniform,baseline,beta_prime__beta_spread_grid_03_uniform,completed,,,20.0,0.2,0.05,0.01,5,5.5,20.0,0.2,0.05,0.01,,,100,uniform,,,,941057151,1608557929,2356006179,3.9635130832574683,82.0,1.0,81.0,94.1967182001099,2026-03-15T13:16:25Z,2026-03-15T13:17:59Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,3,beta_prime,1,20.0,beta_spread,3,5.5,heterogeneous,candidate,beta_prime__beta_spread_grid_03_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,5.5,20.0,0.2,0.05,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,941057151,1608557929,2356006179,3.8479982129810106,71.0,2.0,69.0,138.82370259985328,2026-03-15T13:17:59Z,2026-03-15T13:20:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,4,beta_prime,1,20.0,beta_spread,4,7.75,uniform,baseline,beta_prime__beta_spread_grid_04_uniform,completed,,,20.0,0.2,0.05,0.01,5,7.75,20.0,0.2,0.05,0.01,,,100,uniform,,,,2215109747,1487910696,1914032874,3.8000210434985093,82.0,1.0,81.0,94.37597110006027,2026-03-15T13:20:18Z,2026-03-15T13:21:53Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,4,beta_prime,1,20.0,beta_spread,4,7.75,heterogeneous,candidate,beta_prime__beta_spread_grid_04_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,7.75,20.0,0.2,0.05,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,2215109747,1487910696,1914032874,3.3628908930428043,67.0,2.0,65.0,138.40919160004705,2026-03-15T13:21:53Z,2026-03-15T13:24:11Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,5,beta_prime,1,20.0,beta_spread,5,10.0,uniform,baseline,beta_prime__beta_spread_grid_05_uniform,completed,,,20.0,0.2,0.05,0.01,5,10.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,2416810949,3200246158,4282125702,3.9695832216145632,88.0,1.0,87.0,94.12821609992534,2026-03-15T13:24:11Z,2026-03-15T13:25:45Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,5,beta_prime,1,20.0,beta_spread,5,10.0,heterogeneous,candidate,beta_prime__beta_spread_grid_05_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,10.0,20.0,0.2,0.05,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,2416810949,3200246158,4282125702,4.009319432116817,68.0,26.0,42.0,137.92949579982087,2026-03-15T13:25:45Z,2026-03-15T13:28:03Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__beta_spread,6,beta_prime,2,27.5,beta_spread,1,1.0,uniform,baseline,beta_prime__beta_spread_grid_06_uniform,completed,,,27.5,0.2,0.05,0.01,5,1.0,27.5,0.2,0.05,0.01,,,100,uniform,,,,558317995,3659360184,941084673,4.9685928295052175,81.0,2.0,79.0,94.49903850001283,2026-03-15T13:28:03Z,2026-03-15T13:29:38Z
