study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,1,beta_prime,1,20.0,theta,1,0.01,uniform,baseline,beta_prime__theta_grid_01_uniform,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,557384437,4284584593,1099293797,2.2287549306760326,35.0,2.0,33.0,97.58179780002683,2026-03-15T11:31:40Z,2026-03-15T11:33:17Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,1,beta_prime,1,20.0,theta,1,0.01,heterogeneous,candidate,beta_prime__theta_grid_01_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,557384437,4284584593,1099293797,3.0322433763204577,61.0,3.0,58.0,141.7860300000757,2026-03-15T11:33:17Z,2026-03-15T11:35:39Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,2,beta_prime,1,20.0,theta,2,0.1575,uniform,baseline,beta_prime__theta_grid_02_uniform,completed,,,20.0,0.1575,0.05,0.01,5,3.0,20.0,0.1575,0.05,0.01,,,100,uniform,,,,1420838081,3315515159,3245661404,3.3838244122260823,84.0,1.0,83.0,94.23494799993932,2026-03-15T11:35:39Z,2026-03-15T11:37:13Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,2,beta_prime,1,20.0,theta,2,0.1575,heterogeneous,candidate,beta_prime__theta_grid_02_heterogeneous,completed,,,20.0,0.1575,0.05,0.01,5,3.0,20.0,0.1575,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1420838081,3315515159,3245661404,3.5335101107013456,78.0,1.0,77.0,137.6688808000181,2026-03-15T11:37:13Z,2026-03-15T11:39:31Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,3,beta_prime,1,20.0,theta,3,0.305,uniform,baseline,beta_prime__theta_grid_03_uniform,completed,,,20.0,0.305,0.05,0.01,5,3.0,20.0,0.305,0.05,0.01,,,100,uniform,,,,2877095840,2219982920,2590698115,3.6712225243134227,79.0,1.0,78.0,93.97539429995231,2026-03-15T11:39:31Z,2026-03-15T11:41:05Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,3,beta_prime,1,20.0,theta,3,0.305,heterogeneous,candidate,beta_prime__theta_grid_03_heterogeneous,completed,,,20.0,0.305,0.05,0.01,5,3.0,20.0,0.305,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2877095840,2219982920,2590698115,3.5816442845741365,63.0,1.0,62.0,137.59976519993506,2026-03-15T11:41:05Z,2026-03-15T11:43:22Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,4,beta_prime,1,20.0,theta,4,0.4525,uniform,baseline,beta_prime__theta_grid_04_uniform,completed,,,20.0,0.4525,0.05,0.01,5,3.0,20.0,0.4525,0.05,0.01,,,100,uniform,,,,3324148202,3070274865,3406246820,3.3148487373005553,83.0,1.0,82.0,93.88756940001622,2026-03-15T11:43:22Z,2026-03-15T11:44:56Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,4,beta_prime,1,20.0,theta,4,0.4525,heterogeneous,candidate,beta_prime__theta_grid_04_heterogeneous,completed,,,20.0,0.4525,0.05,0.01,5,3.0,20.0,0.4525,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3324148202,3070274865,3406246820,3.309018457098297,69.0,1.0,68.0,139.08698099991307,2026-03-15T11:44:56Z,2026-03-15T11:47:15Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,5,beta_prime,1,20.0,theta,5,0.6,uniform,baseline,beta_prime__theta_grid_05_uniform,completed,,,20.0,0.6,0.05,0.01,5,3.0,20.0,0.6,0.05,0.01,,,100,uniform,,,,2730107343,836280899,272808745,3.573775162350291,77.0,1.0,76.0,94.06233890005387,2026-03-15T11:47:15Z,2026-03-15T11:48:49Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,beta_prime__theta,5,beta_prime,1,20.0,theta,5,0.6,heterogeneous,candidate,beta_prime__theta_grid_05_heterogeneous,completed,,,20.0,0.6,0.05,0.01,5,3.0,20.0,0.6,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2730107343,836280899,272808745,3.62051503176577,60.0,1.0,59.0,138.20037099998444,2026-03-15T11:48:49Z,2026-03-15T11:51:08Z
