study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,1,gamma,1,0.01,beta_prime,1,20.0,uniform,baseline,gamma__beta_prime_grid_01_uniform,completed,,,20.0,0.2,0.01,0.01,5,3.0,20.0,0.2,0.01,0.01,,,100,uniform,,,,2862836678,694776874,3539243271,2.7221171709615724,54.0,1.0,53.0,93.92626200011,2026-03-15T16:22:27Z,2026-03-15T16:24:01Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,1,gamma,1,0.01,beta_prime,1,20.0,heterogeneous,candidate,gamma__beta_prime_grid_01_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,3.0,20.0,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2862836678,694776874,3539243271,2.569203465290025,42.0,1.0,41.0,138.72787479986437,2026-03-15T16:24:01Z,2026-03-15T16:26:20Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,2,gamma,1,0.01,beta_prime,2,27.5,uniform,baseline,gamma__beta_prime_grid_02_uniform,completed,,,27.5,0.2,0.01,0.01,5,3.0,27.5,0.2,0.01,0.01,,,100,uniform,,,,2278151636,1169045808,4262093853,3.0447708754011304,56.0,1.0,55.0,93.74848499987274,2026-03-15T16:26:20Z,2026-03-15T16:27:54Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,2,gamma,1,0.01,beta_prime,2,27.5,heterogeneous,candidate,gamma__beta_prime_grid_02_heterogeneous,completed,,,27.5,0.2,0.01,0.01,5,3.0,27.5,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2278151636,1169045808,4262093853,2.568735746280806,50.0,1.0,49.0,138.3455180998426,2026-03-15T16:27:54Z,2026-03-15T16:30:12Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,3,gamma,1,0.01,beta_prime,3,35.0,uniform,baseline,gamma__beta_prime_grid_03_uniform,completed,,,35.0,0.2,0.01,0.01,5,3.0,35.0,0.2,0.01,0.01,,,100,uniform,,,,740591845,4100341623,420942998,2.7896132831800813,61.0,1.0,60.0,94.13743710005656,2026-03-15T16:30:12Z,2026-03-15T16:31:46Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,3,gamma,1,0.01,beta_prime,3,35.0,heterogeneous,candidate,gamma__beta_prime_grid_03_heterogeneous,completed,,,35.0,0.2,0.01,0.01,5,3.0,35.0,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,740591845,4100341623,420942998,2.9755786968818354,42.0,1.0,41.0,138.62422470003366,2026-03-15T16:31:46Z,2026-03-15T16:34:05Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,4,gamma,1,0.01,beta_prime,4,42.5,uniform,baseline,gamma__beta_prime_grid_04_uniform,completed,,,42.5,0.2,0.01,0.01,5,3.0,42.5,0.2,0.01,0.01,,,100,uniform,,,,739349512,1657496065,552080929,2.796328579695977,53.0,1.0,52.0,93.87213110015728,2026-03-15T16:34:05Z,2026-03-15T16:35:39Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,4,gamma,1,0.01,beta_prime,4,42.5,heterogeneous,candidate,gamma__beta_prime_grid_04_heterogeneous,completed,,,42.5,0.2,0.01,0.01,5,3.0,42.5,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,739349512,1657496065,552080929,2.7797012825173013,38.0,1.0,37.0,138.16899250005372,2026-03-15T16:35:39Z,2026-03-15T16:37:57Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,5,gamma,1,0.01,beta_prime,5,50.0,uniform,baseline,gamma__beta_prime_grid_05_uniform,completed,,,50.0,0.2,0.01,0.01,5,3.0,50.0,0.2,0.01,0.01,,,100,uniform,,,,1323919646,3332646679,2403702811,3.0979667585754043,45.0,1.0,44.0,93.91992939985357,2026-03-15T16:37:57Z,2026-03-15T16:39:31Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,5,gamma,1,0.01,beta_prime,5,50.0,heterogeneous,candidate,gamma__beta_prime_grid_05_heterogeneous,completed,,,50.0,0.2,0.01,0.01,5,3.0,50.0,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1323919646,3332646679,2403702811,3.074626874482279,30.0,1.0,29.0,138.75835780007765,2026-03-15T16:39:31Z,2026-03-15T16:41:49Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,6,gamma,2,0.0575,beta_prime,1,20.0,uniform,baseline,gamma__beta_prime_grid_06_uniform,completed,,,20.0,0.2,0.0575,0.01,5,3.0,20.0,0.2,0.0575,0.01,,,100,uniform,,,,3194878246,237065149,1694502857,3.6998131626135695,78.0,1.0,77.0,93.72090149996802,2026-03-15T16:41:49Z,2026-03-15T16:43:23Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,6,gamma,2,0.0575,beta_prime,1,20.0,heterogeneous,candidate,gamma__beta_prime_grid_06_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,3.0,20.0,0.2,0.0575,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3194878246,237065149,1694502857,4.124256072878184,68.0,2.0,66.0,137.47695489996113,2026-03-15T16:43:23Z,2026-03-15T16:45:41Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,7,gamma,2,0.0575,beta_prime,2,27.5,uniform,baseline,gamma__beta_prime_grid_07_uniform,completed,,,27.5,0.2,0.0575,0.01,5,3.0,27.5,0.2,0.0575,0.01,,,100,uniform,,,,1980447107,2494224283,1230896977,5.183113845784299,83.0,3.0,80.0,94.21956479991786,2026-03-15T16:45:41Z,2026-03-15T16:47:15Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,7,gamma,2,0.0575,beta_prime,2,27.5,heterogeneous,candidate,gamma__beta_prime_grid_07_heterogeneous,completed,,,27.5,0.2,0.0575,0.01,5,3.0,27.5,0.2,0.0575,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1980447107,2494224283,1230896977,5.060108534611344,71.0,2.0,69.0,137.6966514000669,2026-03-15T16:47:15Z,2026-03-15T16:49:32Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,8,gamma,2,0.0575,beta_prime,3,35.0,uniform,baseline,gamma__beta_prime_grid_08_uniform,completed,,,35.0,0.2,0.0575,0.01,5,3.0,35.0,0.2,0.0575,0.01,,,100,uniform,,,,2812225581,3695467298,2724195123,5.216587741644732,82.0,8.0,74.0,94.14442429994233,2026-03-15T16:49:32Z,2026-03-15T16:51:07Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,8,gamma,2,0.0575,beta_prime,3,35.0,heterogeneous,candidate,gamma__beta_prime_grid_08_heterogeneous,completed,,,35.0,0.2,0.0575,0.01,5,3.0,35.0,0.2,0.0575,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2812225581,3695467298,2724195123,4.885609489031542,71.0,7.0,64.0,138.38009599992074,2026-03-15T16:51:07Z,2026-03-15T16:53:25Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,9,gamma,2,0.0575,beta_prime,4,42.5,uniform,baseline,gamma__beta_prime_grid_09_uniform,completed,,,42.5,0.2,0.0575,0.01,5,3.0,42.5,0.2,0.0575,0.01,,,100,uniform,,,,4078116839,3866088774,2385791191,5.721413386879727,82.0,25.0,57.0,93.75131989992224,2026-03-15T16:53:25Z,2026-03-15T16:54:59Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,9,gamma,2,0.0575,beta_prime,4,42.5,heterogeneous,candidate,gamma__beta_prime_grid_09_heterogeneous,completed,,,42.5,0.2,0.0575,0.01,5,3.0,42.5,0.2,0.0575,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,4078116839,3866088774,2385791191,5.11659942927497,66.0,16.0,50.0,137.7281895999331,2026-03-15T16:54:59Z,2026-03-15T16:57:16Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,10,gamma,2,0.0575,beta_prime,5,50.0,uniform,baseline,gamma__beta_prime_grid_10_uniform,completed,,,50.0,0.2,0.0575,0.01,5,3.0,50.0,0.2,0.0575,0.01,,,100,uniform,,,,360791998,3759787954,2366511329,4.7016323696669655,81.0,54.0,27.0,93.7053859999869,2026-03-15T16:57:17Z,2026-03-15T16:58:50Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,10,gamma,2,0.0575,beta_prime,5,50.0,heterogeneous,candidate,gamma__beta_prime_grid_10_heterogeneous,completed,,,50.0,0.2,0.0575,0.01,5,3.0,50.0,0.2,0.0575,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,360791998,3759787954,2366511329,3.536864231354415,68.0,33.0,35.0,137.796745599946,2026-03-15T16:58:50Z,2026-03-15T17:01:08Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,11,gamma,3,0.105,beta_prime,1,20.0,uniform,baseline,gamma__beta_prime_grid_11_uniform,completed,,,20.0,0.2,0.105,0.01,5,3.0,20.0,0.2,0.105,0.01,,,100,uniform,,,,2835264557,2730710268,3650938485,4.237590929908331,81.0,10.0,71.0,93.81932770018466,2026-03-15T17:01:08Z,2026-03-15T17:02:42Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,11,gamma,3,0.105,beta_prime,1,20.0,heterogeneous,candidate,gamma__beta_prime_grid_11_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,3.0,20.0,0.2,0.105,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2835264557,2730710268,3650938485,4.2344774236453855,70.0,7.0,63.0,139.11648240010254,2026-03-15T17:02:42Z,2026-03-15T17:05:01Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,12,gamma,3,0.105,beta_prime,2,27.5,uniform,baseline,gamma__beta_prime_grid_12_uniform,completed,,,27.5,0.2,0.105,0.01,5,3.0,27.5,0.2,0.105,0.01,,,100,uniform,,,,3600459750,1457513753,2730766268,4.637973654168423,90.0,67.0,23.0,93.98558519990183,2026-03-15T17:05:01Z,2026-03-15T17:06:35Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,12,gamma,3,0.105,beta_prime,2,27.5,heterogeneous,candidate,gamma__beta_prime_grid_12_heterogeneous,completed,,,27.5,0.2,0.105,0.01,5,3.0,27.5,0.2,0.105,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3600459750,1457513753,2730766268,3.696811868131898,80.0,59.0,21.0,137.1539674999658,2026-03-15T17:06:35Z,2026-03-15T17:08:52Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,13,gamma,3,0.105,beta_prime,3,35.0,uniform,baseline,gamma__beta_prime_grid_13_uniform,completed,,,35.0,0.2,0.105,0.01,5,3.0,35.0,0.2,0.105,0.01,,,100,uniform,,,,1640686540,3482870705,371467778,0.8186415439902424,48.0,51.0,-3.0,93.7627252000384,2026-03-15T17:08:52Z,2026-03-15T17:10:26Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_prime,13,gamma,3,0.105,beta_prime,3,35.0,heterogeneous,candidate,gamma__beta_prime_grid_13_heterogeneous,completed,,,35.0,0.2,0.105,0.01,5,3.0,35.0,0.2,0.105,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1640686540,3482870705,371467778,0.5006657531202473,35.0,35.0,0.0,138.5937563998159,2026-03-15T17:10:26Z,2026-03-15T17:12:44Z
