study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,1,gamma,1,0.01,beta_spread,1,1.0,uniform,baseline,gamma__beta_spread_grid_01_uniform,completed,,,20.0,0.2,0.01,0.01,5,1.0,20.0,0.2,0.01,0.01,,,100,uniform,,,,927730576,268885564,4206135614,2.571844159622934,54.0,1.0,53.0,94.20706919999793,2026-03-15T19:35:51Z,2026-03-15T19:37:25Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,1,gamma,1,0.01,beta_spread,1,1.0,heterogeneous,candidate,gamma__beta_spread_grid_01_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,1.0,20.0,0.2,0.01,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,927730576,268885564,4206135614,2.4195471973667475,43.0,1.0,42.0,138.19542280002497,2026-03-15T19:37:25Z,2026-03-15T19:39:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,2,gamma,1,0.01,beta_spread,2,3.25,uniform,baseline,gamma__beta_spread_grid_02_uniform,completed,,,20.0,0.2,0.01,0.01,5,3.25,20.0,0.2,0.01,0.01,,,100,uniform,,,,414752500,1132702921,4254711696,2.7745192145835578,55.0,1.0,54.0,94.62414540001191,2026-03-15T19:39:44Z,2026-03-15T19:41:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,2,gamma,1,0.01,beta_spread,2,3.25,heterogeneous,candidate,gamma__beta_spread_grid_02_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,3.25,20.0,0.2,0.01,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,414752500,1132702921,4254711696,2.79128937934129,49.0,1.0,48.0,137.50117679988034,2026-03-15T19:41:18Z,2026-03-15T19:43:36Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,3,gamma,1,0.01,beta_spread,3,5.5,uniform,baseline,gamma__beta_spread_grid_03_uniform,completed,,,20.0,0.2,0.01,0.01,5,5.5,20.0,0.2,0.01,0.01,,,100,uniform,,,,3381291475,3604589610,726329314,2.2424107127727764,61.0,1.0,60.0,94.18740019993857,2026-03-15T19:43:36Z,2026-03-15T19:45:10Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,3,gamma,1,0.01,beta_spread,3,5.5,heterogeneous,candidate,gamma__beta_spread_grid_03_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,5.5,20.0,0.2,0.01,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,3381291475,3604589610,726329314,2.565945682272342,46.0,1.0,45.0,140.84004739997908,2026-03-15T19:45:10Z,2026-03-15T19:47:31Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,4,gamma,1,0.01,beta_spread,4,7.75,uniform,baseline,gamma__beta_spread_grid_04_uniform,completed,,,20.0,0.2,0.01,0.01,5,7.75,20.0,0.2,0.01,0.01,,,100,uniform,,,,1662900301,2261372793,929986918,2.845979618447601,57.0,1.0,56.0,95.06292539997958,2026-03-15T19:47:31Z,2026-03-15T19:49:06Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,4,gamma,1,0.01,beta_spread,4,7.75,heterogeneous,candidate,gamma__beta_spread_grid_04_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,7.75,20.0,0.2,0.01,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,1662900301,2261372793,929986918,2.9509751096641637,44.0,1.0,43.0,137.69214840000495,2026-03-15T19:49:06Z,2026-03-15T19:51:24Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,5,gamma,1,0.01,beta_spread,5,10.0,uniform,baseline,gamma__beta_spread_grid_05_uniform,completed,,,20.0,0.2,0.01,0.01,5,10.0,20.0,0.2,0.01,0.01,,,100,uniform,,,,1445262758,1534405668,838358484,2.568787357644058,53.0,1.0,52.0,94.23584920004942,2026-03-15T19:51:24Z,2026-03-15T19:52:58Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,5,gamma,1,0.01,beta_spread,5,10.0,heterogeneous,candidate,gamma__beta_spread_grid_05_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,10.0,20.0,0.2,0.01,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,1445262758,1534405668,838358484,3.0886852830857157,43.0,4.0,39.0,138.43869959982112,2026-03-15T19:52:58Z,2026-03-15T19:55:16Z
