study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,1,gamma,1,0.01,theta,1,0.01,uniform,baseline,gamma__theta_grid_01_uniform,completed,,,20.0,0.01,0.01,0.01,5,3.0,20.0,0.01,0.01,0.01,,,100,uniform,,,,1065291831,3175857252,1734672798,2.1171580828141057,17.0,2.0,15.0,94.17785510001704,2026-03-15T17:59:10Z,2026-03-15T18:00:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,1,gamma,1,0.01,theta,1,0.01,heterogeneous,candidate,gamma__theta_grid_01_heterogeneous,completed,,,20.0,0.01,0.01,0.01,5,3.0,20.0,0.01,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1065291831,3175857252,1734672798,2.7714113980348145,21.0,3.0,18.0,137.54971529985778,2026-03-15T18:00:44Z,2026-03-15T18:03:01Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,2,gamma,1,0.01,theta,2,0.1575,uniform,baseline,gamma__theta_grid_02_uniform,completed,,,20.0,0.1575,0.01,0.01,5,3.0,20.0,0.1575,0.01,0.01,,,100,uniform,,,,1887137874,298918337,3009373744,2.313163296811557,57.0,1.0,56.0,93.64720200002193,2026-03-15T18:03:01Z,2026-03-15T18:04:35Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,2,gamma,1,0.01,theta,2,0.1575,heterogeneous,candidate,gamma__theta_grid_02_heterogeneous,completed,,,20.0,0.1575,0.01,0.01,5,3.0,20.0,0.1575,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1887137874,298918337,3009373744,2.1539666324154516,51.0,1.0,50.0,137.835266900016,2026-03-15T18:04:35Z,2026-03-15T18:06:53Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,3,gamma,1,0.01,theta,3,0.305,uniform,baseline,gamma__theta_grid_03_uniform,completed,,,20.0,0.305,0.01,0.01,5,3.0,20.0,0.305,0.01,0.01,,,100,uniform,,,,1286178840,3686406010,4190258427,2.2985536564952893,56.0,1.0,55.0,93.6376551000867,2026-03-15T18:06:53Z,2026-03-15T18:08:27Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,3,gamma,1,0.01,theta,3,0.305,heterogeneous,candidate,gamma__theta_grid_03_heterogeneous,completed,,,20.0,0.305,0.01,0.01,5,3.0,20.0,0.305,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1286178840,3686406010,4190258427,2.252681891319014,45.0,1.0,44.0,137.6282963999547,2026-03-15T18:08:27Z,2026-03-15T18:10:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,4,gamma,1,0.01,theta,4,0.4525,uniform,baseline,gamma__theta_grid_04_uniform,completed,,,20.0,0.4525,0.01,0.01,5,3.0,20.0,0.4525,0.01,0.01,,,100,uniform,,,,3495592210,147377807,3517605808,2.4910053777069736,53.0,1.0,52.0,93.66173009993508,2026-03-15T18:10:44Z,2026-03-15T18:12:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,4,gamma,1,0.01,theta,4,0.4525,heterogeneous,candidate,gamma__theta_grid_04_heterogeneous,completed,,,20.0,0.4525,0.01,0.01,5,3.0,20.0,0.4525,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3495592210,147377807,3517605808,2.5922346305840938,42.0,1.0,41.0,138.49235640000552,2026-03-15T18:12:18Z,2026-03-15T18:14:36Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,5,gamma,1,0.01,theta,5,0.6,uniform,baseline,gamma__theta_grid_05_uniform,completed,,,20.0,0.6,0.01,0.01,5,3.0,20.0,0.6,0.01,0.01,,,100,uniform,,,,2744954352,3117083050,522392297,2.212999480650909,53.0,1.0,52.0,94.02360330009833,2026-03-15T18:14:36Z,2026-03-15T18:16:10Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,5,gamma,1,0.01,theta,5,0.6,heterogeneous,candidate,gamma__theta_grid_05_heterogeneous,completed,,,20.0,0.6,0.01,0.01,5,3.0,20.0,0.6,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2744954352,3117083050,522392297,2.25203420596982,40.0,1.0,39.0,137.29489489994012,2026-03-15T18:16:10Z,2026-03-15T18:18:28Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__theta,6,gamma,2,0.0575,theta,1,0.01,uniform,baseline,gamma__theta_grid_06_uniform,completed,,,20.0,0.01,0.0575,0.01,5,3.0,20.0,0.01,0.0575,0.01,,,100,uniform,,,,2911530073,4244674546,2506541798,3.2434744981870915,44.0,2.0,42.0,93.47031310014427,2026-03-15T18:18:28Z,2026-03-15T18:20:01Z
