study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,1,theta,1,0.01,beta_spread,1,1.0,uniform,baseline,theta__beta_spread_grid_01_uniform,completed,,,20.0,0.01,0.05,0.01,5,1.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,3689829390,1612456305,3962214019,2.498705339016082,32.0,2.0,30.0,94.33300189999864,2026-03-15T14:45:41Z,2026-03-15T14:47:15Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,1,theta,1,0.01,beta_spread,1,1.0,heterogeneous,candidate,theta__beta_spread_grid_01_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,1.0,20.0,0.01,0.05,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,3689829390,1612456305,3962214019,2.593826904971009,43.0,2.0,41.0,137.88991359993815,2026-03-15T14:47:15Z,2026-03-15T14:49:33Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,2,theta,1,0.01,beta_spread,2,3.25,uniform,baseline,theta__beta_spread_grid_02_uniform,completed,,,20.0,0.01,0.05,0.01,5,3.25,20.0,0.01,0.05,0.01,,,100,uniform,,,,3593424145,1146442990,1214942181,2.1329103694858014,42.0,2.0,40.0,94.32333529996686,2026-03-15T14:49:33Z,2026-03-15T14:51:07Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,2,theta,1,0.01,beta_spread,2,3.25,heterogeneous,candidate,theta__beta_spread_grid_02_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,3.25,20.0,0.01,0.05,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,3593424145,1146442990,1214942181,2.688254893943235,55.0,40.0,15.0,138.12974420003593,2026-03-15T14:51:07Z,2026-03-15T14:53:26Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,3,theta,1,0.01,beta_spread,3,5.5,uniform,baseline,theta__beta_spread_grid_03_uniform,completed,,,20.0,0.01,0.05,0.01,5,5.5,20.0,0.01,0.05,0.01,,,100,uniform,,,,3473869916,1800170571,2678034935,2.742266605725616,40.0,2.0,38.0,94.45260540000163,2026-03-15T14:53:26Z,2026-03-15T14:55:00Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,3,theta,1,0.01,beta_spread,3,5.5,heterogeneous,candidate,theta__beta_spread_grid_03_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,5.5,20.0,0.01,0.05,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,3473869916,1800170571,2678034935,3.523187732257459,77.0,2.0,75.0,137.62051200005226,2026-03-15T14:55:00Z,2026-03-15T14:57:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,4,theta,1,0.01,beta_spread,4,7.75,uniform,baseline,theta__beta_spread_grid_04_uniform,completed,,,20.0,0.01,0.05,0.01,5,7.75,20.0,0.01,0.05,0.01,,,100,uniform,,,,1148196959,3048196223,2568168663,2.1979193318857058,39.0,3.0,36.0,93.73873070022091,2026-03-15T14:57:18Z,2026-03-15T14:58:51Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,4,theta,1,0.01,beta_spread,4,7.75,heterogeneous,candidate,theta__beta_spread_grid_04_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,7.75,20.0,0.01,0.05,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,1148196959,3048196223,2568168663,2.9409976530392785,83.0,3.0,80.0,138.4641857999377,2026-03-15T14:58:51Z,2026-03-15T15:01:10Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,5,theta,1,0.01,beta_spread,5,10.0,uniform,baseline,theta__beta_spread_grid_05_uniform,completed,,,20.0,0.01,0.05,0.01,5,10.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,4224082481,2220787683,1080824074,2.9050333246163165,40.0,2.0,38.0,93.83346319990233,2026-03-15T15:01:10Z,2026-03-15T15:02:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,theta__beta_spread,5,theta,1,0.01,beta_spread,5,10.0,heterogeneous,candidate,theta__beta_spread_grid_05_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,10.0,20.0,0.01,0.05,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,4224082481,2220787683,1080824074,3.265901726778408,81.0,2.0,79.0,137.41081690019928,2026-03-15T15:02:44Z,2026-03-15T15:05:01Z
