study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,1,beta_prime,1,20.0,theta,1,0.01,uniform,baseline,beta_prime__theta_grid_01_uniform,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,557384437,4284584593,1099293797,2.2287549306760326,35.0,2.0,33.0,102.63388959993608,2026-03-15T22:11:45Z,2026-03-15T22:13:28Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,1,beta_prime,1,20.0,theta,1,0.01,heterogeneous,candidate,beta_prime__theta_grid_01_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,557384437,4284584593,1099293797,3.0322433763204577,61.0,3.0,58.0,141.99601790006272,2026-03-15T22:13:28Z,2026-03-15T22:15:50Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,2,beta_prime,1,20.0,theta,2,0.06899999999999999,uniform,baseline,beta_prime__theta_grid_02_uniform,completed,,,20.0,0.06899999999999999,0.05,0.01,5,3.0,20.0,0.06899999999999999,0.05,0.01,,,100,uniform,,,,1420838081,3315515159,3245661404,3.34391361201021,86.0,1.0,85.0,93.7581583999563,2026-03-15T22:15:50Z,2026-03-15T22:17:24Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,2,beta_prime,1,20.0,theta,2,0.06899999999999999,heterogeneous,candidate,beta_prime__theta_grid_02_heterogeneous,completed,,,20.0,0.06899999999999999,0.05,0.01,5,3.0,20.0,0.06899999999999999,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1420838081,3315515159,3245661404,3.307026734459433,85.0,2.0,83.0,136.5685900999233,2026-03-15T22:17:24Z,2026-03-15T22:19:40Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,3,beta_prime,1,20.0,theta,3,0.128,uniform,baseline,beta_prime__theta_grid_03_uniform,completed,,,20.0,0.128,0.05,0.01,5,3.0,20.0,0.128,0.05,0.01,,,100,uniform,,,,2877095840,2219982920,2590698115,3.675001914147174,81.0,1.0,80.0,93.54028999991715,2026-03-15T22:19:40Z,2026-03-15T22:21:14Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,3,beta_prime,1,20.0,theta,3,0.128,heterogeneous,candidate,beta_prime__theta_grid_03_heterogeneous,completed,,,20.0,0.128,0.05,0.01,5,3.0,20.0,0.128,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2877095840,2219982920,2590698115,3.4967224857327373,70.0,1.0,69.0,136.60770509997383,2026-03-15T22:21:14Z,2026-03-15T22:23:31Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,4,beta_prime,1,20.0,theta,4,0.187,uniform,baseline,beta_prime__theta_grid_04_uniform,completed,,,20.0,0.187,0.05,0.01,5,3.0,20.0,0.187,0.05,0.01,,,100,uniform,,,,3324148202,3070274865,3406246820,3.5886914525312266,86.0,1.0,85.0,93.57938150013797,2026-03-15T22:23:31Z,2026-03-15T22:25:04Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,4,beta_prime,1,20.0,theta,4,0.187,heterogeneous,candidate,beta_prime__theta_grid_04_heterogeneous,completed,,,20.0,0.187,0.05,0.01,5,3.0,20.0,0.187,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3324148202,3070274865,3406246820,3.4043951009593454,80.0,1.0,79.0,136.70325889997184,2026-03-15T22:25:04Z,2026-03-15T22:27:21Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,5,beta_prime,1,20.0,theta,5,0.246,uniform,baseline,beta_prime__theta_grid_05_uniform,completed,,,20.0,0.246,0.05,0.01,5,3.0,20.0,0.246,0.05,0.01,,,100,uniform,,,,2730107343,836280899,272808745,3.559882813181484,79.0,1.0,78.0,93.96847430011258,2026-03-15T22:27:21Z,2026-03-15T22:28:55Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,5,beta_prime,1,20.0,theta,5,0.246,heterogeneous,candidate,beta_prime__theta_grid_05_heterogeneous,completed,,,20.0,0.246,0.05,0.01,5,3.0,20.0,0.246,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2730107343,836280899,272808745,3.731305763220028,70.0,1.0,69.0,138.90219529997557,2026-03-15T22:28:55Z,2026-03-15T22:31:14Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,6,beta_prime,1,20.0,theta,6,0.305,uniform,baseline,beta_prime__theta_grid_06_uniform,completed,,,20.0,0.305,0.05,0.01,5,3.0,20.0,0.305,0.05,0.01,,,100,uniform,,,,845667455,3180735762,2366377893,3.1915201596394773,75.0,1.0,74.0,93.76721510011703,2026-03-15T22:31:14Z,2026-03-15T22:32:47Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,6,beta_prime,1,20.0,theta,6,0.305,heterogeneous,candidate,beta_prime__theta_grid_06_heterogeneous,completed,,,20.0,0.305,0.05,0.01,5,3.0,20.0,0.305,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,845667455,3180735762,2366377893,2.984817543403855,67.0,1.0,66.0,138.54435750003904,2026-03-15T22:32:47Z,2026-03-15T22:35:06Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,7,beta_prime,1,20.0,theta,7,0.364,uniform,baseline,beta_prime__theta_grid_07_uniform,completed,,,20.0,0.364,0.05,0.01,5,3.0,20.0,0.364,0.05,0.01,,,100,uniform,,,,2553641544,1534643511,559736296,3.1490210917700296,79.0,1.0,78.0,93.68575459998101,2026-03-15T22:35:06Z,2026-03-15T22:36:40Z
uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta,7,beta_prime,1,20.0,theta,7,0.364,heterogeneous,candidate,beta_prime__theta_grid_07_heterogeneous,completed,,,20.0,0.364,0.05,0.01,5,3.0,20.0,0.364,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2553641544,1534643511,559736296,3.0263403247594676,68.0,1.0,67.0,136.54765600012615,2026-03-15T22:36:40Z,2026-03-15T22:38:56Z
