result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_01_uniform,uniform,baseline,1,beta_prime__theta_parameter_pair_sweep,0,completed,,,1234,557384437,4284584593,1099293797,,20.0,0.01,0.05,0.01,100,uniform,,,,,2.2287549306760326,35.0,2.0,33.0,KR_minus_GR,102.63388959993608,2026-03-15T22:11:45Z,2026-03-15T22:13:28Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_01_heterogeneous,heterogeneous,candidate,1,beta_prime__theta_parameter_pair_sweep,0,completed,,,1234,557384437,4284584593,1099293797,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.0322433763204577,61.0,3.0,58.0,KR_minus_GR,141.99601790006272,2026-03-15T22:13:28Z,2026-03-15T22:15:50Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_02_uniform,uniform,baseline,2,beta_prime__theta_parameter_pair_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,,20.0,0.06899999999999999,0.05,0.01,100,uniform,,,,,3.34391361201021,86.0,1.0,85.0,KR_minus_GR,93.7581583999563,2026-03-15T22:15:50Z,2026-03-15T22:17:24Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_02_heterogeneous,heterogeneous,candidate,2,beta_prime__theta_parameter_pair_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,3897761708,20.0,0.06899999999999999,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.307026734459433,85.0,2.0,83.0,KR_minus_GR,136.5685900999233,2026-03-15T22:17:24Z,2026-03-15T22:19:40Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_03_uniform,uniform,baseline,3,beta_prime__theta_parameter_pair_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,,20.0,0.128,0.05,0.01,100,uniform,,,,,3.675001914147174,81.0,1.0,80.0,KR_minus_GR,93.54028999991715,2026-03-15T22:19:40Z,2026-03-15T22:21:14Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_03_heterogeneous,heterogeneous,candidate,3,beta_prime__theta_parameter_pair_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,3897761708,20.0,0.128,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.4967224857327373,70.0,1.0,69.0,KR_minus_GR,136.60770509997383,2026-03-15T22:21:14Z,2026-03-15T22:23:31Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_04_uniform,uniform,baseline,4,beta_prime__theta_parameter_pair_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,,20.0,0.187,0.05,0.01,100,uniform,,,,,3.5886914525312266,86.0,1.0,85.0,KR_minus_GR,93.57938150013797,2026-03-15T22:23:31Z,2026-03-15T22:25:04Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_04_heterogeneous,heterogeneous,candidate,4,beta_prime__theta_parameter_pair_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,3897761708,20.0,0.187,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.4043951009593454,80.0,1.0,79.0,KR_minus_GR,136.70325889997184,2026-03-15T22:25:04Z,2026-03-15T22:27:21Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_05_uniform,uniform,baseline,5,beta_prime__theta_parameter_pair_sweep,4,completed,,,1234,2730107343,836280899,272808745,,20.0,0.246,0.05,0.01,100,uniform,,,,,3.559882813181484,79.0,1.0,78.0,KR_minus_GR,93.96847430011258,2026-03-15T22:27:21Z,2026-03-15T22:28:55Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta,uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta,beta_prime__theta_grid_05_heterogeneous,heterogeneous,candidate,5,beta_prime__theta_parameter_pair_sweep,4,completed,,,1234,2730107343,836280899,272808745,3897761708,20.0,0.246,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.731305763220028,70.0,1.0,69.0,KR_minus_GR,138.90219529997557,2026-03-15T22:28:55Z,2026-03-15T22:31:14Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_beta_prime__theta/uniform_vs_heterogeneous_regime_mapping_v1_meta_beta_prime__theta/resolved_config.yaml,
