study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,1,theta,1,0.01,beta_spread,1,1.0,uniform,baseline,theta__beta_spread_grid_01_uniform,completed,,,20.0,0.01,0.05,0.01,5,1.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,557384437,4284584593,1099293797,2.2287549306760326,35.0,2.0,33.0,93.63716370007023,2026-03-16T05:57:22Z,2026-03-16T05:58:55Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,1,theta,1,0.01,beta_spread,1,1.0,heterogeneous,candidate,theta__beta_spread_grid_01_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,1.0,20.0,0.01,0.05,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,557384437,4284584593,1099293797,2.6131513568326454,48.0,2.0,46.0,136.2734159003012,2026-03-16T05:58:55Z,2026-03-16T06:01:12Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,2,theta,1,0.01,beta_spread,2,1.4,uniform,baseline,theta__beta_spread_grid_02_uniform,completed,,,20.0,0.01,0.05,0.01,5,1.4,20.0,0.01,0.05,0.01,,,100,uniform,,,,1420838081,3315515159,3245661404,2.5990238129349543,43.0,2.0,41.0,93.31119609996676,2026-03-16T06:01:12Z,2026-03-16T06:02:45Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,2,theta,1,0.01,beta_spread,2,1.4,heterogeneous,candidate,theta__beta_spread_grid_02_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,1.4,20.0,0.01,0.05,0.01,5,1.4,100,distributional_beta,random,equal,3897761708,1420838081,3315515159,3245661404,2.756604485211532,61.0,8.0,53.0,137.09731819992885,2026-03-16T06:02:45Z,2026-03-16T06:05:02Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,3,theta,1,0.01,beta_spread,3,1.8,uniform,baseline,theta__beta_spread_grid_03_uniform,completed,,,20.0,0.01,0.05,0.01,5,1.8,20.0,0.01,0.05,0.01,,,100,uniform,,,,2877095840,2219982920,2590698115,1.9282422342017598,44.0,7.0,37.0,93.56284309970215,2026-03-16T06:05:02Z,2026-03-16T06:06:35Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,3,theta,1,0.01,beta_spread,3,1.8,heterogeneous,candidate,theta__beta_spread_grid_03_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,1.8,20.0,0.01,0.05,0.01,5,1.8,100,distributional_beta,random,equal,3897761708,2877095840,2219982920,2590698115,2.3848277527692487,52.0,21.0,31.0,136.85688039986417,2026-03-16T06:06:35Z,2026-03-16T06:08:52Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,4,theta,1,0.01,beta_spread,4,2.2,uniform,baseline,theta__beta_spread_grid_04_uniform,completed,,,20.0,0.01,0.05,0.01,5,2.2,20.0,0.01,0.05,0.01,,,100,uniform,,,,3324148202,3070274865,3406246820,2.551049148061689,34.0,2.0,32.0,93.67825570004061,2026-03-16T06:08:52Z,2026-03-16T06:10:26Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,4,theta,1,0.01,beta_spread,4,2.2,heterogeneous,candidate,theta__beta_spread_grid_04_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,2.2,20.0,0.01,0.05,0.01,5,2.2,100,distributional_beta,random,equal,3897761708,3324148202,3070274865,3406246820,2.3856181289701084,53.0,2.0,51.0,137.05522609967738,2026-03-16T06:10:26Z,2026-03-16T06:12:43Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,5,theta,1,0.01,beta_spread,5,2.6,uniform,baseline,theta__beta_spread_grid_05_uniform,completed,,,20.0,0.01,0.05,0.01,5,2.6,20.0,0.01,0.05,0.01,,,100,uniform,,,,2730107343,836280899,272808745,2.0538497615206666,33.0,2.0,31.0,93.46658820006996,2026-03-16T06:12:43Z,2026-03-16T06:14:17Z
uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread,5,theta,1,0.01,beta_spread,5,2.6,heterogeneous,candidate,theta__beta_spread_grid_05_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,2.6,20.0,0.01,0.05,0.01,5,2.6,100,distributional_beta,random,equal,3897761708,2730107343,836280899,272808745,2.7184187791347876,50.0,2.0,48.0,136.5371206998825,2026-03-16T06:14:17Z,2026-03-16T06:16:33Z
