result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_01_uniform,uniform,baseline,1,theta__beta_spread_parameter_pair_sweep,0,completed,,,1234,557384437,4284584593,1099293797,,20.0,0.01,0.05,0.01,100,uniform,,,,,2.2287549306760326,35.0,2.0,33.0,KR_minus_GR,93.63716370007023,2026-03-16T05:57:22Z,2026-03-16T05:58:55Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_01_heterogeneous,heterogeneous,candidate,1,theta__beta_spread_parameter_pair_sweep,0,completed,,,1234,557384437,4284584593,1099293797,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,1.0,equal,2.6131513568326454,48.0,2.0,46.0,KR_minus_GR,136.2734159003012,2026-03-16T05:58:55Z,2026-03-16T06:01:12Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_02_uniform,uniform,baseline,2,theta__beta_spread_parameter_pair_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,,20.0,0.01,0.05,0.01,100,uniform,,,,,2.5990238129349543,43.0,2.0,41.0,KR_minus_GR,93.31119609996676,2026-03-16T06:01:12Z,2026-03-16T06:02:45Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_02_heterogeneous,heterogeneous,candidate,2,theta__beta_spread_parameter_pair_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,1.4,equal,2.756604485211532,61.0,8.0,53.0,KR_minus_GR,137.09731819992885,2026-03-16T06:02:45Z,2026-03-16T06:05:02Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_03_uniform,uniform,baseline,3,theta__beta_spread_parameter_pair_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,,20.0,0.01,0.05,0.01,100,uniform,,,,,1.9282422342017598,44.0,7.0,37.0,KR_minus_GR,93.56284309970215,2026-03-16T06:05:02Z,2026-03-16T06:06:35Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_03_heterogeneous,heterogeneous,candidate,3,theta__beta_spread_parameter_pair_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,1.8,equal,2.3848277527692487,52.0,21.0,31.0,KR_minus_GR,136.85688039986417,2026-03-16T06:06:35Z,2026-03-16T06:08:52Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_04_uniform,uniform,baseline,4,theta__beta_spread_parameter_pair_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,,20.0,0.01,0.05,0.01,100,uniform,,,,,2.551049148061689,34.0,2.0,32.0,KR_minus_GR,93.67825570004061,2026-03-16T06:08:52Z,2026-03-16T06:10:26Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_04_heterogeneous,heterogeneous,candidate,4,theta__beta_spread_parameter_pair_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,2.2,equal,2.3856181289701084,53.0,2.0,51.0,KR_minus_GR,137.05522609967738,2026-03-16T06:10:26Z,2026-03-16T06:12:43Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_05_uniform,uniform,baseline,5,theta__beta_spread_parameter_pair_sweep,4,completed,,,1234,2730107343,836280899,272808745,,20.0,0.01,0.05,0.01,100,uniform,,,,,2.0538497615206666,33.0,2.0,31.0,KR_minus_GR,93.46658820006996,2026-03-16T06:12:43Z,2026-03-16T06:14:17Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread,uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread,theta__beta_spread_grid_05_heterogeneous,heterogeneous,candidate,5,theta__beta_spread_parameter_pair_sweep,4,completed,,,1234,2730107343,836280899,272808745,3897761708,20.0,0.01,0.05,0.01,100,distributional_beta,random,5,2.6,equal,2.7184187791347876,50.0,2.0,48.0,KR_minus_GR,136.5371206998825,2026-03-16T06:14:17Z,2026-03-16T06:16:33Z,results/raw/uniform_vs_heterogeneous_regime_mapping_v1_theta__beta_spread/uniform_vs_heterogeneous_regime_mapping_v1_meta_theta__beta_spread/resolved_config.yaml,
