study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,1,20.0,uniform,baseline,beta_prime_sweep_01_uniform,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,557384437,4284584593,1099293797,3.695236080817649,81.0,1.0,80.0,104.99044790002517,2026-03-14T21:07:19Z,2026-03-14T21:09:04Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,1,20.0,heterogeneous,candidate,beta_prime_sweep_01_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,557384437,4284584593,1099293797,3.8412723407429707,70.0,1.0,69.0,142.45653959992342,2026-03-14T21:09:04Z,2026-03-14T21:11:26Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,2,23.333333333333332,uniform,baseline,beta_prime_sweep_02_uniform,completed,,,23.333333333333332,0.2,0.05,0.01,5,3.0,23.333333333333332,0.2,0.05,0.01,,,100,uniform,,,,1420838081,3315515159,3245661404,3.226673475867143,81.0,1.0,80.0,95.735113899922,2026-03-14T21:11:26Z,2026-03-14T21:13:02Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,2,23.333333333333332,heterogeneous,candidate,beta_prime_sweep_02_heterogeneous,completed,,,23.333333333333332,0.2,0.05,0.01,5,3.0,23.333333333333332,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1420838081,3315515159,3245661404,3.397462513881158,72.0,1.0,71.0,137.10337270004675,2026-03-14T21:13:02Z,2026-03-14T21:15:19Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,3,26.666666666666668,uniform,baseline,beta_prime_sweep_03_uniform,completed,,,26.666666666666668,0.2,0.05,0.01,5,3.0,26.666666666666668,0.2,0.05,0.01,,,100,uniform,,,,2877095840,2219982920,2590698115,4.166943299550476,76.0,2.0,74.0,94.73684119991958,2026-03-14T21:15:19Z,2026-03-14T21:16:54Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,3,26.666666666666668,heterogeneous,candidate,beta_prime_sweep_03_heterogeneous,completed,,,26.666666666666668,0.2,0.05,0.01,5,3.0,26.666666666666668,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2877095840,2219982920,2590698115,3.8875640665902984,57.0,2.0,55.0,136.81790590006858,2026-03-14T21:16:54Z,2026-03-14T21:19:10Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,4,30.0,uniform,baseline,beta_prime_sweep_04_uniform,completed,,,30.0,0.2,0.05,0.01,5,3.0,30.0,0.2,0.05,0.01,,,100,uniform,,,,3324148202,3070274865,3406246820,5.157010448696823,85.0,3.0,82.0,94.3869181999471,2026-03-14T21:19:10Z,2026-03-14T21:20:45Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,4,30.0,heterogeneous,candidate,beta_prime_sweep_04_heterogeneous,completed,,,30.0,0.2,0.05,0.01,5,3.0,30.0,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3324148202,3070274865,3406246820,4.48869933831795,73.0,3.0,70.0,136.89270430011675,2026-03-14T21:20:45Z,2026-03-14T21:23:02Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,5,33.333333333333336,uniform,baseline,beta_prime_sweep_05_uniform,completed,,,33.333333333333336,0.2,0.05,0.01,5,3.0,33.333333333333336,0.2,0.05,0.01,,,100,uniform,,,,2730107343,836280899,272808745,5.014601140318282,77.0,4.0,73.0,94.72168100019917,2026-03-14T21:23:02Z,2026-03-14T21:24:36Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,5,33.333333333333336,heterogeneous,candidate,beta_prime_sweep_05_heterogeneous,completed,,,33.333333333333336,0.2,0.05,0.01,5,3.0,33.333333333333336,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2730107343,836280899,272808745,4.88397105895282,63.0,2.0,61.0,137.3283866001293,2026-03-14T21:24:36Z,2026-03-14T21:26:54Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,6,36.66666666666667,uniform,baseline,beta_prime_sweep_06_uniform,completed,,,36.66666666666667,0.2,0.05,0.01,5,3.0,36.66666666666667,0.2,0.05,0.01,,,100,uniform,,,,845667455,3180735762,2366377893,3.994882982600976,75.0,4.0,71.0,94.83928089984693,2026-03-14T21:26:54Z,2026-03-14T21:28:29Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,6,36.66666666666667,heterogeneous,candidate,beta_prime_sweep_06_heterogeneous,completed,,,36.66666666666667,0.2,0.05,0.01,5,3.0,36.66666666666667,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,845667455,3180735762,2366377893,3.716845916193326,59.0,5.0,54.0,136.9578535000328,2026-03-14T21:28:29Z,2026-03-14T21:30:46Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,7,40.0,uniform,baseline,beta_prime_sweep_07_uniform,completed,,,40.0,0.2,0.05,0.01,5,3.0,40.0,0.2,0.05,0.01,,,100,uniform,,,,2553641544,1534643511,559736296,5.234283594101655,76.0,7.0,69.0,95.70737790013663,2026-03-14T21:30:46Z,2026-03-14T21:32:21Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,7,40.0,heterogeneous,candidate,beta_prime_sweep_07_heterogeneous,completed,,,40.0,0.2,0.05,0.01,5,3.0,40.0,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2553641544,1534643511,559736296,4.779425669412792,62.0,4.0,58.0,137.21303660003468,2026-03-14T21:32:21Z,2026-03-14T21:34:38Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,8,43.333333333333336,uniform,baseline,beta_prime_sweep_08_uniform,completed,,,43.333333333333336,0.2,0.05,0.01,5,3.0,43.333333333333336,0.2,0.05,0.01,,,100,uniform,,,,820649975,3784784527,2505475035,4.263185208508421,69.0,10.0,59.0,95.14573409990408,2026-03-14T21:34:38Z,2026-03-14T21:36:14Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,8,43.333333333333336,heterogeneous,candidate,beta_prime_sweep_08_heterogeneous,completed,,,43.333333333333336,0.2,0.05,0.01,5,3.0,43.333333333333336,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,820649975,3784784527,2505475035,4.136062539008824,49.0,6.0,43.0,137.33313650009222,2026-03-14T21:36:14Z,2026-03-14T21:38:31Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,9,46.66666666666667,uniform,baseline,beta_prime_sweep_09_uniform,completed,,,46.66666666666667,0.2,0.05,0.01,5,3.0,46.66666666666667,0.2,0.05,0.01,,,100,uniform,,,,2861565625,3653215253,3702444616,5.837666629498545,64.0,12.0,52.0,94.34755580010824,2026-03-14T21:38:31Z,2026-03-14T21:40:05Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,9,46.66666666666667,heterogeneous,candidate,beta_prime_sweep_09_heterogeneous,completed,,,46.66666666666667,0.2,0.05,0.01,5,3.0,46.66666666666667,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2861565625,3653215253,3702444616,5.359343456176285,44.0,8.0,36.0,136.97000750014558,2026-03-14T21:40:05Z,2026-03-14T21:42:22Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime,10,50.0,uniform,baseline,beta_prime_sweep_10_uniform,completed,,,50.0,0.2,0.05,0.01,5,3.0,50.0,0.2,0.05,0.01,,,100,uniform,,,,173019452,3335379282,3227370497,6.204566973180796,84.0,32.0,52.0,94.42811580002308,2026-03-14T21:42:22Z,2026-03-14T21:43:57Z
