study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,1,1.0,uniform,baseline,beta_spread_sweep_01_uniform,completed,,,20.0,0.2,0.05,0.01,5,1.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,3689829390,1612456305,3962214019,3.3177475637471816,77.0,1.0,76.0,94.56295640021563,2026-03-15T00:24:59Z,2026-03-15T00:26:34Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,1,1.0,heterogeneous,candidate,beta_spread_sweep_01_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,1.0,20.0,0.2,0.05,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,3689829390,1612456305,3962214019,3.42204556305804,71.0,1.0,70.0,136.96431980002671,2026-03-15T00:26:34Z,2026-03-15T00:28:51Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,2,2.0,uniform,baseline,beta_spread_sweep_02_uniform,completed,,,20.0,0.2,0.05,0.01,5,2.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,3593424145,1146442990,1214942181,3.133093099401081,80.0,1.0,79.0,94.69370769988745,2026-03-15T00:28:51Z,2026-03-15T00:30:26Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,2,2.0,heterogeneous,candidate,beta_spread_sweep_02_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,2.0,20.0,0.2,0.05,0.01,5,2.0,100,distributional_beta,random,equal,3897761708,3593424145,1146442990,1214942181,2.9200415087254674,68.0,1.0,67.0,135.96765800006688,2026-03-15T00:30:26Z,2026-03-15T00:32:42Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,3,3.0,uniform,baseline,beta_spread_sweep_03_uniform,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,3473869916,1800170571,2678034935,3.144978324942529,80.0,1.0,79.0,94.22230780008249,2026-03-15T00:32:42Z,2026-03-15T00:34:16Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,3,3.0,heterogeneous,candidate,beta_spread_sweep_03_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3473869916,1800170571,2678034935,3.03384044832298,70.0,1.0,69.0,136.14254490006715,2026-03-15T00:34:16Z,2026-03-15T00:36:32Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,4,4.0,uniform,baseline,beta_spread_sweep_04_uniform,completed,,,20.0,0.2,0.05,0.01,5,4.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,1148196959,3048196223,2568168663,3.8380328217084294,88.0,1.0,87.0,93.85369999986142,2026-03-15T00:36:32Z,2026-03-15T00:38:06Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,4,4.0,heterogeneous,candidate,beta_spread_sweep_04_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,4.0,20.0,0.2,0.05,0.01,5,4.0,100,distributional_beta,random,equal,3897761708,1148196959,3048196223,2568168663,3.789726109575063,77.0,1.0,76.0,136.48651490011252,2026-03-15T00:38:06Z,2026-03-15T00:40:22Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,5,5.0,uniform,baseline,beta_spread_sweep_05_uniform,completed,,,20.0,0.2,0.05,0.01,5,5.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,4224082481,2220787683,1080824074,3.7319127899504494,84.0,1.0,83.0,94.17455250001512,2026-03-15T00:40:22Z,2026-03-15T00:41:57Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,5,5.0,heterogeneous,candidate,beta_spread_sweep_05_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,5.0,20.0,0.2,0.05,0.01,5,5.0,100,distributional_beta,random,equal,3897761708,4224082481,2220787683,1080824074,3.2762106136215214,73.0,1.0,72.0,137.72014269977808,2026-03-15T00:41:57Z,2026-03-15T00:44:14Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,6,6.0,uniform,baseline,beta_spread_sweep_06_uniform,completed,,,20.0,0.2,0.05,0.01,5,6.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,1206914384,2754973280,248617575,3.1645327802366827,81.0,1.0,80.0,95.31948790000752,2026-03-15T00:44:14Z,2026-03-15T00:45:50Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,6,6.0,heterogeneous,candidate,beta_spread_sweep_06_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,6.0,20.0,0.2,0.05,0.01,5,6.0,100,distributional_beta,random,equal,3897761708,1206914384,2754973280,248617575,2.9026609279379625,70.0,1.0,69.0,136.2892942999024,2026-03-15T00:45:50Z,2026-03-15T00:48:06Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_spread,7,7.0,uniform,baseline,beta_spread_sweep_07_uniform,completed,,,20.0,0.2,0.05,0.01,5,7.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,765537397,2235196203,641263299,4.632553798690341,83.0,1.0,82.0,94.51890919986181,2026-03-15T00:48:06Z,2026-03-15T00:49:40Z
