study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,1,0.01,uniform,baseline,gamma_sweep_01_uniform,completed,,,20.0,0.2,0.01,0.01,5,3.0,20.0,0.2,0.01,0.01,,,100,uniform,,,,1443379480,235820628,1331743193,2.5119267283993176,59.0,1.0,58.0,94.54848009999841,2026-03-14T22:24:56Z,2026-03-14T22:26:30Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,1,0.01,heterogeneous,candidate,gamma_sweep_01_heterogeneous,completed,,,20.0,0.2,0.01,0.01,5,3.0,20.0,0.2,0.01,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1443379480,235820628,1331743193,2.6087002133562422,47.0,1.0,46.0,137.28735159989446,2026-03-14T22:26:30Z,2026-03-14T22:28:47Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,2,0.03111111111111111,uniform,baseline,gamma_sweep_02_uniform,completed,,,20.0,0.2,0.03111111111111111,0.01,5,3.0,20.0,0.2,0.03111111111111111,0.01,,,100,uniform,,,,2612121780,1195119090,3369815799,2.717085359591092,72.0,1.0,71.0,94.81408490007743,2026-03-14T22:28:47Z,2026-03-14T22:30:22Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,2,0.03111111111111111,heterogeneous,candidate,gamma_sweep_02_heterogeneous,completed,,,20.0,0.2,0.03111111111111111,0.01,5,3.0,20.0,0.2,0.03111111111111111,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2612121780,1195119090,3369815799,2.900467543618271,62.0,1.0,61.0,137.09879729989916,2026-03-14T22:30:22Z,2026-03-14T22:32:39Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,3,0.052222222222222225,uniform,baseline,gamma_sweep_03_uniform,completed,,,20.0,0.2,0.052222222222222225,0.01,5,3.0,20.0,0.2,0.052222222222222225,0.01,,,100,uniform,,,,491212468,639730780,2426936498,3.0230357277505577,82.0,1.0,81.0,94.89177200011909,2026-03-14T22:32:39Z,2026-03-14T22:34:14Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,3,0.052222222222222225,heterogeneous,candidate,gamma_sweep_03_heterogeneous,completed,,,20.0,0.2,0.052222222222222225,0.01,5,3.0,20.0,0.2,0.052222222222222225,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,491212468,639730780,2426936498,3.1029077939582983,74.0,1.0,73.0,136.7953701999504,2026-03-14T22:34:14Z,2026-03-14T22:36:31Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,4,0.07333333333333333,uniform,baseline,gamma_sweep_04_uniform,completed,,,20.0,0.2,0.07333333333333333,0.01,5,3.0,20.0,0.2,0.07333333333333333,0.01,,,100,uniform,,,,2936744238,1954826618,216515674,4.16675632810292,88.0,2.0,86.0,94.69281579996459,2026-03-14T22:36:31Z,2026-03-14T22:38:06Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,4,0.07333333333333333,heterogeneous,candidate,gamma_sweep_04_heterogeneous,completed,,,20.0,0.2,0.07333333333333333,0.01,5,3.0,20.0,0.2,0.07333333333333333,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,2936744238,1954826618,216515674,3.9571037899417365,81.0,4.0,77.0,137.05432690004818,2026-03-14T22:38:06Z,2026-03-14T22:40:23Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,5,0.09444444444444444,uniform,baseline,gamma_sweep_05_uniform,completed,,,20.0,0.2,0.09444444444444444,0.01,5,3.0,20.0,0.2,0.09444444444444444,0.01,,,100,uniform,,,,998925781,858011228,1665825923,5.718196802477341,83.0,5.0,78.0,95.03699829988182,2026-03-14T22:40:23Z,2026-03-14T22:41:58Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,gamma,5,0.09444444444444444,heterogeneous,candidate,gamma_sweep_05_heterogeneous,completed,,,20.0,0.2,0.09444444444444444,0.01,5,3.0,20.0,0.2,0.09444444444444444,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,998925781,858011228,1665825923,5.341757729150995,70.0,7.0,63.0,137.56669480004348,2026-03-14T22:41:58Z,2026-03-14T22:44:15Z
