study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,1,2,uniform,baseline,n_instances_sweep_01_uniform,completed,,,20.0,0.2,0.05,0.01,2,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,1453147537,1062121603,1261227742,4.035881800292219,77.0,1.0,76.0,94.54571329988539,2026-03-14T23:42:23Z,2026-03-14T23:43:58Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,1,2,heterogeneous,candidate,n_instances_sweep_01_heterogeneous,completed,,,20.0,0.2,0.05,0.01,2,3.0,20.0,0.2,0.05,0.01,2,3.0,100,distributional_beta,random,equal,3897761708,1453147537,1062121603,1261227742,3.943263331276973,75.0,1.0,74.0,105.06079150014557,2026-03-14T23:43:58Z,2026-03-14T23:45:43Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,2,3,uniform,baseline,n_instances_sweep_02_uniform,completed,,,20.0,0.2,0.05,0.01,3,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,4114065347,3247853397,2912670184,3.3075398518495636,82.0,1.0,81.0,94.5241974000819,2026-03-14T23:45:43Z,2026-03-14T23:47:17Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,2,3,heterogeneous,candidate,n_instances_sweep_02_heterogeneous,completed,,,20.0,0.2,0.05,0.01,3,3.0,20.0,0.2,0.05,0.01,3,3.0,100,distributional_beta,random,equal,3897761708,4114065347,3247853397,2912670184,3.622600829004009,78.0,1.0,77.0,115.00610870006494,2026-03-14T23:47:17Z,2026-03-14T23:49:12Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,3,4,uniform,baseline,n_instances_sweep_03_uniform,completed,,,20.0,0.2,0.05,0.01,4,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,1700135630,2308302346,1114433315,3.325301189241814,77.0,1.0,76.0,94.96781830000691,2026-03-14T23:49:12Z,2026-03-14T23:50:47Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,3,4,heterogeneous,candidate,n_instances_sweep_03_heterogeneous,completed,,,20.0,0.2,0.05,0.01,4,3.0,20.0,0.2,0.05,0.01,4,3.0,100,distributional_beta,random,equal,3897761708,1700135630,2308302346,1114433315,3.6442927382828674,68.0,1.0,67.0,127.84780410001986,2026-03-14T23:50:47Z,2026-03-14T23:52:55Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,4,5,uniform,baseline,n_instances_sweep_04_uniform,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,1724648099,2347422777,3495343450,2.9568606728370495,80.0,1.0,79.0,94.75467079994269,2026-03-14T23:52:55Z,2026-03-14T23:54:30Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,4,5,heterogeneous,candidate,n_instances_sweep_04_heterogeneous,completed,,,20.0,0.2,0.05,0.01,5,3.0,20.0,0.2,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1724648099,2347422777,3495343450,2.9987571463966973,70.0,1.0,69.0,137.21150699979626,2026-03-14T23:54:30Z,2026-03-14T23:56:47Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,5,6,uniform,baseline,n_instances_sweep_05_uniform,completed,,,20.0,0.2,0.05,0.01,6,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,102986405,787628727,3848914606,3.519229381471336,83.0,1.0,82.0,94.36481179995462,2026-03-14T23:56:47Z,2026-03-14T23:58:21Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,5,6,heterogeneous,candidate,n_instances_sweep_05_heterogeneous,completed,,,20.0,0.2,0.05,0.01,6,3.0,20.0,0.2,0.05,0.01,6,3.0,100,distributional_beta,random,equal,3897761708,102986405,787628727,3848914606,3.0278633143723885,72.0,1.0,71.0,150.02956389985047,2026-03-14T23:58:21Z,2026-03-15T00:00:51Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,6,7,uniform,baseline,n_instances_sweep_06_uniform,completed,,,20.0,0.2,0.05,0.01,7,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,4170395418,20730319,1753928110,3.5787449250625207,84.0,1.0,83.0,94.09487839997746,2026-03-15T00:00:51Z,2026-03-15T00:02:26Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,6,7,heterogeneous,candidate,n_instances_sweep_06_heterogeneous,completed,,,20.0,0.2,0.05,0.01,7,3.0,20.0,0.2,0.05,0.01,7,3.0,100,distributional_beta,random,equal,3897761708,4170395418,20730319,1753928110,3.720585405233147,72.0,1.0,71.0,160.737320400076,2026-03-15T00:02:26Z,2026-03-15T00:05:06Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,n_instances,7,8,uniform,baseline,n_instances_sweep_07_uniform,completed,,,20.0,0.2,0.05,0.01,8,3.0,20.0,0.2,0.05,0.01,,,100,uniform,,,,2619905895,947886730,572748979,4.0467807497156905,83.0,1.0,82.0,95.03227089997381,2026-03-15T00:05:06Z,2026-03-15T00:06:41Z
