study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,1,0.01,uniform,baseline,theta_sweep_01_uniform,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,,,100,uniform,,,,3051747814,2938311673,3927796037,2.535668209355258,30.0,2.0,28.0,94.80855150008574,2026-03-14T21:46:13Z,2026-03-14T21:47:48Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,1,0.01,heterogeneous,candidate,theta_sweep_01_heterogeneous,completed,,,20.0,0.01,0.05,0.01,5,3.0,20.0,0.01,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3051747814,2938311673,3927796037,2.710432570791405,53.0,3.0,50.0,136.65505710011348,2026-03-14T21:47:48Z,2026-03-14T21:50:05Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,2,0.07555555555555554,uniform,baseline,theta_sweep_02_uniform,completed,,,20.0,0.07555555555555554,0.05,0.01,5,3.0,20.0,0.07555555555555554,0.05,0.01,,,100,uniform,,,,349346877,1491040069,1209011973,3.7379484897188,89.0,2.0,87.0,95.12329070013948,2026-03-14T21:50:05Z,2026-03-14T21:51:40Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,2,0.07555555555555554,heterogeneous,candidate,theta_sweep_02_heterogeneous,completed,,,20.0,0.07555555555555554,0.05,0.01,5,3.0,20.0,0.07555555555555554,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,349346877,1491040069,1209011973,3.9467815536697946,88.0,2.0,86.0,138.1697933000978,2026-03-14T21:51:40Z,2026-03-14T21:53:58Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,3,0.1411111111111111,uniform,baseline,theta_sweep_03_uniform,completed,,,20.0,0.1411111111111111,0.05,0.01,5,3.0,20.0,0.1411111111111111,0.05,0.01,,,100,uniform,,,,3283383610,2237597193,1484433474,3.5816337576647985,83.0,1.0,82.0,95.79266500007361,2026-03-14T21:53:58Z,2026-03-14T21:55:34Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,3,0.1411111111111111,heterogeneous,candidate,theta_sweep_03_heterogeneous,completed,,,20.0,0.1411111111111111,0.05,0.01,5,3.0,20.0,0.1411111111111111,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,3283383610,2237597193,1484433474,3.7479720021648655,71.0,1.0,70.0,137.57328479993157,2026-03-14T21:55:34Z,2026-03-14T21:57:51Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,4,0.20666666666666667,uniform,baseline,theta_sweep_04_uniform,completed,,,20.0,0.20666666666666667,0.05,0.01,5,3.0,20.0,0.20666666666666667,0.05,0.01,,,100,uniform,,,,1498703894,3051669214,2246098719,4.096494805826191,83.0,1.0,82.0,95.25622490001842,2026-03-14T21:57:51Z,2026-03-14T21:59:27Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,4,0.20666666666666667,heterogeneous,candidate,theta_sweep_04_heterogeneous,completed,,,20.0,0.20666666666666667,0.05,0.01,5,3.0,20.0,0.20666666666666667,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,1498703894,3051669214,2246098719,4.0380219375170245,69.0,1.0,68.0,137.4013706999831,2026-03-14T21:59:27Z,2026-03-14T22:01:44Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,5,0.2722222222222222,uniform,baseline,theta_sweep_05_uniform,completed,,,20.0,0.2722222222222222,0.05,0.01,5,3.0,20.0,0.2722222222222222,0.05,0.01,,,100,uniform,,,,561358417,1089557608,3730222718,3.3989159032870804,80.0,1.0,79.0,94.96581490011886,2026-03-14T22:01:44Z,2026-03-14T22:03:19Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,theta,5,0.2722222222222222,heterogeneous,candidate,theta_sweep_05_heterogeneous,completed,,,20.0,0.2722222222222222,0.05,0.01,5,3.0,20.0,0.2722222222222222,0.05,0.01,5,3.0,100,distributional_beta,random,equal,3897761708,561358417,1089557608,3730222718,3.476349599167225,68.0,1.0,67.0,136.82548769982532,2026-03-14T22:03:19Z,2026-03-14T22:05:36Z
