result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_01_uniform,uniform,baseline,1,beta_prime_single_factor_sweep,0,completed,,,1234,557384437,4284584593,1099293797,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.695236080817649,81.0,1.0,80.0,KR_minus_GR,104.99044790002517,2026-03-14T21:07:19Z,2026-03-14T21:09:04Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_01_heterogeneous,heterogeneous,candidate,1,beta_prime_single_factor_sweep,0,completed,,,1234,557384437,4284584593,1099293797,3897761708,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.8412723407429707,70.0,1.0,69.0,KR_minus_GR,142.45653959992342,2026-03-14T21:09:04Z,2026-03-14T21:11:26Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_02_uniform,uniform,baseline,2,beta_prime_single_factor_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,,23.333333333333332,0.2,0.05,0.01,100,uniform,,,,,3.226673475867143,81.0,1.0,80.0,KR_minus_GR,95.735113899922,2026-03-14T21:11:26Z,2026-03-14T21:13:02Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_02_heterogeneous,heterogeneous,candidate,2,beta_prime_single_factor_sweep,1,completed,,,1234,1420838081,3315515159,3245661404,3897761708,23.333333333333332,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.397462513881158,72.0,1.0,71.0,KR_minus_GR,137.10337270004675,2026-03-14T21:13:02Z,2026-03-14T21:15:19Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_03_uniform,uniform,baseline,3,beta_prime_single_factor_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,,26.666666666666668,0.2,0.05,0.01,100,uniform,,,,,4.166943299550476,76.0,2.0,74.0,KR_minus_GR,94.73684119991958,2026-03-14T21:15:19Z,2026-03-14T21:16:54Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_03_heterogeneous,heterogeneous,candidate,3,beta_prime_single_factor_sweep,2,completed,,,1234,2877095840,2219982920,2590698115,3897761708,26.666666666666668,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,3.8875640665902984,57.0,2.0,55.0,KR_minus_GR,136.81790590006858,2026-03-14T21:16:54Z,2026-03-14T21:19:10Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_04_uniform,uniform,baseline,4,beta_prime_single_factor_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,,30.0,0.2,0.05,0.01,100,uniform,,,,,5.157010448696823,85.0,3.0,82.0,KR_minus_GR,94.3869181999471,2026-03-14T21:19:10Z,2026-03-14T21:20:45Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_04_heterogeneous,heterogeneous,candidate,4,beta_prime_single_factor_sweep,3,completed,,,1234,3324148202,3070274865,3406246820,3897761708,30.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,4.48869933831795,73.0,3.0,70.0,KR_minus_GR,136.89270430011675,2026-03-14T21:20:45Z,2026-03-14T21:23:02Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_05_uniform,uniform,baseline,5,beta_prime_single_factor_sweep,4,completed,,,1234,2730107343,836280899,272808745,,33.333333333333336,0.2,0.05,0.01,100,uniform,,,,,5.014601140318282,77.0,4.0,73.0,KR_minus_GR,94.72168100019917,2026-03-14T21:23:02Z,2026-03-14T21:24:36Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,beta_prime_sweep_05_heterogeneous,heterogeneous,candidate,5,beta_prime_single_factor_sweep,4,completed,,,1234,2730107343,836280899,272808745,3897761708,33.333333333333336,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,4.88397105895282,63.0,2.0,61.0,KR_minus_GR,137.3283866001293,2026-03-14T21:24:36Z,2026-03-14T21:26:54Z,results/raw/uniform_vs_heterogeneous_single_factor_tims_sweep_v1/run_20260314_210719/resolved_config.yaml,
