result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0001,uniform,baseline,1,uniform_mc_cq_study,0,completed,,,1234,822605836,2870441983,4175664996,,28.149116702273353,0.21953740336637312,0.056263664340426865,0.015424303004565229,100,uniform,,,,,5.384622298430039,77.0,4.0,73.0,KR_minus_GR,95.59124469998642,2026-03-12T12:22:24Z,2026-03-12T12:24:00Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0002,uniform,baseline,2,uniform_mc_cq_study,1,completed,,,1234,3830801295,1299180806,2620423767,,31.67985484871282,0.16361481684522267,0.0465878553085858,0.01562246613042023,100,uniform,,,,,4.9985082286395475,76.0,4.0,72.0,KR_minus_GR,88.84575840001344,2026-03-12T12:24:00Z,2026-03-12T12:25:29Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0003,uniform,baseline,3,uniform_mc_cq_study,2,completed,,,1234,379826909,3015631471,452068234,,32.74883612210223,0.2601492215587352,0.051469036197472,0.012011941506281505,100,uniform,,,,,3.563444672052081,74.0,3.0,71.0,KR_minus_GR,88.00990509999974,2026-03-12T12:25:29Z,2026-03-12T12:26:57Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0004,uniform,baseline,4,uniform_mc_cq_study,3,completed,,,1234,3201149240,3683736419,2166352710,,31.100777611032818,0.23403232431726406,0.0522150452874237,0.012734354232787497,100,uniform,,,,,4.350554365123943,75.0,4.0,71.0,KR_minus_GR,91.5384625000006,2026-03-12T12:26:57Z,2026-03-12T12:28:28Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0005,uniform,baseline,5,uniform_mc_cq_study,4,completed,,,1234,3822280574,2017292713,133671639,,30.018498991846858,0.12220295193450915,0.07636959729674245,0.016591694287633397,100,uniform,,,,,6.454746004584132,83.0,25.0,58.0,KR_minus_GR,96.98029649999808,2026-03-12T12:28:28Z,2026-03-12T12:30:05Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0006,uniform,baseline,6,uniform_mc_cq_study,5,completed,,,1234,179703293,1551451119,70063062,,29.189315903408232,0.218463388549359,0.03452287449857859,0.010425888072023694,100,uniform,,,,,3.614425469019245,78.0,1.0,77.0,KR_minus_GR,95.72550659999251,2026-03-12T12:30:05Z,2026-03-12T12:31:41Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0007,uniform,baseline,7,uniform_mc_cq_study,6,completed,,,1234,2805355882,2322789440,3662990142,,32.59884061189513,0.2242205029162524,0.05383215466356925,0.015464761715288945,100,uniform,,,,,5.824968099573605,73.0,4.0,69.0,KR_minus_GR,95.24296370000229,2026-03-12T12:31:41Z,2026-03-12T12:33:16Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0008,uniform,baseline,8,uniform_mc_cq_study,7,completed,,,1234,2460328142,2068643734,1024837803,,28.90101673301323,0.2108957844201711,0.08214764337367354,0.011234081086748152,100,uniform,,,,,3.8736079388342963,83.0,32.0,51.0,KR_minus_GR,94.79479990000254,2026-03-12T12:33:16Z,2026-03-12T12:34:51Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0009,uniform,baseline,9,uniform_mc_cq_study,8,completed,,,1234,3325916966,2765497311,3455160601,,31.812885852480953,0.14300269192233034,0.07225565826710012,0.01445497569827487,100,uniform,,,,,5.1379568159339275,83.0,23.0,60.0,KR_minus_GR,94.05547730000399,2026-03-12T12:34:51Z,2026-03-12T12:36:25Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_tims_frontier_pilot_v1,pilot_study_run_20260312,uniform_trial_0010,uniform,baseline,10,uniform_mc_cq_study,9,completed,,,1234,2062181733,19946477,395502359,,28.312752634044532,0.26797882057849043,0.056528445324250595,0.01691179150766967,100,uniform,,,,,5.157482043407769,73.0,4.0,69.0,KR_minus_GR,94.64536620001309,2026-03-12T12:36:25Z,2026-03-12T12:38:00Z,results/raw/uniform_vs_heterogeneous_tims_frontier_pilot_v1/pilot_study_run_20260312/resolved_config.yaml,
