number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
0,[10.0],0.0525793744507572,0.2,0.050176160891835575,50.0,89.0,18.0,107.0,5.478455930703612
1,[10.0],0.045997767415921736,0.2,0.04791658764336036,50.0,96.0,12.0,108.0,5.64762544113324
2,[10.0],0.04559923603469122,0.2,0.03836639878324999,50.0,99.0,15.0,114.0,5.765559989693182
3,[10.0],0.05007561021035314,0.2,0.054990175164551756,50.0,93.0,13.0,106.0,5.504002999118988
4,[10.0],0.05098079003039506,0.2,0.04331446039503208,50.0,89.0,20.0,109.0,5.700363928873481
5,[10.0],0.048290354014270356,0.2,0.03148772129540625,50.0,97.0,22.0,119.0,5.84276367838181
6,[10.0],0.04874844568959146,0.2,0.05268736702274562,50.0,92.0,13.0,105.0,5.5539478278491545
7,[10.0],0.051009922259554696,0.2,0.04919036598335451,50.0,90.0,18.0,108.0,5.552292226026218
8,[10.0],0.052123038565432565,0.2,0.04798402587205083,50.0,90.0,19.0,109.0,5.541390172173228
9,[10.0],0.04662429384567453,0.2,0.04512017436081322,50.0,97.0,13.0,110.0,5.6817082226417845
10,[10.0],0.05222971007778796,0.2,0.041228474991779604,50.0,86.0,24.0,110.0,5.666987330592539
11,[10.0],0.04984535219003727,0.2,0.03520019220019399,50.0,93.0,22.0,115.0,5.835025050281432
12,[10.0],0.05042791452526764,0.2,0.04181692133259724,50.0,91.0,21.0,112.0,5.698648904340601
13,[10.0],0.04526038202621299,0.2,0.039472996001956,50.0,101.0,13.0,114.0,5.764550494664148
14,[10.0],0.05007630302211112,0.2,0.0516417701289518,50.0,91.0,16.0,107.0,5.557519748801682
