number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
0,COMPLETE,[10.0],2025-09-11T10:13:53.504486,2025-09-11T10:21:56.502971,482.998485,0.0525793744507572,0.2,0.050176160891835575,50.0,89.0,18.0,107.0,5.478455930703612
1,COMPLETE,[10.0],2025-09-11T10:21:56.520987,2025-09-11T10:30:02.412056,485.891069,0.045997767415921736,0.2,0.04791658764336036,50.0,96.0,12.0,108.0,5.64762544113324
2,COMPLETE,[10.0],2025-09-11T10:30:02.427071,2025-09-11T10:38:07.380302,484.953231,0.04559923603469122,0.2,0.03836639878324999,50.0,99.0,15.0,114.0,5.765559989693182
3,COMPLETE,[10.0],2025-09-11T10:38:07.393314,2025-09-11T10:46:12.813963,485.420649,0.05007561021035314,0.2,0.054990175164551756,50.0,93.0,13.0,106.0,5.504002999118988
4,COMPLETE,[10.0],2025-09-11T10:46:12.828977,2025-09-11T10:54:18.159546,485.330569,0.05098079003039506,0.2,0.04331446039503208,50.0,89.0,20.0,109.0,5.700363928873481
5,COMPLETE,[10.0],2025-09-11T10:54:18.174559,2025-09-11T11:02:24.795282,486.620723,0.048290354014270356,0.2,0.03148772129540625,50.0,97.0,22.0,119.0,5.84276367838181
6,COMPLETE,[10.0],2025-09-11T11:02:24.812296,2025-09-11T11:10:29.997736,485.18544,0.04874844568959146,0.2,0.05268736702274562,50.0,92.0,13.0,105.0,5.5539478278491545
7,COMPLETE,[10.0],2025-09-11T11:10:30.012749,2025-09-11T11:18:34.882907,484.870158,0.051009922259554696,0.2,0.04919036598335451,50.0,90.0,18.0,108.0,5.552292226026218
8,COMPLETE,[10.0],2025-09-11T11:18:34.895918,2025-09-11T11:26:40.929116,486.033198,0.052123038565432565,0.2,0.04798402587205083,50.0,90.0,19.0,109.0,5.541390172173228
9,COMPLETE,[10.0],2025-09-11T11:26:40.944129,2025-09-11T11:34:46.098541,485.154412,0.04662429384567453,0.2,0.04512017436081322,50.0,97.0,13.0,110.0,5.6817082226417845
10,COMPLETE,[10.0],2025-09-11T11:34:46.113554,2025-09-11T11:42:52.467038,486.353484,0.05222971007778796,0.2,0.041228474991779604,50.0,86.0,24.0,110.0,5.666987330592539
11,COMPLETE,[10.0],2025-09-11T11:42:52.480049,2025-09-11T11:50:57.667491,485.187442,0.04984535219003727,0.2,0.03520019220019399,50.0,93.0,22.0,115.0,5.835025050281432
12,COMPLETE,[10.0],2025-09-11T11:50:57.681503,2025-09-11T11:59:04.279204,486.597701,0.05042791452526764,0.2,0.04181692133259724,50.0,91.0,21.0,112.0,5.698648904340601
13,COMPLETE,[10.0],2025-09-11T11:59:04.295219,2025-09-11T12:07:10.554617,486.259398,0.04526038202621299,0.2,0.039472996001956,50.0,101.0,13.0,114.0,5.764550494664148
14,COMPLETE,[10.0],2025-09-11T12:07:10.570632,2025-09-11T12:15:15.723068,485.152436,0.05007630302211112,0.2,0.0516417701289518,50.0,91.0,16.0,107.0,5.557519748801682
15,COMPLETE,[0.390412513340447],2025-09-11T12:15:15.738081,2025-09-11T12:23:21.137712,485.399631,0.048895978565317286,0.2,0.04914037314369461,50.0,92.0,15.0,107.0,5.60513078793339
16,COMPLETE,[0.3859653973082278],2025-09-11T12:23:21.153726,2025-09-11T12:31:26.468281,485.314555,0.04793091362728801,0.2,0.04789194549007602,50.0,95.0,14.0,109.0,5.641527298154417
17,COMPLETE,[0.6276211526107854],2025-09-11T12:31:26.485296,2025-09-11T12:39:32.754704,486.269408,0.0504682971903746,0.2,0.033708050232180035,50.0,89.0,26.0,115.0,5.833929644344504
