number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
0,COMPLETE,"[-5.0, -5.0]",2025-08-28T21:49:38.762443,2025-08-28T21:50:16.656800,37.894357,0.3527572448274813,0.1120010004414283,0.004029732933365256,20.0,penalized,2.1996676789981553,,,,
1,COMPLETE,"[-5.0, -5.0]",2025-08-28T21:50:16.667810,2025-08-28T21:50:54.890716,38.222906,0.2862349828614479,0.40762914860274285,0.0016518635847026938,20.0,penalized,1.9986281845447138,,,,
2,COMPLETE,"[-5.0, -5.0]",2025-08-28T21:50:54.902393,2025-08-28T21:51:32.891913,37.98952,0.4781021109259446,0.38262703806916193,0.002071969506359465,20.0,penalized,1.0059554143747165,,,,
3,COMPLETE,"[84.0, 5.891283498682107]",2025-08-28T21:51:32.902835,2025-08-28T21:59:49.148674,496.245839,0.1327246523368315,0.10220030209645715,0.007868777052548386,20.0,passed,0.7309843359556011,84.0,101.0,185.0,5.891283498682107
4,COMPLETE,"[145.0, 4.91922012715127]",2025-08-28T21:59:49.159425,2025-08-28T22:08:06.094549,496.935124,0.10462306585341291,0.4205908492204839,0.005880406191813636,20.0,passed,0.8676540028957265,145.0,35.0,180.0,4.91922012715127
5,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:08:06.105559,2025-08-28T22:08:44.019585,37.914026,0.20029728000029107,0.4607580534812705,0.003934234407709017,20.0,penalized,15.513959877024366,,,,
6,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:08:44.030595,2025-08-28T22:09:22.249040,38.218445,0.29877683313532394,0.5800810627590747,0.006559296494868466,20.0,penalized,49.7161394511273,,,,
7,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:09:22.260076,2025-08-28T22:10:00.426577,38.166501,0.3416927419044376,0.47082314110706613,0.001168751071220603,20.0,penalized,1.0061838892140629,,,,
8,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:10:00.437684,2025-08-28T22:10:38.493564,38.05588,0.24967228689946347,0.20639341172952264,0.001431081209649347,20.0,penalized,7.301403846557145,,,,
9,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:10:38.504180,2025-08-28T22:11:16.296555,37.792375,0.3325139370637834,0.3777614083957454,0.002092646986578123,20.0,penalized,11.82249908403409,,,,
10,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:11:16.307283,2025-08-28T22:11:54.208660,37.901377,0.40475570266012106,0.41892304910316885,0.006998402408734945,20.0,penalized,1.0127467703267308,,,,
11,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:11:54.218668,2025-08-28T22:12:32.233280,38.014612,0.4945679976284607,0.49021233710987117,0.0043864387560814695,20.0,penalized,1.0106350636674406,,,,
12,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:12:32.244290,2025-08-28T22:13:10.434837,38.190547,0.24962301114887353,0.3557912486914319,0.007430388671837394,20.0,penalized,1.4481872965689944,,,,
13,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:13:10.445350,2025-08-28T22:13:48.600677,38.155327,0.1430285828228854,0.4413767804273847,0.006742722946895071,20.0,penalized,1.3581975915893965,,,,
14,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:13:48.610530,2025-08-28T22:14:26.505100,37.89457,0.46861036110957854,0.4092802424692038,0.007645880556831188,20.0,penalized,1.0064168500342554,,,,
15,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:14:26.516505,2025-08-28T22:15:04.714352,38.197847,0.37587409895214957,0.28965252851222706,0.006418662055425722,20.0,penalized,1.4174018841465785,,,,
16,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:15:04.725792,2025-08-28T22:15:42.694069,37.968277,0.4322514818416926,0.41202846082677885,0.003428849271013967,20.0,penalized,1.515036374956053,,,,
17,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:15:42.704078,2025-08-28T22:16:20.891925,38.187847,0.22165183416767287,0.0789185261398854,0.003779957730835859,20.0,penalized,9.894781751579641,,,,
18,COMPLETE,"[39.0, 4.947207629637556]",2025-08-28T22:16:20.902935,2025-08-28T22:24:41.050712,500.147777,0.13543616435191969,0.48403021127626533,0.006436420908062513,20.0,passed,0.876429154608737,39.0,139.0,178.0,4.947207629637556
19,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:24:41.060793,2025-08-28T22:25:19.318237,38.257444,0.3918922175988608,0.023574908109482193,0.004145434978627981,20.0,penalized,1.0132355260179353,,,,
20,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:25:19.328245,2025-08-28T22:25:57.445107,38.116862,0.2398994551465981,0.2278118390867845,0.006105764525370507,20.0,penalized,31.149315943860753,,,,
21,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:25:57.456117,2025-08-28T22:26:35.527857,38.07174,0.20613349389549013,0.35845217953270425,0.006741474649703047,20.0,penalized,13.754328727726792,,,,
22,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:26:35.538213,2025-08-28T22:27:13.590723,38.05251,0.305326634819342,0.21034837032008816,0.005243679686222788,20.0,penalized,2.64791258262868,,,,
23,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:27:13.600733,2025-08-28T22:27:51.748377,38.147644,0.21684574620537972,0.0672134434603235,0.0072464767327006935,20.0,penalized,9.208008651372701,,,,
24,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:27:51.759387,2025-08-28T22:28:29.873970,38.114583,0.2128896635335512,0.18158841362038572,0.007879794622847458,20.0,penalized,5.049992822857722,,,,
25,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:28:29.884970,2025-08-28T22:29:08.200180,38.31521,0.20680457427776394,0.4916545115105984,0.004885720320641492,20.0,penalized,8.074739463084947,,,,
26,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:29:08.210721,2025-08-28T22:29:46.289502,38.078781,0.4863932504790426,0.11897460553940546,0.0012432737970257484,20.0,penalized,1.0050849130279704,,,,
27,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:29:46.300512,2025-08-28T22:30:24.592526,38.292014,0.3697582496145967,0.20702321729915082,0.007415738502779766,20.0,penalized,1.0062263699659921,,,,
28,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:30:24.603537,2025-08-28T22:31:02.804384,38.200847,0.28814045922648895,0.0212070805373806,0.0011016272108637143,20.0,penalized,1.0145204151525327,,,,
29,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:31:02.814220,2025-08-28T22:31:40.838299,38.024079,0.4804640276166176,0.17682479071520793,0.005102819718406483,20.0,penalized,1.02073671994297,,,,
30,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:31:40.848308,2025-08-28T22:32:19.159476,38.311168,0.30556446243602386,0.5610007755324787,0.006000585273749919,20.0,penalized,49.622063788229546,,,,
31,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:32:19.170477,2025-08-28T22:32:57.298670,38.128193,0.48307958694066394,0.5550156220873965,0.0038118057983612032,20.0,penalized,1.0075045864994285,,,,
32,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:32:57.308844,2025-08-28T22:33:35.697053,38.388209,0.2726715852437339,0.47524413381938574,0.004692224961693113,20.0,penalized,1.0448824047121787,,,,
33,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:33:35.708064,2025-08-28T22:34:14.079253,38.371189,0.22401474032754742,0.14405351550927004,0.0072265769641268055,20.0,penalized,7.940009415599247,,,,
34,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:34:14.089179,2025-08-28T22:34:52.253439,38.16426,0.456497411471544,0.5233155817096938,0.0022884470467110594,20.0,penalized,1.013714717564932,,,,
35,COMPLETE,"[100.0, 5.003787021600043]",2025-08-28T22:34:52.265473,2025-08-28T22:43:09.666595,497.401122,0.12132584464973706,0.32401433711929273,0.003712272503850565,20.0,passed,0.7108324248997335,100.0,88.0,188.0,5.003787021600043
36,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:43:09.676996,2025-08-28T22:43:48.166986,38.48999,0.3248739342181678,0.32602749657454627,0.003851190054434659,20.0,penalized,3.688432158662015,,,,
37,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:43:48.177537,2025-08-28T22:44:26.380973,38.203436,0.48373831319629257,0.3732549366236377,0.0032632122652976854,20.0,penalized,1.0151041640675609,,,,
38,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:44:26.392147,2025-08-28T22:45:04.619930,38.227783,0.4799043327233372,0.15755059951439818,0.006609903945205455,20.0,penalized,1.0076541382410003,,,,
39,COMPLETE,"[-5.0, -5.0]",2025-08-28T22:45:04.630939,2025-08-28T22:45:43.067266,38.436327,0.16555895745854515,0.33407104773794877,0.007886990844031699,20.0,penalized,1.0362849793878355,,,,
40,COMPLETE,"[69.0, 4.840329719380378]",2025-08-28T22:45:43.077275,2025-08-28T22:54:03.443543,500.366268,0.12548785219547737,0.5470565653237873,0.00638463288036349,20.0,passed,0.6760509007192435,69.0,108.0,177.0,4.840329719380378
41,COMPLETE,"[175.0, 4.035080874844695]",2025-08-28T22:54:03.454444,2025-08-28T23:02:24.997017,501.542573,0.0707559779961009,0.4125779254857521,0.00489781284025968,20.0,passed,0.8413515568048793,175.0,3.0,178.0,4.035080874844695
42,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:02:25.008027,2025-08-28T23:03:03.822898,38.814871,0.39020979606200784,0.02557411935900749,0.004500376360730778,20.0,penalized,1.0104209936728958,,,,
43,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:03:03.832906,2025-08-28T23:03:42.564374,38.731468,0.006980254640749417,0.39967645280718417,0.0015652477849988364,20.0,penalized,0.898294705444471,,,,
44,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:03:42.574633,2025-08-28T23:04:21.217560,38.642927,0.17764494389092583,0.2568097890613314,0.0073883106399294405,20.0,penalized,1.4730275911896504,,,,
45,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:04:21.227981,2025-08-28T23:04:59.675995,38.448014,0.4832716072450519,0.22402633316297194,0.0038183436460501887,20.0,penalized,1.0529332199534631,,,,
46,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:04:59.685810,2025-08-28T23:05:37.982449,38.296639,0.22820228390973957,0.16004889905257413,0.001960031361271242,20.0,penalized,11.203243516061407,,,,
47,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:05:37.992426,2025-08-28T23:06:16.274469,38.282043,0.3158756807931509,0.45424690240309656,0.0025324256297853277,20.0,penalized,1.0066062364563368,,,,
48,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:06:16.284478,2025-08-28T23:06:54.968637,38.684159,0.09373028530378846,0.41454395183979126,0.003202911643151226,20.0,penalized,0.9065490372355306,,,,
49,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:06:54.978871,2025-08-28T23:07:33.401840,38.422969,0.4768477542227135,0.3512765099009515,0.006797741187591862,20.0,penalized,1.009464115793088,,,,
50,COMPLETE,"[-5.0, -5.0]",2025-08-28T23:07:33.411858,2025-08-28T23:08:11.783807,38.371949,0.16555895745854515,0.41202846082677885,0.0036235380374163616,20.0,penalized,2.0253369732200057,,,,
