number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC,attr_gating_status,attr_narma10_nrmse
205,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
216,"[8.0, 5.53209610226432]",0.12768524788954416,0.046889067837564705,0.006757120934045845,20.0,8.0,3.0,11.0,5.53209610226432,passed,0.7446821140226256
301,"[11.0, 5.14438429728597]",0.12768524788954416,0.06983337731496639,0.00298090406862243,20.0,11.0,3.0,14.0,5.14438429728597,passed,0.7285519153069151
323,"[31.0, 3.6266245010262366]",0.10488131633358477,0.02198886470094691,0.002892818387853994,20.0,31.0,2.0,33.0,3.6266245010262366,passed,0.7475785255531697
364,"[31.0, 3.6266245010262366]",0.10488131633358477,0.02198886470094691,0.002892818387853994,20.0,31.0,2.0,33.0,3.6266245010262366,passed,0.7475785255531697
370,"[11.0, 5.14438429728597]",0.12768524788954416,0.06983337731496639,0.00298090406862243,20.0,11.0,3.0,14.0,5.14438429728597,passed,0.7285519153069151
384,"[21.0, 4.879294639834458]",0.13377070047161815,0.06983337731496639,0.0013452368914151087,20.0,21.0,6.0,27.0,4.879294639834458,passed,0.744111102172589
392,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
410,"[4.0, 5.747270041600863]",0.13377070047161815,0.06983337731496639,0.007495660972219497,20.0,4.0,4.0,8.0,5.747270041600863,passed,0.7239973450333862
435,"[49.0, 3.548884110784467]",0.12768524788954416,0.02198886470094691,0.0011529866533854444,20.0,49.0,9.0,58.0,3.548884110784467,passed,0.7371287040577107
449,"[11.0, 5.14438429728597]",0.12768524788954416,0.06983337731496639,0.00298090406862243,20.0,11.0,3.0,14.0,5.14438429728597,passed,0.7285519153069151
451,"[15.0, 4.9648631411172754]",0.12768524788954416,0.06983337731496639,0.0019605770059366117,20.0,15.0,4.0,19.0,4.9648631411172754,passed,0.7289031383096939
482,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
519,"[26.0, 3.823303920805057]",0.12768524788954416,0.013111422953921367,0.006894560748889825,20.0,26.0,2.0,28.0,3.823303920805057,passed,0.795113505474528
522,"[14.0, 4.993312444667672]",0.13496960381203432,0.028536570605194246,0.004563391234636765,20.0,14.0,6.0,20.0,4.993312444667672,passed,0.8650449111970013
531,"[24.0, 4.759368178406513]",0.13377070047161815,0.06983337731496639,0.0011529866533854444,20.0,24.0,7.0,31.0,4.759368178406513,passed,0.7504323287085916
534,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
543,"[49.0, 3.548884110784467]",0.12768524788954416,0.02198886470094691,0.0011529866533854444,20.0,49.0,9.0,58.0,3.548884110784467,passed,0.7371287040577107
554,"[10.0, 5.412762352536739]",0.12768524788954416,0.041930911125649825,0.006807354828037712,20.0,10.0,3.0,13.0,5.412762352536739,passed,0.7602253951119293
555,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
564,"[31.0, 3.6266245010262366]",0.10488131633358477,0.02198886470094691,0.002892818387853994,20.0,31.0,2.0,33.0,3.6266245010262366,passed,0.7475785255531697
570,"[24.0, 4.759368178406513]",0.13377070047161815,0.06983337731496639,0.0011529866533854444,20.0,24.0,7.0,31.0,4.759368178406513,passed,0.7504323287085916
579,"[6.0, 5.586688964929967]",0.13377070047161815,0.06983337731496639,0.0051805270105980475,20.0,6.0,4.0,10.0,5.586688964929967,passed,0.7242702727552713
585,"[23.0, 4.769726408034612]",0.12768524788954416,0.06983337731496639,0.0011529866533854444,20.0,23.0,7.0,30.0,4.769726408034612,passed,0.73997173933829
591,"[21.0, 4.879294639834458]",0.13377070047161815,0.06983337731496639,0.0013452368914151087,20.0,21.0,6.0,27.0,4.879294639834458,passed,0.744111102172589
597,"[3.0, 5.898480460243472]",0.13496960381203432,0.06983337731496639,0.007650703756295606,20.0,3.0,5.0,8.0,5.898480460243472,passed,0.7240418421535284
