number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC,attr_gating_status,attr_narma10_nrmse
271,"[13.0, 4.062007360815034]",0.044572779737187235,0.01783211460841546,0.003094954532084707,50.0,13.0,2.0,15.0,4.062007360815034,passed,0.7245072809338061
390,"[15.0, 3.717973569912152]",0.044572779737187235,0.013776486289343961,0.003094954532084707,50.0,15.0,2.0,17.0,3.717973569912152,passed,0.7072479049058131
415,"[15.0, 3.717973569912152]",0.044572779737187235,0.013776486289343961,0.003094954532084707,50.0,15.0,2.0,17.0,3.717973569912152,passed,0.7072479049058131
428,"[10.0, 5.199905658092111]",0.044572779737187235,0.1972150816888882,0.0699570854983375,50.0,10.0,1.0,11.0,5.199905658092111,passed,0.8035209272287792
431,"[6.0, 5.897457635132703]",0.044572779737187235,0.16920149015342953,0.03634120405250496,50.0,6.0,2.0,8.0,5.897457635132703,passed,0.8157144058408627
476,"[10.0, 5.199905658092111]",0.044572779737187235,0.1972150816888882,0.0699570854983375,50.0,10.0,1.0,11.0,5.199905658092111,passed,0.8035209272287792
479,"[15.0, 3.717973569912152]",0.044572779737187235,0.013776486289343961,0.003094954532084707,50.0,15.0,2.0,17.0,3.717973569912152,passed,0.7072479049058131
500,"[6.0, 5.897457635132703]",0.044572779737187235,0.16920149015342953,0.03634120405250496,50.0,6.0,2.0,8.0,5.897457635132703,passed,0.8157144058408627
517,"[8.0, 5.700695398311112]",0.044572779737187235,0.206130988398428,0.04390362839804954,50.0,8.0,2.0,10.0,5.700695398311112,passed,0.7612938071646095
527,"[11.0, 4.989463865426677]",0.044572779737187235,0.16920149015342953,0.08116462570638501,50.0,11.0,1.0,12.0,4.989463865426677,passed,0.8308624898389969
528,"[10.0, 5.199905658092111]",0.044572779737187235,0.1972150816888882,0.0699570854983375,50.0,10.0,1.0,11.0,5.199905658092111,passed,0.8035209272287792
533,"[4.0, 6.0772883273897795]",0.044572779737187235,0.1775393427461655,0.020358327440897408,50.0,4.0,3.0,7.0,6.0772883273897795,passed,0.8685566847324083
556,"[10.0, 5.199905658092111]",0.044572779737187235,0.1972150816888882,0.0699570854983375,50.0,10.0,1.0,11.0,5.199905658092111,passed,0.8035209272287792
588,"[9.0, 5.583267341103381]",0.044572779737187235,0.16920149015342953,0.05689575683709705,50.0,9.0,2.0,11.0,5.583267341103381,passed,0.8633359384436379
596,"[7.0, 5.745860290010615]",0.044572779737187235,0.12069707224972746,0.0508442092682276,50.0,7.0,2.0,9.0,5.745860290010615,passed,0.8541197659202269
