number,values,param_gamma,param_theta,param_m0,param_beta_prime
398,"[106.0, 6.169695368846463]",0.0514204880469255,0.0619795372889111,0.008,50.0
152,"[84.0, 6.246380094026282]",0.0518305089636575,0.1192374139552437,0.008,50.0
338,"[105.0, 6.182646486929715]",0.0516496680543182,0.0608070919459475,0.008,50.0
341,"[95.0, 6.270826924911668]",0.049652841742083,0.1113421695040379,0.008,50.0
390,"[96.0, 6.260617387317139]",0.0496778231307233,0.110669821393792,0.008,50.0
33,"[105.0, 5.640705911018269]",0.0486903611462772,0.203831470043968,0.0032493048577542,50.0
127,"[113.0, 6.096523231790162]",0.0472888111243203,0.1112814293270958,0.0073203354066513,50.0
373,"[157.0, 5.322849089836129]",0.0453197472723742,0.1017950771631157,0.0014699151284655,50.0
281,"[139.0, 5.7580174483294275]",0.0421580709070177,0.0521299468321077,0.008,50.0
110,"[116.0, 5.977080085828479]",0.0472875298605678,0.0805090590214986,0.008,50.0
