number,values,param_gamma,param_theta,param_m0,param_beta_prime
281,"[139.0, 5.7580174483294275]",0.0421580709070177,0.0521299468321077,0.008,50.0
81,"[129.0, 4.372626146617458]",0.0284435260898862,0.1789577245090462,0.001,50.0
119,"[147.0, 5.602217030420963]",0.045550495168012,0.0800155256794139,0.0038729638853626,50.0
325,"[106.0, 6.157271006073976]",0.0517068280867947,0.0602954185187958,0.008,50.0
398,"[106.0, 6.169695368846463]",0.0514204880469255,0.0619795372889111,0.008,50.0
51,"[95.0, 5.867140498795266]",0.0486827963641144,0.1578192116499659,0.0072211351925691,50.0
33,"[105.0, 5.640705911018269]",0.0486903611462772,0.203831470043968,0.0032493048577542,50.0
62,"[128.0, 3.5894463915631514]",0.0329828919056303,0.01,0.008,50.0
145,"[110.0, 6.111673771013534]",0.0473903819246764,0.1123712176859477,0.008,50.0
58,"[130.0, 5.9354613935548866]",0.0465174547204502,0.0539630594686352,0.008,50.0
244,"[94.0, 6.267729979622586]",0.0497673861934027,0.1124782496470215,0.008,50.0
255,"[157.0, 5.448579270721116]",0.0446264352405635,0.0698539784426904,0.0030343210798798,50.0
41,"[113.0, 5.951119467052435]",0.0494374756799294,0.0908622988454889,0.0064440118384621,50.0
238,"[86.0, 6.307497531492026]",0.0520616464908565,0.1089381889336217,0.008,50.0
0,"[128.0, 5.039111547981267]",0.0450915447555045,0.3743464707358402,0.0016991140712779,50.0
190,"[146.0, 5.663587678482021]",0.046356531028949,0.1026570565113085,0.0031046676264588,50.0
390,"[96.0, 6.260617387317139]",0.0496778231307233,0.110669821393792,0.008,50.0
248,"[157.0, 5.4447073795150605]",0.0445263942022298,0.0695458579389903,0.002996973412803,50.0
129,"[111.0, 6.111712743496807]",0.0474022880810258,0.1117285928540392,0.00750405176593,50.0
78,"[144.0, 5.356024792559387]",0.0446343851589996,0.063444688869478,0.0026505107259538,50.0
177,"[86.0, 6.199132194382532]",0.0510650892323299,0.124498847621137,0.008,50.0
106,"[157.0, 5.360098803925826]",0.0401698459905219,0.0771342569694486,0.0029223848521075,50.0
353,"[95.0, 6.260844352611789]",0.049643888213058,0.1113176587841564,0.008,50.0
103,"[116.0, 5.9674742585284655]",0.0471294551992096,0.079088596092413,0.008,50.0
327,"[106.0, 6.153633405127787]",0.0517054915420581,0.0603088225531223,0.008,50.0
101,"[75.0, 4.886562915591499]",0.034093523916136,0.4996322917766843,0.008,50.0
32,"[113.0, 4.383997123030917]",0.0398887307587675,0.6,0.0027782238021457,50.0
199,"[107.0, 6.1520984865009485]",0.0511773240478093,0.0615148291110583,0.008,50.0
110,"[116.0, 5.977080085828479]",0.0472875298605678,0.0805090590214986,0.008,50.0
359,"[84.0, 4.7551879389359275]",0.0402420648103175,0.6,0.005430631962797,50.0
