number,values,param_gamma,param_theta,param_m0,param_beta_prime
11,"[161.0, 5.428911630155379]",0.04509535795653278,0.0623881734153577,0.0020842355115186575,50.0
69,"[155.0, 5.604967115487752]",0.046725092720290295,0.08715919067089418,0.0029985974037959333,50.0
94,"[142.0, 5.824867697688194]",0.045544485878495175,0.07498855602463543,0.0053323735106728986,50.0
122,"[95.0, 6.2918161232093075]",0.049580233479859834,0.11787973363421363,0.008,50.0
125,"[105.0, 6.2406201834450945]",0.04828061677342346,0.11444758412260995,0.008,50.0
165,"[129.0, 6.031461531467751]",0.04770322505319677,0.06075693389306242,0.008,50.0
167,"[119.0, 6.123896571638121]",0.05016861501650358,0.05909086577367009,0.008,50.0
171,"[110.0, 6.1618222425242735]",0.05103206568903556,0.06193877013658425,0.008,50.0
172,"[107.0, 6.187670011867689]",0.05128488486188136,0.06190459166181313,0.008,50.0
202,"[136.0, 5.954714450626578]",0.044732870368609796,0.05857861389187764,0.008,50.0
203,"[151.0, 5.690804593521175]",0.04615492235921927,0.09894523664695447,0.0030864650397212463,50.0
206,"[131.0, 5.995158608309185]",0.048341883907406895,0.06000690862537812,0.008,50.0
220,"[162.0, 5.205063751692063]",0.04573325232820149,0.07774687667896972,0.0015915005007498977,50.0
225,"[140.0, 5.89364516663375]",0.04435188023495838,0.05574438269420096,0.008,50.0
236,"[73.0, 6.3656436283882405]",0.05377534778650174,0.10501047226648356,0.008,50.0
241,"[125.0, 6.063105739454082]",0.049507883255158355,0.05960544434878356,0.008,50.0
247,"[90.0, 6.33291318818749]",0.051527872571367345,0.11121806827200915,0.008,50.0
251,"[121.0, 6.094141813891423]",0.04974242046758777,0.059338608273953326,0.008,50.0
257,"[94.0, 6.292482110120724]",0.049632604011468344,0.11172896758114356,0.008,50.0
259,"[111.0, 6.151699974629405]",0.05120466000592093,0.060271450557255676,0.008,50.0
266,"[97.0, 6.260675392553752]",0.049547981426469184,0.11128069216062692,0.008,50.0
268,"[113.0, 6.148052346685587]",0.051158040799288956,0.059995626782474464,0.008,50.0
278,"[98.0, 6.253699789799136]",0.04936390718749143,0.11058926400762932,0.008,50.0
283,"[148.0, 5.762757662146962]",0.04684169048784699,0.10040824895993763,0.0032978227556453308,50.0
315,"[92.0, 6.298723782372621]",0.04972565524763433,0.11151847641627627,0.008,50.0
317,"[93.0, 6.296714542046489]",0.049704850787055416,0.11145606128769214,0.008,50.0
346,"[157.0, 5.47675025775598]",0.04634047905099077,0.08157728177865618,0.002457073894322874,50.0
383,"[96.0, 6.262199830800043]",0.04965897985758892,0.11061333144765317,0.008,50.0
392,"[137.0, 5.925516110857841]",0.04448341130797691,0.05864114455942734,0.008,50.0
