number,values,param_gamma,param_theta,param_m0,param_beta_prime
271,"[13.0, 0.0]",0.5,0.2,0.0717096187494382,50.0
83,"[30.0, 1.9955176787674147]",0.0920522486364612,0.2,0.2,50.0
124,"[29.0, 2.3375841346811677]",0.0856928448838104,0.2,0.1555172529696178,50.0
323,"[41.0, 1.342019091403642]",0.1171329014032011,0.2,0.1474695369860524,50.0
398,"[25.0, 2.8647967954055225]",0.0790952344850297,0.2,0.1255309921141865,50.0
51,"[0.0, 0.1889931859840856]",0.1605000173274233,2.0,0.2,50.0
29,"[10.0, 3.763162062850734]",0.0624571937945978,0.4815773053752086,0.0391674030216916,50.0
67,"[25.0, 0.0]",0.5,0.2,0.2,50.0
143,"[16.0, 4.34207191087933]",0.0648846128640232,0.2,0.0850269641036761,50.0
61,"[10.0, 5.516469660483642]",0.0491007607183917,0.2,0.0536057886619942,50.0
237,"[7.0, 5.66891885393621]",0.044742717519992,0.2635340538407418,0.036694939803148,50.0
246,"[36.0, 1.8231526394315094]",0.0998486460712218,0.2,0.1844767840675467,50.0
40,"[5.0, 5.77550021608916]",0.041671428500839,0.2,0.0323919699486475,50.0
229,"[30.0, 2.2598749585933042]",0.0876083347424887,0.2,0.1691110353711193,50.0
0,"[38.0, 0.36211117608269694]",0.1512058274221941,0.2477810549485823,0.1149560513515174,50.0
189,"[45.0, 0.9652449371697841]",0.1208403917693285,0.2,0.1846789349557633,50.0
391,"[15.0, 4.440841632335699]",0.0637489563777779,0.2,0.0820329841402372,50.0
239,"[16.0, 2.824288067446424]",0.0528339046972629,0.2,0.1576377512033265,50.0
129,"[0.0, 0.0]",0.5,1.1563352845461246,0.0578052129886684,50.0
80,"[6.0, 5.803455827636057]",0.0430518504695459,0.2,0.0364530793606008,50.0
181,"[17.0, 4.043141458518511]",0.0662685501047851,0.2,0.0975373500277621,50.0
112,"[40.0, 1.334700682628596]",0.113178322362606,0.2,0.2,50.0
354,"[15.0, 4.4420002481755985]",0.0633504889391358,0.2,0.08265484532941,50.0
110,"[6.0, 5.80496164139885]",0.0431669998318072,0.2197677877299871,0.0354563659871832,50.0
326,"[33.0, 2.009775236053227]",0.0954104417178837,0.2,0.1865744471683449,50.0
109,"[35.0, 1.7716033290439883]",0.0993137678183786,0.2,0.1800292972482793,50.0
26,"[12.0, 3.6189518889034877]",0.0433724618570944,0.2,0.1184132648457526,50.0
191,"[40.0, 1.3651533099227313]",0.112152496037947,0.2,0.2,50.0
107,"[11.0, 4.995013100827751]",0.0553309537505119,0.2,0.0692726984551436,50.0
359,"[25.0, 2.9650036284151025]",0.0790946548700348,0.2,0.125441673254057,50.0
115,"[6.0, 5.852629771367173]",0.0433603820089401,0.2,0.0360259106186424,50.0
309,"[27.0, 2.6780836845124254]",0.0794309137524556,0.2,0.1541048317262946,50.0
198,"[17.0, 4.02468642154067]",0.0666232590704014,0.2,0.0977825191711514,50.0
387,"[30.0, 2.252012551154253]",0.0877763109400849,0.2,0.169390638979263,50.0
362,"[33.0, 2.012136996540469]",0.0952693258169713,0.2,0.1872604233706094,50.0
102,"[11.0, 5.016266274651568]",0.0551905194089131,0.2,0.0689086954479598,50.0
73,"[41.0, 1.1428244923956017]",0.1119568413474572,0.2,0.1904729248392725,50.0
365,"[11.0, 5.093508306540931]",0.057627270215812,0.2,0.0596934384719401,50.0
228,"[40.0, 1.36281146068558]",0.1122356021366692,0.2,0.2,50.0
156,"[56.0, 0.4389975921886443]",0.1579665586497269,0.2,0.1953859385224707,50.0
