number,values,param_gamma,param_theta,param_m0,param_beta_prime
33,"[34.0, 2.013169355723957]",0.09431886362115637,0.2,0.17389499595223099,50.0
34,"[25.0, 3.16056329439562]",0.07761726768077104,0.2,0.1163947016955687,50.0
60,"[38.0, 1.709309787059579]",0.10245296061981274,0.2,0.18685047197192584,50.0
65,"[13.0, 4.8848074197944715]",0.057933458925046755,0.2,0.07189559786921125,50.0
71,"[53.0, 0.659625502845743]",0.14513410638260082,0.2,0.18256341000957177,50.0
74,"[17.0, 4.1799732905122156]",0.0674087689787963,0.2,0.08483637520174157,50.0
75,"[27.0, 2.7079228355065172]",0.08036935391658923,0.2,0.12528774700509154,50.0
78,"[24.0, 3.345050157970327]",0.07368818699443301,0.2,0.1153986489519022,50.0
87,"[50.0, 0.674080775503664]",0.1337134619168911,0.2,0.18492978407494903,50.0
90,"[33.0, 2.1342436130012743]",0.09112774708795761,0.2,0.17292164721205175,50.0
93,"[21.0, 3.6915588548903058]",0.06844387756045832,0.2,0.11155996991011617,50.0
105,"[23.0, 3.53911546811227]",0.0729813960909893,0.2,0.11176929450408715,50.0
106,"[31.0, 2.2282569068480087]",0.08811749202378802,0.2,0.16506306985404634,50.0
119,"[20.0, 3.770173270712847]",0.06941302064958715,0.2,0.10481974603999454,50.0
120,"[28.0, 2.621531323685618]",0.08180230501650361,0.2,0.15133430365309097,50.0
127,"[56.0, 0.541761571772635]",0.1517379783711,0.2,0.18557960960740416,50.0
139,"[49.0, 0.7408020683982375]",0.12767026992268812,0.2,0.1860617770004425,50.0
144,"[54.0, 0.6475468678137285]",0.1459300779546258,0.2,0.18382580350200545,50.0
157,"[26.0, 2.8577750589435564]",0.07904029700305273,0.2,0.1299726481269687,50.0
168,"[44.0, 1.2179153948918393]",0.11667057877096554,0.2,0.1844640604764258,50.0
174,"[47.0, 0.8888209272613863]",0.123491184742915,0.2,0.18534072364017787,50.0
176,"[48.0, 0.7909585394338059]",0.1262226323162211,0.2,0.18596020523981205,50.0
202,"[32.0, 2.169264011023795]",0.08994198852757489,0.2,0.1712966921458562,50.0
204,"[19.0, 3.893994627728465]",0.06809311016256749,0.2,0.10110519720521541,50.0
211,"[18.0, 4.016489583653925]",0.06665928862821396,0.2,0.0980576783710811,50.0
247,"[16.0, 4.3968051640765715]",0.06423651459901063,0.2,0.0833349841620083,50.0
250,"[15.0, 4.611972968838084]",0.06158718777968342,0.2,0.07918802529346608,50.0
252,"[22.0, 3.6047448257145445]",0.07194046794326572,0.2,0.1101373489008955,50.0
267,"[9.0, 5.70081272188673]",0.04802979116381437,0.2,0.05165540820180517,50.0
291,"[40.0, 1.5256347312786325]",0.11523649316166222,0.2,0.14371789637637197,50.0
294,"[41.0, 1.4872345884830893]",0.11606965015510012,0.2,0.1459306306907261,50.0
295,"[43.0, 1.3080942743789827]",0.1181753413091659,0.2,0.15006369175940648,50.0
310,"[30.0, 2.548521069663983]",0.08344028261831789,0.2,0.15272131598203992,50.0
311,"[35.0, 1.9489121631808435]",0.09756188797465977,0.2,0.18733570893962795,50.0
317,"[6.0, 5.908271286682454]",0.046101708462623854,0.2,0.032984273649123146,50.0
320,"[8.0, 5.732383768297985]",0.046997701725341595,0.2,0.04128897992294313,50.0
329,"[45.0, 1.1002419516404434]",0.12101706500129937,0.2,0.16828413284196317,50.0
336,"[42.0, 1.423419676540639]",0.11770534079096742,0.2,0.14682069543630194,50.0
337,"[46.0, 0.9611564072494736]",0.123437239889437,0.2,0.17024348082318955,50.0
341,"[36.0, 1.8737027303667044]",0.09946909234498762,0.2,0.18742865256378405,50.0
351,"[37.0, 1.7834485095722392]",0.10137561531245852,0.2,0.18808498463639767,50.0
352,"[10.0, 5.5500089431904795]",0.04934028790740553,0.2,0.05181250076426788,50.0
364,"[11.0, 5.342118486464228]",0.05338787495914135,0.2,0.056115513576940584,50.0
367,"[12.0, 5.079089210862136]",0.05784302397257039,0.2,0.06011267415449804,50.0
376,"[55.0, 0.5537098705522132]",0.14866430563397953,0.2,0.18518541854461676,50.0
382,"[7.0, 5.825538096017083]",0.0462427657282329,0.2,0.03521974357965438,50.0
393,"[14.0, 4.7767751747460725]",0.05940275975672006,0.2,0.07581633026316748,50.0
