number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,COMPLETE,"[38.0, 0.36211117608269694]",2025-08-22T17:27:14.689281,2025-08-22T17:35:04.910197,470.220916,0.15120582742219418,0.24778105494858238,0.11495605135151746,50.0
1,COMPLETE,"[6.0, 0.0]",2025-08-22T17:35:04.921762,2025-08-22T17:42:59.403967,474.482205,0.10579738562688301,1.0295628156098628,0.06705224290130532,50.0
2,COMPLETE,"[3.0, 0.1198787589344501]",2025-08-22T17:42:59.415533,2025-08-22T17:50:52.101107,472.685574,0.4561488051440699,0.7943228855519404,0.185800567464949,50.0
3,COMPLETE,"[2.0, 0.0]",2025-08-22T17:50:52.112116,2025-08-22T17:58:45.593879,473.481763,0.3808027594963802,0.3920270587699821,0.19579809796063927,50.0
4,COMPLETE,"[8.0, 4.513840992872668]",2025-08-22T17:58:45.604589,2025-08-22T18:06:39.330177,473.725588,0.05632425814785996,0.4893769019136511,0.030995511854127657,50.0
5,COMPLETE,"[0.0, 0.0]",2025-08-22T18:06:39.340721,2025-08-22T18:14:32.612545,473.271824,0.2661524394855394,1.2617238668547774,0.1747927055760746,50.0
6,COMPLETE,"[3.0, 0.8853726592863489]",2025-08-22T18:14:32.623450,2025-08-22T18:22:25.807135,473.183685,0.07017893381146328,1.448601045224559,0.10473862725881618,50.0
7,COMPLETE,"[1.0, 0.0]",2025-08-22T18:22:25.818145,2025-08-22T18:30:18.608234,472.790089,0.17041309392491483,1.410834502492223,0.1240916197782172,50.0
8,COMPLETE,"[1.0, 0.0]",2025-08-22T18:30:18.618225,2025-08-22T18:38:12.075891,473.457666,0.14488606936627152,0.9649597596731929,0.13947244143490972,50.0
9,COMPLETE,"[0.0, 0.0]",2025-08-22T18:38:12.086358,2025-08-22T18:46:07.198863,475.112505,0.3801102986466432,1.7109191057676314,0.08072608392220071,50.0
10,COMPLETE,"[4.0, 2.1679783022427124]",2025-08-22T18:46:07.208872,2025-08-22T18:54:01.316072,474.1072,0.0057142926187584734,0.22665090199604906,0.07075706665243459,50.0
11,COMPLETE,"[0.0, 0.0]",2025-08-22T18:54:01.327184,2025-08-22T19:01:56.703510,475.376326,0.04228964756092395,0.46833654425429494,0.0,50.0
12,COMPLETE,"[7.0, 3.3515444442883413]",2025-08-22T19:01:56.713991,2025-08-22T19:09:52.333958,475.619967,0.026122380448918153,0.2,0.09865726840017452,50.0
13,COMPLETE,"[5.0, 0.0]",2025-08-22T19:09:52.344617,2025-08-22T19:17:49.119800,476.775183,0.1584668437885875,0.2,0.03584721164115462,50.0
14,COMPLETE,"[25.0, 2.675753733230153]",2025-08-22T19:17:49.130570,2025-08-22T19:25:45.761638,476.631068,0.08560205003150823,0.2,0.10866292155743851,50.0
15,COMPLETE,"[30.0, 1.2032990035101307]",2025-08-22T19:25:45.771646,2025-08-22T19:33:42.180006,476.40836,0.11429043971431933,0.2,0.11256516092036095,50.0
16,COMPLETE,"[4.0, 3.551868856690512]",2025-08-22T19:33:42.191981,2025-08-22T19:41:39.536880,477.344899,0.02157094508371154,0.7679880213665173,0.03593301534604514,50.0
17,COMPLETE,"[15.0, 3.9118712669541473]",2025-08-22T19:41:39.547876,2025-08-22T19:49:34.543530,474.995654,0.05897804167937307,0.2,0.10873167628257097,50.0
18,COMPLETE,"[14.0, 0.0]",2025-08-22T19:49:34.555034,2025-08-22T19:57:31.233738,476.678704,0.2314415954889608,0.2,0.12251704132725123,50.0
19,COMPLETE,"[21.0, 3.5595930587069113]",2025-08-22T19:57:31.244778,2025-08-22T20:05:27.505536,476.260758,0.06792990106529757,0.2,0.12032307717673728,50.0
20,COMPLETE,"[43.0, 1.2105963017011314]",2025-08-22T20:05:27.515524,2025-08-22T20:13:22.294047,474.778523,0.1160463808093788,0.2,0.18485407126681133,50.0
21,COMPLETE,"[53.0, 0.25986457267826285]",2025-08-22T20:13:22.304070,2025-08-22T20:21:20.301231,477.997161,0.144454715730818,0.204397323420193,0.2,50.0
22,COMPLETE,"[36.0, 1.6757813208318173]",2025-08-22T20:21:20.312510,2025-08-22T20:29:17.874206,477.561696,0.09935601405496039,0.2,0.16385542888546956,50.0
23,COMPLETE,"[52.0, 0.4874460202396556]",2025-08-22T20:29:17.884186,2025-08-22T20:37:16.254005,478.369819,0.14659583278318386,0.21055533544811014,0.17334899997404357,50.0
24,COMPLETE,"[3.0, 0.537101361400201]",2025-08-22T20:37:16.264819,2025-08-22T20:45:14.225256,477.960437,0.0,2.0,0.18141435598469624,50.0
25,COMPLETE,"[29.0, 1.9466537659882523]",2025-08-22T20:45:14.235169,2025-08-22T20:53:10.790930,476.555761,0.08815951458277226,0.25051056085059753,0.133732598880759,50.0
