number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,COMPLETE,"[79.0, 2.4657053525233072]",2025-10-10T21:15:37.429121,2025-10-10T21:23:20.287290,462.858169,0.003116143169933583,0.2,0.005739301697327169,50.0
1,COMPLETE,"[21.0, 0.8557792318087558]",2025-10-10T21:23:20.299301,2025-10-10T21:31:02.959023,462.659722,0.09576148632427345,0.2,0.001468432166200527,50.0
2,COMPLETE,"[4.0, 0.0]",2025-10-10T21:31:02.969519,2025-10-10T21:38:44.630714,461.661195,0.4399739967565746,0.2,0.0057907697264163805,50.0
3,COMPLETE,"[3.0, 0.0]",2025-10-10T21:38:44.641235,2025-10-10T21:46:26.887056,462.245821,0.4197055096100366,0.2,0.007701577458774609,50.0
4,COMPLETE,"[10.0, 1.068204280066759]",2025-10-10T21:46:26.898067,2025-10-10T21:54:07.647009,460.748942,0.4802989260471182,0.2,0.0010711751679719937,50.0
5,COMPLETE,"[9.0, 0.0]",2025-10-10T21:54:07.657986,2025-10-10T22:01:49.171041,461.513055,0.22859923259339326,0.2,0.0027424320698495224,50.0
6,COMPLETE,"[3.0, 0.0]",2025-10-10T22:01:49.181013,2025-10-10T22:09:30.825673,461.64466,0.34324200041060576,0.2,0.0012593723089808738,50.0
7,COMPLETE,"[4.0, 0.0]",2025-10-10T22:09:30.836233,2025-10-10T22:17:11.403318,460.567085,0.300587381887021,0.2,0.006184285665641027,50.0
8,COMPLETE,"[136.0, 5.315330036457118]",2025-10-10T22:17:11.414328,2025-10-10T22:24:50.524797,459.110469,0.04930595911861424,0.2,0.0012561873496974942,50.0
9,COMPLETE,"[2.0, 0.0]",2025-10-10T22:24:50.534806,2025-10-10T22:32:31.026607,460.491801,0.410774473669113,0.2,0.006096571418872387,50.0
10,COMPLETE,"[140.0, 4.124059569802286]",2025-10-10T22:32:31.038618,2025-10-10T22:40:09.379874,458.341256,0.026114096146732362,0.2,0.001,50.0
11,COMPLETE,"[161.0, 4.7746609590563045]",2025-10-10T22:40:09.390261,2025-10-10T22:47:50.814999,461.424738,0.037366043552416066,0.2,0.001,50.0
12,COMPLETE,"[110.0, 5.797412910555236]",2025-10-10T22:47:50.825008,2025-10-10T22:55:30.697328,459.87232,0.04884057516126928,0.2,0.005140225072489784,50.0
13,COMPLETE,"[88.0, 6.030829815756851]",2025-10-10T22:55:30.708302,2025-10-10T23:03:09.441696,458.733394,0.050038758617997836,0.2,0.008,50.0
14,COMPLETE,"[124.0, 5.702509712601813]",2025-10-10T23:03:09.451706,2025-10-10T23:10:48.623899,459.172193,0.0476150582334022,0.2,0.0034387412153355145,50.0
15,COMPLETE,"[167.0, 4.957420725195865]",2025-10-10T23:10:48.633907,2025-10-10T23:18:28.671454,460.037547,0.04374389807516746,0.2,0.001,50.0
