number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,PRUNED,,2025-10-23T22:29:02.684333,2025-10-23T22:36:59.522275,476.837942,0.09141506813806777,0.2,0.00110783584400102,50.0
1,COMPLETE,"[14.0, 2.638891988007922]",2025-10-23T22:36:59.533284,2025-10-23T22:45:08.551148,489.017864,0.003590904056370803,0.2,0.007952292439539137,50.0
2,COMPLETE,"[16.0, 0.7872617915650093]",2025-10-23T22:45:08.562157,2025-10-23T22:53:09.509812,480.947655,0.10612321453911983,0.2,0.004966030290957099,50.0
3,COMPLETE,"[3.0, 0.0]",2025-10-23T22:53:09.520821,2025-10-23T23:01:12.764526,483.243705,0.2566055500333662,0.2,0.0038899158591133923,50.0
4,COMPLETE,"[2.0, 0.0]",2025-10-23T23:01:12.775536,2025-10-23T23:09:15.618883,482.843347,0.3087189513197366,0.2,0.0057834593720169514,50.0
5,COMPLETE,"[4.0, 0.0]",2025-10-23T23:09:15.628892,2025-10-23T23:17:17.449325,481.820433,0.3768037428830196,0.2,0.007197297409099436,50.0
6,COMPLETE,"[71.0, 3.9606390347933473]",2025-10-23T23:17:17.460335,2025-10-23T23:25:18.932457,481.472122,0.021776761610949436,0.2,0.0019424593183898701,50.0
7,COMPLETE,"[4.0, 0.0]",2025-10-23T23:25:18.943467,2025-10-23T23:33:19.491789,480.548322,0.3799638736857075,0.2,0.002761061924826071,50.0
8,COMPLETE,"[3.0, 0.0]",2025-10-23T23:33:19.502798,2025-10-23T23:41:19.692831,480.190033,0.38635064433370964,0.2,0.004984372245535197,50.0
9,COMPLETE,"[4.0, 0.0]",2025-10-23T23:41:19.703839,2025-10-23T23:49:20.669895,480.966056,0.3940833299201831,0.2,0.006868405649822401,50.0
10,COMPLETE,"[3.0, 0.0]",2025-10-23T23:49:20.680905,2025-10-23T23:57:20.986986,480.306081,0.3562992122190048,0.2,0.006874169868685622,50.0
11,COMPLETE,"[3.0, 1.0]",2025-10-23T23:57:20.996994,2025-10-24T00:05:18.595656,477.598662,0.0,0.2,0.001,50.0
12,COMPLETE,"[78.0, 5.356047452267301]",2025-10-24T00:05:18.606666,2025-10-24T00:13:20.106136,481.49947,0.04162551127701668,0.2,0.0023462904479735194,50.0
13,COMPLETE,"[56.0, 3.785911367522934]",2025-10-24T00:13:20.116143,2025-10-24T00:21:19.172459,479.056316,0.017127225948802546,0.2,0.0023846816348751885,50.0
