number,values,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
0,[2.0],0.05109517790961102,0.2,0.052917153510143616,50.0,2,1.2619009911972752,0.8068071025784197,0.05418884561361497,66.0,10.0,76.0,5.219792211573804,gradient,"[0.9370626009014287, 0.06293739909857138]"
1,[2.0],0.049591056479690324,0.2,0.05108185633688108,50.0,2,1.293228043721534,0.1853781021714906,0.4204713841094466,37.0,11.0,48.0,5.437263771802796,gradient,"[0.3059804561516609, 0.6940195438483392]"
2,[2.0],0.05005390375763405,0.2,0.0547179179943479,50.0,2,1.1425084603602897,0.3476871339450284,0.24190083284645786,43.0,9.0,52.0,5.219730683311325,gradient,"[0.5897120591472171, 0.4102879408527829]"
3,[2.0],0.05066801492938656,0.2,0.05139534816869387,50.0,2,1.283127122831465,0.8907927446318716,0.5204188428449037,42.0,10.0,52.0,5.2513572430417845,gradient,"[0.631225503345388, 0.3687744966546119]"
4,[2.0],0.04820096002333163,0.2,0.05323008143446544,50.0,2,1.6781265682391489,0.14332933600620376,0.7300919551736494,44.0,9.0,53.0,5.501685757111357,gradient,"[0.1641010328619178, 0.8358989671380822]"
5,[2.0],0.05240386901882889,0.2,0.035993708167801085,50.0,2,2.1133252835088547,0.5642042378283535,0.6055728332693054,34.0,13.0,47.0,5.305940977657041,gradient,"[0.48231774392614235, 0.5176822560738576]"
6,[2.0],0.04647593531031888,0.2,0.05288005493843545,50.0,2,2.313482507948205,0.44575130060158524,0.2955195840669504,43.0,7.0,50.0,5.106931424307477,gradient,"[0.6013338845770342, 0.3986661154229658]"
7,[2.0],0.046339901746195136,0.2,0.05085157839507347,50.0,2,2.84287114480564,0.5420879945733375,0.5002439630029536,39.0,7.0,46.0,5.144601163850284,gradient,"[0.5200723153819838, 0.47992768461801616]"
8,[2.0],0.05223742463407635,0.2,0.03975685994284387,50.0,2,1.8821177388784587,0.1829762337401879,0.9293872934326807,35.0,17.0,52.0,5.682662689354471,gradient,"[0.16449319783545202, 0.8355068021645479]"
9,[2.0],0.04605751101622234,0.2,0.051110626767676345,50.0,2,0.21567759587258362,0.2574840503702188,0.9209065215430545,45.0,7.0,52.0,5.609964509065722,gradient,"[0.21850484593759037, 0.7814951540624095]"
10,[2.0],0.045370684134485834,0.2,0.038637596982630716,50.0,2,1.7489770333535826,0.4667198690643834,0.6292612586155533,31.0,7.0,38.0,5.545401021253998,gradient,"[0.4258466293597359, 0.5741533706402641]"
11,[2.0],0.045092096166433566,0.2,0.03148689085268735,50.0,2,0.9919484922439037,0.26449562495403317,0.36953275756854964,27.0,7.0,34.0,5.658194656528479,gradient,"[0.41716685284922933, 0.5828331471507707]"
12,[2.0],0.04911281829672857,0.2,0.03976060903286474,50.0,2,0.5078456710864431,0.5558807191251398,0.47837476417427116,33.0,9.0,42.0,5.580127331492802,gradient,"[0.5374694435767526, 0.4625305564232473]"
13,[2.0],0.0458096371001049,0.2,0.05308135856722779,50.0,2,1.9265564538013016,0.7164062017963172,0.6291049867191311,38.0,7.0,45.0,5.239604083482343,gradient,"[0.5324416533367919, 0.46755834666320806]"
14,[2.0],0.05270628671218687,0.2,0.046996181165156053,50.0,2,2.383250072658333,0.2574036176516553,0.6913578822467604,39.0,13.0,52.0,5.221566026204224,gradient,"[0.2713048723828018, 0.7286951276171982]"
