number,values,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
0,[2.0],0.0499639727309692,0.2,0.03098978946758187,50.0,2,2.485833072776857,0.2894702098725854,0.37760084866436566,28.0,11.0,39.0,5.554732516856374,random,"[0.43394209082832036, 0.5660579091716798]"
1,[2.0],0.04641885117759634,0.2,0.03277714870536677,50.0,2,0.5623755390041105,0.19548739908734541,0.12763826145931936,29.0,10.0,39.0,5.8636199682229115,random,"[0.6049887797726102, 0.39501122022738966]"
2,[2.0],0.05180996540975248,0.2,0.05147400807405632,50.0,2,0.4846543603337117,0.5289275100687932,0.5525145742442322,42.0,11.0,53.0,5.480035167542683,random,"[0.48909462442899915, 0.5109053755710008]"
3,[2.0],0.04944724780753148,0.2,0.041974082919512594,50.0,2,1.1015754881693194,0.6224817178724766,0.1982455907371651,42.0,10.0,52.0,5.617169683062619,random,"[0.7584513288914386, 0.24154867110856137]"
4,[2.0],0.04770009288537457,0.2,0.050415685705789505,50.0,2,0.29272671479132084,0.6813237916362419,0.3362458092463901,39.0,9.0,48.0,5.612824438852938,random,"[0.6695598915742637, 0.33044010842573623]"
5,[2.0],0.050202656811909205,0.2,0.034357217263204606,50.0,2,2.7980183364376248,0.9583436794067774,0.1454691650902532,53.0,10.0,63.0,5.428169861156064,random,"[0.8682121105806316, 0.13178788941936845]"
6,[2.0],0.052505861757490925,0.2,0.03309931030644864,50.0,2,2.4156549902290765,0.6934531570610061,0.4418623968648043,33.0,14.0,47.0,5.488710788544322,random,"[0.6108021286796546, 0.38919787132034545]"
7,[2.0],0.049011285979865725,0.2,0.03717237881353365,50.0,2,1.9439757335585408,0.22457762596875372,0.7519278817709285,38.0,11.0,49.0,5.785461463031416,random,"[0.2299809106951006, 0.7700190893048994]"
8,[2.0],0.04838455298775653,0.2,0.03656489922759304,50.0,2,0.858065677805451,0.43614005844770004,0.6369398729470211,29.0,11.0,40.0,5.817219559002416,random,"[0.4064376247171381, 0.5935623752828618]"
9,[2.0],0.049105476269754304,0.2,0.0379554002736256,50.0,2,0.4081454416753456,0.41581073590018025,0.5744926127913176,32.0,11.0,43.0,5.801365525488956,random,"[0.41988218705874014, 0.5801178129412599]"
10,[2.0],0.04731654676149331,0.2,0.0415052062832605,50.0,2,0.4425705315485735,0.6315069528765256,0.8413408663010205,34.0,9.0,43.0,5.834375199480193,random,"[0.4287659218106904, 0.5712340781893096]"
11,[2.0],0.04751932696933148,0.2,0.03179397327160075,50.0,2,0.7269689071245029,0.8570763992134612,0.48165349590623746,30.0,10.0,40.0,5.884320382124992,random,"[0.6402160752052439, 0.3597839247947562]"
12,[2.0],0.04682585999228781,0.2,0.03171067783551826,50.0,2,2.7354979686699847,0.8961319969389216,0.954365399529598,30.0,7.0,37.0,5.680569465187952,random,"[0.4842654729745071, 0.5157345270254929]"
13,[2.0],0.04667317866949049,0.2,0.03287500180550789,50.0,2,1.720645454511235,0.1966920466055523,0.6388806307345749,36.0,9.0,45.0,5.880765639439203,random,"[0.23539789169708225, 0.7646021083029177]"
14,[2.0],0.05197508270475906,0.2,0.03188484302171814,50.0,2,2.413439383223857,0.7239822140283214,0.317982188967405,37.0,13.0,50.0,5.4952308417880085,random,"[0.6948243260007902, 0.3051756739992097]"
