trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
398,0.0514204880469255,0.0619795372889111,0.008,50.0,0.8823969455838692,0.8729559748427673,0,0
152,0.0518305089636575,0.1192374139552437,0.008,50.0,0.825449017554174,0.9433962264150944,0,0
338,0.0516496680543182,0.0608070919459475,0.008,50.0,0.8777768029659123,0.8716981132075472,0,0
341,0.049652841742083,0.1113421695040379,0.008,50.0,0.6580323701344559,0.9333333333333333,0,0
390,0.0496778231307233,0.110669821393792,0.008,50.0,0.6592418681486717,0.9308176100628931,0,0
33,0.0486903611462772,0.203831470043968,0.0032493048577542,50.0,0.5923630428788591,0.8339622641509434,0,0
127,0.0472888111243203,0.1112814293270958,0.0073203354066513,50.0,0.6108130890385614,0.9157232704402516,0,0
373,0.0453197472723742,0.1017950771631157,0.0014699151284655,50.0,0.6326255855194619,0.8088050314465409,0,0
281,0.0421580709070177,0.0521299468321077,0.008,50.0,0.7747813437123905,0.8578616352201258,0,0
110,0.0472875298605678,0.0805090590214986,0.008,50.0,0.6301700437108965,0.9056603773584906,0,0
