number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
0,COMPLETE,"[40.0, 0.0]",2025-07-23T21:13:44.477905,2025-07-23T21:23:47.792531,603.314626,0.1602959497070965,0.38948922882681675,0.006819692140545664,36.502109604412794,5,0.3790224949607204,0.24121530970142696,0.7564263074078736,0.4394779450201686,0.7592221869997463,0.924745366101262,,,37.0,77.0,random,"[0.07728567027954115, 0.24235988278462875, 0.14080925292843524, 0.24325568590983762, 0.29628950809755716]"
1,COMPLETE,"[101.0, 2.981013745780789]",2025-07-23T21:23:47.804542,2025-07-23T21:33:25.195434,577.390892,0.012798096490623532,0.2539751258522482,0.006424640445604154,33.12388908930926,4,2.466308918324161,0.3882208572648675,0.6215104745126172,0.12179797730392908,0.3586460802282456,,,,1.0,102.0,random,"[0.2605202448315263, 0.41707202989074926, 0.0817339879437637, 0.24067373733396072]"
2,COMPLETE,"[31.0, 0.0]",2025-07-23T21:33:25.206443,2025-07-23T21:42:33.927740,548.721297,0.3086610481778755,0.4435202166469031,0.00601997573385118,23.879127282652416,3,3.340922302629493,0.07438607079716689,0.5960214384685943,0.049347729408843105,,,,,68.0,99.0,random,"[0.1033491203678425, 0.828089059228162, 0.06856182040399546]"
3,COMPLETE,"[3.0, 0.0]",2025-07-23T21:42:33.938750,2025-07-23T21:53:09.327353,635.388603,0.14780992184083336,0.3207544239647735,0.002569936910719205,40.000214477128736,6,1.8927293812596315,0.5694335431340392,0.6659831519345297,0.4641373097338606,0.6941864513215047,0.7263301973142823,0.020974431535048237,,67.0,70.0,random,"[0.18128792415562733, 0.21202597667909576, 0.1477652492013852, 0.22100493069726612, 0.23123838648131487, 0.006677532785310773]"
4,COMPLETE,"[11.0, 0.0]",2025-07-23T21:53:09.339363,2025-07-23T22:04:11.383117,662.043754,0.4696116297006437,0.019188962861160626,0.005778786398845111,48.2333710883059,7,2.130026103522575,0.8335191338797938,0.5676179686135006,0.02612629385185599,0.09375675407425924,0.3474197175800959,0.9961000685952147,0.37812816441572633,28.0,39.0,random,"[0.25704731656627494, 0.17504658229950373, 0.00805703606968434, 0.028913459889725913, 0.1071400793290675, 0.3071853293541884, 0.11661019649155521]"
5,PRUNED,,2025-07-23T22:04:11.397129,2025-07-23T22:13:51.937715,580.540586,0.11673132925582946,0.3076631963279422,0.0027504712914654937,30.113397639559626,4,2.3612656599514787,0.22790592491623676,0.09346581955221088,0.13343019721290963,0.03009085387900909,,,,,,,
6,PRUNED,,2025-07-23T22:13:51.948724,2025-07-23T22:24:24.232863,632.284139,0.2987147207139971,0.5176423599101398,0.0059574747078833664,28.4573479639469,6,3.3300331672642436,0.7823903816464854,0.3243166391928226,0.5208496063872864,0.9092573014564803,0.5771798324492025,0.8007930491950629,,,,,
7,COMPLETE,"[5.0, 0.0]",2025-07-23T22:24:24.244874,2025-07-23T22:34:03.950853,579.705979,0.41909232335443375,0.23220579210274614,0.005027720614394209,48.80994112822586,4,2.5964551985875826,0.02490988092743398,0.920575094216509,0.9495729132559799,0.3181671039678299,,,,76.0,81.0,random,"[0.011255015198786855, 0.41594284240919366, 0.42904490801005624, 0.14375723438196325]"
8,COMPLETE,"[76.0, 0.0]",2025-07-23T22:34:03.961863,2025-07-23T22:43:45.436943,581.47508,0.307302130706554,0.0427333469569724,0.004865104991971256,30.160091131388473,4,2.419592223305748,0.21096262982199032,0.9492743042556007,0.20151693735188322,0.5983933930796516,,,,98.0,174.0,random,"[0.10762590833950483, 0.4842872377210519, 0.10280703955289223, 0.305279814386551]"
9,COMPLETE,"[40.0, 0.0]",2025-07-23T22:43:45.446952,2025-07-23T22:53:49.450508,604.003556,0.2750310370583208,0.4317477350996205,0.0021617769432889203,23.97365126502624,5,0.2553255263699752,0.42069304329904117,0.41267958113976766,0.5564953355748108,0.6565861274474997,0.6711124493295908,,,34.0,74.0,random,"[0.15480505724649357, 0.15185629332451175, 0.20477707833126316, 0.24160811467118304, 0.24695345642654842]"
10,COMPLETE,"[5.0, 0.0]",2025-07-23T22:53:49.460516,2025-07-23T23:03:28.698405,579.237889,0.39973389372994866,0.4142100282562684,0.001953984411907403,29.726684819469018,4,3.839059203769131,0.010108947739732851,0.3146722372700654,0.62274913778172,0.9755155237724091,,,,86.0,91.0,random,"[0.005256737772422527, 0.1636322076420162, 0.3238347847475607, 0.5072762698380007]"
11,PRUNED,,2025-07-23T23:03:28.709414,2025-07-23T23:13:07.984897,579.275483,0.12129886603082495,0.19544599011544342,0.007774684919724495,37.78875459704396,4,2.645033233332469,0.42107965857858826,0.5966938943236294,0.45891605501037835,0.9481038213689905,,,,,,,
12,COMPLETE,"[8.0, 0.0]",2025-07-23T23:13:07.995907,2025-07-23T23:22:24.964576,556.968669,0.3130998155843856,0.2372207173792687,0.004460640076327755,31.294656854626105,3,2.5005044154743215,0.3614448654739592,0.5074754094447144,0.29418227049708034,,,,,67.0,75.0,random,"[0.3107592420793472, 0.43631183806180734, 0.2529289198588454]"
13,COMPLETE,"[109.0, 2.9097964917333634]",2025-07-23T23:22:24.975586,2025-07-23T23:32:04.632431,579.656845,0.01,0.13328778207402084,0.00731121051863974,29.223051313517814,4,2.743933195168731,0.3141854429994456,0.761195275634168,0.01,0.4608468578196048,,,,1.0,110.0,random,"[0.20319482577081782, 0.4922918768401607, 0.006467353287630718, 0.29804594410139074]"
