number,values,param_gamma,param_theta,param_m0,param_beta_prime
4,"[133.0, 4.030083958029231]",0.05,0.04506929836123935,0.003,32.34871107894818
26,"[96.0, 5.8026366623884496]",0.05,0.105042265769195,0.003,50.0
33,"[130.0, 4.321995600973285]",0.05,0.056463029476446575,0.003,33.86198235645725
34,"[105.0, 5.622819967074256]",0.05,0.0938844665069545,0.003,47.05725522383744
64,"[99.0, 5.712231180793505]",0.05,0.0902707206768704,0.003,49.49799329650253
76,"[98.0, 5.794154936291955]",0.05,0.09285574544823748,0.003,50.0
103,"[101.0, 5.669671425844567]",0.05,0.09024602178614667,0.003,49.12202577043888
116,"[115.0, 5.508419573964327]",0.05,0.050071902557984556,0.003,50.0
120,"[120.0, 5.3805513304359005]",0.05,0.04352969768486465,0.003,50.0
127,"[116.0, 5.463703877362269]",0.05,0.048200732896339776,0.003,50.0
140,"[131.0, 4.213318903554214]",0.05,0.04886963996363043,0.003,32.626054071837316
144,"[103.0, 5.651632095001973]",0.05,0.0976681079915823,0.003,47.14606702343568
152,"[94.0, 5.811040254453093]",0.05,0.10693249499289897,0.003,50.0
158,"[117.0, 5.459240067475276]",0.05,0.047723211687340256,0.003,50.0
169,"[118.0, 5.421561996454139]",0.05,0.046384003327954,0.003,50.0
193,"[123.0, 5.233594990146313]",0.05,0.042511329200650226,0.003,50.0
198,"[121.0, 5.350198700191974]",0.05,0.04277591540688677,0.003,50.0
204,"[128.0, 4.525708192415709]",0.05,0.04871869577927197,0.003,38.52428199713372
207,"[129.0, 4.461362846415499]",0.05,0.04849755456593107,0.003,36.63285429629468
214,"[127.0, 4.620457139758185]",0.05,0.04968502139369052,0.003,38.58343749492931
225,"[107.0, 5.558711908603639]",0.05,0.0949214159924363,0.003,44.789946576759476
228,"[106.0, 5.5710214954571295]",0.05,0.0954643461968952,0.003,44.876460718525855
237,"[95.0, 5.809749511123584]",0.05,0.10465919287230817,0.003,50.0
251,"[113.0, 5.539002463958449]",0.05,0.05107160251088389,0.003,50.0
254,"[111.0, 5.553888293522028]",0.05,0.054144140065611995,0.003,50.0
255,"[93.0, 5.8281806688614255]",0.05,0.10378058478795997,0.003,50.0
259,"[112.0, 5.540748356920679]",0.05,0.05320456844169458,0.003,50.0
260,"[126.0, 4.778661964622168]",0.05,0.04596064643979024,0.003,42.674122809451845
267,"[125.0, 4.808866748310556]",0.05,0.04568485884083134,0.003,43.25422456732799
270,"[114.0, 5.526268845078212]",0.05,0.05078460982857569,0.003,50.0
273,"[124.0, 4.9075723498477934]",0.05,0.03793747879782683,0.003,49.1191337102308
276,"[100.0, 5.677442647251191]",0.05,0.08374871595552581,0.003,50.0
